ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENNV10,GOVNV10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,DESCRIBS10B,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNFAIRNV10,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,UNFAIRREID,UNFAIRANGLE,WHNCLINC,XTEAPARTYID,ANGLECNSRV,OUTSIDER,REIDJOB,REIDTOOLONG,FORECLOSE2,REIDJOB2,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
916441.0,Nevada,101.0,Call 3,Complete,Election day exit poll,0.550000011920929,Harry Reid,Rory Reid,Male,White,25-29,Independent,Moderate,"Under $30,000",Some college/assoc. degree,No,,,,,,,,Government should do more to solve problems,Omit,Omit,,Very worried,Somewhat approve,,,Strongly oppose,,Before that,,,No,,Non black male,White men,18-29,18-29,18-44,18-29,25-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Omit,Worried,Approve,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,Before that,In the last month or earlier,,,Yes,Non-Tea Party supporters and Independents/Something else,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,High Density Urban,Urban,Urban Core,Very downscale,89512.0
885809.0,Nevada,33.0,Call 1,Complete,Election day exit poll,0.340000003576279,Harry Reid,Rory Reid,Female,Hispanic,40-44,Democrat,Moderate,"$75,000-$99,999",Some college/assoc. degree,Yes,,,,,,,,Government should do more to solve problems,Omit,The economy,,Very worried,Somewhat approve,,,Somewhat oppose,,In the last three days,,,No,,Non black female,Latino women,30-44,30-59,18-44,30-44,40-49,Latino 30-44,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,,Oppose,In the last month,In the last week,,,No,Non-Tea Party supporters and Democrats,,An insider who knows how to get things done,,,,,State questionnaire,English,Suburbs,Suburbs,1.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,89031.0
885298.0,Nevada,54.0,Call 1,Complete,Election day exit poll,0.389999985694885,Harry Reid,Rory Reid,Male,Hispanic,,Democrat,,"Under $30,000",,,,,,,,,,Omit,Omit,Omit,,Omit,Omit,,,Omit,,Omit,,,,,Non black male,Latino men,,,,,,,,,,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Omit,Omit,Omit,Democrat,Democratic Men,Non White Democrats,,Hispanic/Latino,Omit,Omit,Omit,,,,,,Omit,,,,,State questionnaire,,Suburbs,Suburbs,1.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very downscale,89115.0
885261.0,Nevada,36.0,Call 1,Complete,Election day exit poll,0.379999995231628,Harry Reid,Rory Reid,Male,Hispanic,40-44,Democrat,Moderate,"$30,000-$49,999",High school graduate,Yes,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Not at all worried,Strongly approve,,,Neutral,,Before that,,,No,,Non black male,Latino men,30-44,30-59,18-44,30-44,40-49,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,The economy,Not worried,Approve,Democrat,Democratic Men,Non White Democrats,Moderate/Conservative Democrats,Hispanic/Latino,Neutral,Before that,In the last month or earlier,,,No,Non-Tea Party supporters and Democrats,,Omit,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,2.0,West,Version 1,Extremely High Density Urban,Urban,Urban Core,Upscale,89108.0
883936.0,Nevada,101.0,Call 1,Complete,Election day exit poll,0.5,Harry Reid,Rory Reid,Male,White,60-64,Democrat,Liberal,"Under $30,000",No high school diploma,No,,,,,,,,Government should do more to solve problems,Omit,The economy,,Somewhat worried,Somewhat disapprove,,,Neutral,,In the last month,,,No,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Disapprove,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Neutral,In the last month,In the last month or earlier,,,Yes,Non-Tea Party supporters and Democrats,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,High Density Urban,Urban,Urban Core,Very downscale,89512.0
860449.0,Nevada,50003.0,,Complete,Telephone survey,2.5,Harry Reid,Rory Reid,Female,White,30-39,Republican,Moderate,"$100,000-$199,999",College graduate,No,,,,,,,,Government should do more to solve problems,Omit,The economy,,Very worried,Strongly disapprove,,,Omit,,In the last week,,,,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Omit,In the last month,In the last week,,,No,,,Omit,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,Suburb,Urban,Urban Core,Very upscale,89523.0
901253.0,Nevada,91.0,Call 2,Complete,Election day exit poll,0.370000004768372,Harry Reid,Rory Reid,Male,White,18-24,Democrat,Moderate,"Under $30,000",No high school diploma,No,,,,,,,,Government should do more to solve problems,Omit,The economy,,Very worried,Omit,,,Neutral,,In the last month,,,,,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Omit,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Neutral,In the last month,In the last month or earlier,,,Yes,Non-Tea Party supporters and Democrats,,Omit,,,,,State questionnaire,English,Rural,Small Cities/Rural,2.0,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,89429.0
860581.0,Nevada,50007.0,,Complete,Telephone survey,6.40999984741211,Harry Reid,Rory Reid,Female,Hispanic,45-49,Republican,Conservative,"$50,000-$74,999",High school graduate,Yes,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,Illegal immigration,,Very worried,Somewhat approve,,,Somewhat oppose,,In the last three days,,,No,,Non black female,Latino women,45-65,30-59,45+,45-59,40-49,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,Something else,Worried,Approve,Republican,Republican Women,All others,Conservative Republicans,Hispanic/Latino,Oppose,In the last month,In the last week,,,No,Non-Tea Party supporters and Republicans,,An insider who knows how to get things done,,,,,State questionnaire,English,Suburbs,Suburbs,3.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very downscale,89122.0
860474.0,Nevada,50003.0,,Complete,Telephone survey,2.11999988555908,Harry Reid,Rory Reid,Male,Black,65 or over,Democrat,,,High school graduate,No,,,,,,,,Omit,Omit,Omit,,Omit,Strongly approve,,,Strongly oppose,,Before that,,,Yes,,Black male,Black men,65+,60+,45+,60+,65+,Black 65+,No college degree,High school graduate or less,Non white no college degree,,,,,,,Omit,Omit,Approve,Democrat,Democratic Men,Non White Democrats,,Black,Oppose,Before that,In the last month or earlier,,,,Non-Tea Party supporters and Democrats,,Omit,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,Suburb,Urban,Urban Core,Very upscale,89436.0
860460.0,Nevada,50001.0,,Complete,Telephone survey,3.48000001907349,Harry Reid,Rory Reid,Female,Hispanic,60-64,,,,No high school diploma,Yes,,,,,,,,Omit,Omit,The economy,,Omit,Omit,,,Omit,,Before that,,,Yes,,Non black female,Latino women,45-65,60+,45+,60+,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,,The economy,Omit,Omit,,,,,Hispanic/Latino,Omit,Before that,In the last month or earlier,,,,,,Omit,,,,,State questionnaire,English,Suburbs,Suburbs,1.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Downscale,89169.0
860457.0,Nevada,50001.0,,Complete,Telephone survey,1.3400000333786,Harry Reid,Rory Reid,Female,White,65 or over,Independent,Conservative,"Under $30,000",College graduate,No,,,,,,,,Omit,Omit,The economy,,Somewhat worried,Strongly approve,,,Strongly oppose,,In the last month,,,No,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,In the last month,In the last month or earlier,,,No,Non-Tea Party supporters and Independents/Something else,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,2.0,West,Version 1,Extremely High Density Urban,Urban,Urban Core,Upscale,89108.0
900640.0,Nevada,97.0,Call 2,Complete,Election day exit poll,0.389999985694885,Harry Reid,Rory Reid,Female,White,40-44,Republican,Conservative,"Under $30,000",Postgraduate study,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Somewhat worried,Omit,,,Strongly oppose,,Before that,,,No,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Omit,Republican,Republican Women,White Republicans,Conservative Republicans,White,Oppose,Before that,In the last month or earlier,,,No,Non-Tea Party supporters and Republicans,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,Suburb,Urban,Urban Core,Very upscale,89523.0
900524.0,Nevada,92.0,Call 2,Complete,Election day exit poll,0.660000026226044,Harry Reid,Rory Reid,Female,White,40-44,Democrat,Liberal,"Under $30,000",High school graduate,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Somewhat worried,Somewhat approve,,,Neutral,,Before that,,,No,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Neutral,Before that,In the last month or earlier,,,Yes,Non-Tea Party supporters and Democrats,,Omit,,,,,State questionnaire,English,Rural,Small Cities/Rural,2.0,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,89415.0
860494.0,Nevada,50001.0,,Complete,Telephone survey,1.20000004768372,Sharron Angle,Rory Reid,Female,White,65 or over,Independent,Conservative,"Under $30,000",High school graduate,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,Illegal immigration,,Very worried,Somewhat disapprove,,,Omit,,Omit,,,No,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Something else,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Omit,Omit,Omit,,,Yes,,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,2.0,West,Version 1,High Density Urban,Urban,Urban Core,Downscale,89107.0
902531.0,Nevada,101.0,Call 2,Complete,Election day exit poll,0.330000013113022,,Rory Reid,Female,Black,40-44,Democrat,Moderate,"Under $30,000",High school graduate,No,,,,,,,,Government should do more to solve problems,Omit,The economy,,Very worried,Somewhat approve,,,Neutral,,Before that,,,No,,Black female,Black women,30-44,30-59,18-44,30-44,40-49,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,Neutral,Before that,In the last month or earlier,,,No,Non-Tea Party supporters and Democrats,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,High Density Urban,Urban,Urban Core,Very downscale,89512.0
916477.0,Nevada,2.0,Call 3,Complete,Election day exit poll,0.349999994039536,Harry Reid,Brian Sandoval,Male,White,30-39,,,,College graduate,,,,,,,,,Omit,Omit,The economy,,Omit,Somewhat approve,,,Somewhat oppose,,Before that,,,No,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,The economy,Omit,Approve,,,,,White,Oppose,Before that,In the last month or earlier,,,,,,Omit,,,,,State questionnaire,,"Cities 50,000-500,000","Cities over 50,000",2.0,3.0,West,Version 1,Suburb,Urban,Urban Core,Upscale,89701.0
884156.0,Nevada,97.0,Call 1,Complete,Election day exit poll,0.610000014305115,Harry Reid,Brian Sandoval,Male,White,18-24,Independent,Liberal,"Under $30,000",Some college/assoc. degree,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Somewhat worried,Somewhat disapprove,,,Strongly oppose,,Before that,,,No,,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Oppose,Before that,In the last month or earlier,,,Yes,Non-Tea Party supporters and Independents/Something else,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,Suburb,Urban,Urban Core,Very upscale,89523.0
903185.0,Nevada,54.0,Call 2,Complete,Election day exit poll,0.46000000834465,Harry Reid,Brian Sandoval,Male,White,30-39,Democrat,Liberal,"$30,000-$49,999",High school graduate,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Somewhat worried,Somewhat disapprove,,,Neutral,,Before that,,,Yes,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,The economy,Worried,Disapprove,Democrat,Democratic Men,White Democrats,Liberal Democrats,White,Neutral,Before that,In the last month or earlier,,,Yes,Non-Tea Party supporters and Democrats,,An insider who knows how to get things done,,,,,State questionnaire,English,Suburbs,Suburbs,1.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very downscale,89115.0
902595.0,Nevada,2.0,Call 2,Complete,Election day exit poll,0.439999997615814,Harry Reid,Brian Sandoval,Female,White,18-24,Independent,Moderate,"$30,000-$49,999",No high school diploma,No,,,,,,,,Government should do more to solve problems,Omit,Omit,,Very worried,Somewhat approve,,,Neutral,,Before that,,,No,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,Omit,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Neutral,Before that,In the last month or earlier,,,Yes,Non-Tea Party supporters and Independents/Something else,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,3.0,West,Version 1,Suburb,Urban,Urban Core,Upscale,89701.0
860568.0,Nevada,50007.0,,Complete,Telephone survey,5.1399998664856,Harry Reid,Brian Sandoval,Male,White,45-49,Democrat,Moderate,"$200,000 or more",College graduate,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Somewhat worried,Somewhat approve,,,Neutral,,Before that,,,No,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,The economy,Worried,Approve,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Neutral,Before that,In the last month or earlier,,,No,Non-Tea Party supporters and Democrats,,An outisder who wants to shake things up,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",3.0,2.0,West,Version 1,High Density Urban,Urban,Urban Core,Very upscale,89134.0
860533.0,Nevada,50007.0,,Complete,Telephone survey,1.01999998092651,Harry Reid,Brian Sandoval,Female,,65 or over,Independent,Moderate,"Under $30,000",High school graduate,,,,,,,,,Omit,Omit,The economy,,Not too worried,Strongly approve,,,Strongly oppose,,Before that,,,No,,,,65+,60+,45+,60+,65+,,No college degree,High school graduate or less,,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,,,The economy,Not worried,Approve,Independent/Something else,Independent Women,,Independents/Something else,,Oppose,Before that,In the last month or earlier,,,,Non-Tea Party supporters and Independents/Something else,,An insider who knows how to get things done,,,,,State questionnaire,,"Cities over 500,000","Cities over 50,000",3.0,2.0,West,Version 1,High Density Urban,Urban,Urban Core,Very upscale,89134.0
860476.0,Nevada,50001.0,,Complete,Telephone survey,2.05999994277954,Harry Reid,Brian Sandoval,Female,White,65 or over,Republican,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Somewhat worried,Somewhat disapprove,,,Neutral,,In the last week,,,No,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Neutral,In the last month,In the last week,,,No,Non-Tea Party supporters and Republicans,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,2.0,West,Version 1,Suburb,Urban,Urban Core,Very upscale,89131.0
