ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENCO10,GOVCO10,COAMD63,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,TEAPARTY,TEAREAS,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,DECLINE10,EXTREMEBEN,EXTREMEBUCK,HICKMAES,HICKTANC,IMMDEPORT,OBAMALIB,OUTSIDER,EXTREMECO,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4
864797.0,Colorado,,,Complete,Telephone survey,1.12999999523163,Michael Bennet,John Hickenlooper,No,Female,Hispanic,60-64,Independent,Conservative,,College graduate,Yes,,,,,,,,Government is doing too many things better left to businesses and individuals,,The economy,Very worried,Somewhat approve,,,,Strongly oppose,,Obama,Non black female,Latino women,45-65,60+,45+,60+,50-64,Latino 45-54,College graduate,More than High school graduate,Non white college degree,,,,,,,The economy,Worried,Approve,Independent/Something else,Independent Women,All others,Independents/Something else,Hispanic/Latino,Oppose,,,Non-Tea Party supporters and Independents/Something else,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,4.0,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
864789.0,Colorado,,,Complete,Telephone survey,0.990000009536743,Michael Bennet,John Hickenlooper,Yes,Male,Hispanic,50-59,Democrat,Liberal,"Under $30,000",No high school diploma,Yes,,,,,,,,Government is doing too many things better left to businesses and individuals,,Illegal immigration,Somewhat worried,Somewhat approve,,,,Neutral,,Obama,Non black male,Latino men,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Something else,Worried,Approve,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Hispanic/Latino,Neutral,No,,Non-Tea Party supporters and Democrats,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,4.0,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
864784.0,Colorado,,,Complete,Telephone survey,0.990000009536743,Michael Bennet,John Hickenlooper,No,Female,White,30-39,Democrat,Liberal,"$50,000-$74,999",Postgraduate study,No,,,,,,,,Government should do more to solve problems,,The economy,Somewhat worried,Strongly approve,,,,Strongly oppose,,Obama,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Worried,Approve,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,Oppose,No,,Non-Tea Party supporters and Democrats,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Upscale
864781.0,Colorado,,,Complete,Telephone survey,0.990000009536743,Michael Bennet,Dan Maes,,Female,White,50-59,Independent,Liberal,"$100,000-$199,999",College graduate,No,,,,,,,,Government should do more to solve problems,,The economy,Somewhat worried,Strongly approve,,,,Strongly oppose,,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,The economy,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Oppose,No,,Non-Tea Party supporters and Independents/Something else,,,,,,,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,5.0,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
866019.0,Colorado,,,Complete,Telephone survey,1.08000004291534,Ken Buck,Dan Maes,No,Female,White,65 or over,Republican,Conservative,"Under $30,000",High school graduate,No,Yes,,Unfavorable,Favorable,,,,,,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,Yes,White Born-again/Evangelical Christians,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,4.0,4.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Very downscale
866018.0,Colorado,,,Complete,Telephone survey,1.08000004291534,Ken Buck,Dan Maes,No,Male,White,45-49,Republican,Conservative,"$30,000-$49,999",High school graduate,No,No,,Unfavorable,Unfavorable,,,,,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,Yes,All others,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,,4.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale
866017.0,Colorado,,,Complete,Telephone survey,1.05999994277954,Michael Bennet,John Hickenlooper,No,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",College graduate,No,No,,Favorable,Unfavorable,,,,,,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,No,All others,,,,,,,,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,4.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale
866013.0,Colorado,,,Complete,Telephone survey,1.08000004291534,Ken Buck,Dan Maes,,Male,White,65 or over,Republican,Conservative,"Under $30,000",High school graduate,No,Yes,,Unfavorable,Favorable,,,,,,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,Yes,White Born-again/Evangelical Christians,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,4.0,4.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Very downscale
866012.0,Colorado,,,Complete,Telephone survey,1.05999994277954,Michael Bennet,John Hickenlooper,No,Female,White,65 or over,Democrat,Moderate,"$30,000-$49,999",Postgraduate study,No,No,,Favorable,Unfavorable,,,,,,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,No,All others,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,3.0,4.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Very downscale
866006.0,Colorado,,,Complete,Telephone survey,1.05999994277954,Michael Bennet,John Hickenlooper,No,Female,White,65 or over,Democrat,Conservative,"$30,000-$49,999",Some college/assoc. degree,No,Yes,,Omit,Unfavorable,,,,,,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,Yes,White Born-again/Evangelical Christians,,,,,,,,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,,4.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Very downscale
866002.0,Colorado,,,Complete,Telephone survey,0.300000011920929,Michael Bennet,John Hickenlooper,No,Male,White,45-49,Independent,Conservative,"$75,000-$99,999",College graduate,No,No,,Unfavorable,Unfavorable,,,,,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,No,All others,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,2.0,3.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale
865996.0,Colorado,,,Complete,Telephone survey,0.300000011920929,Ken Buck,Dan Maes,No,Female,White,60-64,,Conservative,"Under $30,000",High school graduate,No,Yes,,Unfavorable,Unfavorable,,,,,,,,,,,,,,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,,,,,,,,White,,Yes,White Born-again/Evangelical Christians,,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,4.0,4.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Very downscale
865994.0,Colorado,,,Complete,Telephone survey,0.300000011920929,Michael Bennet,John Hickenlooper,,Female,White,65 or over,Democrat,,"Under $30,000",High school graduate,No,Yes,,Favorable,Favorable,,,,,,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,,,,Democrat,Democratic Women,White Democrats,,White,,Yes,White Born-again/Evangelical Christians,,,,,,,,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,5.0,3.0,West,Version 4,Extremely Low Density Rural,Rural,Rural,Very downscale
865588.0,Colorado,,,Complete,Telephone survey,1.07000005245209,Did not vote,Other,No,Male,White,45-49,Independent,Conservative,,Postgraduate study,No,,,,,,,,,Repeal it,,,,Spending to create jobs,,,Strongly support,,Obama,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Support,,,Tea Party supporters,,,,,,,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,3.0,4.0,West,Version 3,Extremely Low Density Rural,Rural,Rural,Downscale
865579.0,Colorado,,,Complete,Telephone survey,1.07000005245209,Ken Buck,Tom Tancredo,Yes,Female,White,40-44,Republican,Conservative,,College graduate,No,,,,,,,,,Repeal it,,,,Reducing the budget deficit,,,Somewhat support,,McCain,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,Support,,,Tea Party supporters,,,,,,,,,,National questionnaire,English,Rural,Small Cities/Rural,4.0,4.0,West,Version 3,Extremely Low Density Rural,Rural,Rural,Very downscale
856681.0,Colorado,,,Complete,Telephone survey,0.25,Ken Buck,Dan Maes,No,Female,White,60-64,Republican,Conservative,"$50,000-$74,999",Some college/assoc. degree,No,Yes,I strongly favor my candidate,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,Angry,Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Strongly disapprove,Cutting taxes,Can bring needed change,The Republican Party,Strongly support,The Tea Party movement was not a factor,McCain,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Negative,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,Support,No,White Born-again/Evangelical Christians,Tea Party supporters,"A serious, long-term decline",Omit,No,Dan Maes,Tom Tancredo,Deported to the country they came from,Too liberal,An insider who knows how to get things done,Omit,State questionnaire,English,Rural,Small Cities/Rural,5.0,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale
856669.0,Colorado,,,Complete,Telephone survey,0.870000004768372,Ken Buck,Tom Tancredo,No,Female,White,65 or over,Republican,Conservative,"$50,000-$74,999",Postgraduate study,No,No,I dislike the other candidate,Unfavorable,Favorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",Government is doing too many things better left to businesses and individuals,Repeal it,The economy,Very worried,Strongly disapprove,Spending to create jobs,Has the right experience,The Republican Party,Somewhat support,The Tea Party movement was not a factor,McCain,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Negative,The economy,Worried,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,Support,No,All others,Tea Party supporters,Omit,Omit,Omit,Would not have voted,Tom Tancredo,Omit,Too liberal,An insider who knows how to get things done,Omit,State questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,4.0,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
857235.0,Colorado,,,Complete,Telephone survey,1.83000004291534,Michael Bennet,John Hickenlooper,No,Male,White,50-59,Democrat,Moderate,"$50,000-$74,999",College graduate,No,No,I strongly favor my candidate,Favorable,Favorable,About the same,To express support for Barack Obama,"Dissatisfied, but not angry",Government should do more to solve problems,Expand it,The economy,Very worried,Somewhat approve,Spending to create jobs,Understands the needs of people like me,Does not matter to me,Neutral,The Tea Party movement was not a factor,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Negative,The economy,Worried,Approve,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Neutral,No,All others,Non-Tea Party supporters and Democrats,"A serious, long-term decline",Omit,Yes,John Hickenlooper,John Hickenlooper,Offered a chance to apply for legal status,About right,An insider who knows how to get things done,Omit,State questionnaire,English,Rural,Small Cities/Rural,4.0,4.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale
