ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENIA10,GOVIA10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,FAVDEM2,FAVREP2,FAVPALIN2,FAVROMN2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,NECWORRY,OBAMA4,PRIORITY,TEAPARTY,TRACK,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,WHNCLINC,WHTEVANG,XTEAPARTYID,CELLPHONE,LANDPHONE,RCAUC2012,SAMESEXM,CELLULAR,REP2012C,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
916546.0, Iowa,26.0,Call 3,Not complete,Election day exit poll,0.635745346546173,Chuck Grassley,Chet Culver,Female,White,30-39,,,,High school graduate,No,,Yes,,,,,,,,Government should do more to solve problems,,,,,,,Seriously off on the wrong track,,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,Moms - Women with children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,52330.0
916504.0, Iowa,26.0,Call 3,Not complete,Election day exit poll,0.660746932029724,Chuck Grassley,Chet Culver,Female,Hispanic,60-64,,,,High school graduate,Yes,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black female,Latino women,45-65,60+,45+,60+,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,52330.0
879043.0, Iowa,29.0,Call 1,Not complete,Election day exit poll,0.719285249710083,Chuck Grassley,Chet Culver,Male,White,65 or over,,,,High school graduate,No,,No,,,,,,,,Government should do more to solve problems,,,,,,,Seriously off on the wrong track,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Upscale,52623.0
879511.0, Iowa,21.0,Call 1,Not complete,Election day exit poll,0.970556855201721,Chuck Grassley,Terry Branstad,Male,White,65 or over,,,,,No,,,,,,,,,,,,,,,,,,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,4.0,3.0,Midwest,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,50266.0
878418.0, Iowa,45.0,Call 1,Not complete,Election day exit poll,0.679177761077881,Chuck Grassley,Terry Branstad,Female,White,65 or over,,,,Some college/assoc. degree,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,52322.0
916976.0, Iowa,80.0,Call 3,Not complete,Election day exit poll,0.994079828262329,Chuck Grassley,Terry Branstad,Male,White,45-49,,,,College graduate,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,3.0,Midwest,Version 1,Suburb,Urban,Urban Core,Downscale,50315.0
878072.0, Iowa,16.0,Call 1,Not complete,Election day exit poll,0.750248312950134,Chuck Grassley,Terry Branstad,Male,White,65 or over,,,,High school graduate,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,4.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Downscale,51301.0
916916.0, Iowa,59.0,Call 3,Not complete,Election day exit poll,0.902098953723907,Chuck Grassley,Terry Branstad,Male,White,30-39,,,,College graduate,No,,Yes,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,Dads - Men with children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,52302.0
916770.0, Iowa,26.0,Call 3,Not complete,Election day exit poll,0.722557008266449,Chuck Grassley,Terry Branstad,Male,White,50-59,,,,High school graduate,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,52330.0
916598.0, Iowa,70.0,Call 3,Not complete,Election day exit poll,1.26285648345947,Chuck Grassley,Terry Branstad,Male,White,60-64,,,,College graduate,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,52769.0
916511.0, Iowa,59.0,Call 3,Not complete,Election day exit poll,0.902098953723907,Chuck Grassley,Terry Branstad,Male,White,30-39,,,,College graduate,No,,Yes,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,Dads - Men with children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Suburb,70s Suburbs,Urban Perimeter,Very upscale,52302.0
916348.0, Iowa,113.0,Call 3,Not complete,Election day exit poll,0.884149730205536,Chuck Grassley,Terry Branstad,Female,White,50-59,,,,High school graduate,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,4.0,Midwest,Version 1,Suburb,Urban,Urban Core,Upscale,51106.0
916245.0, Iowa,21.0,Call 3,Not complete,Election day exit poll,0.933832585811615,Chuck Grassley,Terry Branstad,Male,White,30-39,,,,,,,,,,,,,,,,,,,,,,,,,Non black male,White men,30-44,30-59,18-44,30-44,30-39,White 30-44,,,,,,,,,,,,,,,,,,White,,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,4.0,3.0,Midwest,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,50266.0
878312.0, Iowa,16.0,Call 1,Not complete,Election day exit poll,0.689190149307251,Chuck Grassley,Terry Branstad,Female,White,65 or over,,,,Some college/assoc. degree,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,4.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Downscale,51301.0
877608.0, Iowa,45.0,Call 1,Not complete,Election day exit poll,0.739348888397217,Chuck Grassley,Terry Branstad,Male,White,65 or over,,,,High school graduate,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,1.0,Midwest,Version 1,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,52322.0
880421.0, Iowa,96.0,Call 1,Not complete,Election day exit poll,0.391918301582336,Chuck Grassley,Terry Branstad,Male,White,65 or over,,,,No high school diploma,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,4.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,51247.0
877616.0, Iowa,106.0,Call 1,Not complete,Election day exit poll,0.969078600406647,Chuck Grassley,Terry Branstad,Female,White,50-59,,,,Postgraduate study,No,,No,,,,,,,,Government is doing too many things better left to businesses and individuals,,,,,,,Seriously off on the wrong track,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,Women without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Upscale,52201.0
877708.0, Iowa,106.0,Call 1,Not complete,Election day exit poll,1.92823958396912,Other,Chet Culver,Male,White,45-49,,,,High school graduate,No,,No,,,,,,,,Government should do more to solve problems,,,,,,,Seriously off on the wrong track,,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,Men without children,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,2.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Upscale,52201.0
866076.0, Iowa,50000.0,,Complete,Telephone survey,0.576528429985046,Chuck Grassley,,Female,White,65 or over,Independent,Moderate,"Under $30,000",High school graduate,,Yes,No,Omit,Omit,,,,,,,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,Yes,White Born-again/Evangelical Christians,,No,Yes,,,Only regular land-line phone service,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,1.0,Midwest,Version 4,High Density Urban,Urban,Urban Core,Upscale,52803.0
897054.0, Iowa,35.0,Call 2,Complete,Election day exit poll,0.910033047199249,Chuck Grassley,Chet Culver,Male,White,25-29,Republican,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,No,No,Omit,Omit,,,,,,,,,,,,,,,,Non black male,White men,18-29,18-29,18-44,18-29,25-29,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Men without children,,,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,No,All others,,Yes,No,,,Only cell phone service,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,1.0,Midwest,Version 4,Suburb,Urban,Urban Core,Downscale,52001.0
896654.0, Iowa,88.0,Call 2,Complete,Election day exit poll,1.29038071632385,Chuck Grassley,Terry Branstad,Female,White,45-49,Independent,,"Under $30,000",College graduate,No,No,Yes,Omit,Favorable,,,,,,,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Moms - Women with children,,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,No,All others,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,Rural,Small Cities/Rural,5.0,4.0,Midwest,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale,50561.0
866078.0, Iowa,50010.0,,Complete,Telephone survey,1.13399040699005,Roxanne Conlin,Chet Culver,Female,Black,50-59,Democrat,Conservative,"Under $30,000",High school graduate,,Yes,Yes,Favorable,Favorable,,,,,,,,,,,,,,,,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,Moms - Women with children,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,All others,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,3.0,Midwest,Version 4,Suburb,Urban,Urban Core,Downscale,50315.0
897486.0, Iowa,26.0,Call 2,Not complete,Election day exit poll,0.985665380954742,Roxanne Conlin,Chet Culver,Male,White,18-24,,,,College graduate,No,,,Favorable,Favorable,,,Better,,,,,,,,,,,,,Non black male,White men,18-29,18-29,18-44,18-29,18-24,White 18-29,College graduate,More than High school graduate,White college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,2.0,Midwest,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,52330.0
866079.0, Iowa,50014.0,,Complete,Telephone survey,1.36883985996246,Chuck Grassley,Chet Culver,Female,White,50-59,Independent,Moderate,"$50,000-$74,999",Some college/assoc. degree,,No,No,Favorable,Favorable,,,,,,,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,No,All others,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,Rural,Small Cities/Rural,4.0,3.0,Midwest,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale,50246.0
916222.0, Iowa,35.0,Call 3,Complete,Election day exit poll,0.719645380973816,Chuck Grassley,Terry Branstad,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",High school graduate,No,No,Yes,Favorable,Favorable,,,,,,,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Moms - Women with children,,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,,Yes,All others,,Yes,No,,,Only cell phone service,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,1.0,Midwest,Version 4,Suburb,Urban,Urban Core,Downscale,52001.0
916264.0, Iowa,35.0,Call 3,Complete,Election day exit poll,1.02769219875336,Did not vote,Did not vote,Female,White,18-24,Republican,Conservative,"Under $30,000",Some college/assoc. degree,No,Yes,No,Unfavorable,Favorable,,,,,,,,,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,Yes,White Born-again/Evangelical Christians,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,1.0,Midwest,Version 4,Suburb,Urban,Urban Core,Downscale,52001.0
866075.0, Iowa,,,Complete,Telephone survey,1.21303474903107,Roxanne Conlin,Terry Branstad,Female,White,50-59,Democrat,Conservative,"$50,000-$74,999",No high school diploma,,Yes,No,Unfavorable,Favorable,,,,,,,,,,,,,,,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,,,,,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,,No,White Born-again/Evangelical Christians,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,4.0,Midwest,Version 4,Suburb,Urban,Urban Core,Very downscale,51501.0
898094.0, Iowa,81.0,Call 2,Not complete,Election day exit poll,0.633621990680695,Roxanne Conlin,Terry Branstad,Female,Hispanic,65 or over,,,,College graduate,Yes,,,Unfavorable,Favorable,,,Worse,,,,,,,,,,,,,Non black female,Latino women,65+,60+,45+,60+,65+,Latino 65+,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,3.0,Midwest,Version 2,Suburb,Urban,Urban Core,Very upscale,50321.0
917621.0, Iowa,88.0,Call 3,Complete,Election day exit poll,1.62125468254089,Chuck Grassley,Chet Culver,Female,White,18-24,Independent,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,No,No,Unfavorable,Favorable,,,,,,,,,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,Yes,All others,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,Rural,Small Cities/Rural,5.0,4.0,Midwest,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale,50561.0
896995.0, Iowa,35.0,Call 2,Complete,Election day exit poll,0.710092723369598,Chuck Grassley,Terry Branstad,Female,White,18-24,Republican,Conservative,"Under $30,000",College graduate,No,No,No,Unfavorable,Favorable,,,,,,,,,,,,,,,,Non black female,White women,18-29,18-29,18-44,18-29,18-24,White 18-29,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,No,All others,,No,No,,,No telephone service at home,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,1.0,Midwest,Version 4,Suburb,Urban,Urban Core,Downscale,52001.0
917857.0, Iowa,88.0,Call 3,Complete,Election day exit poll,1.4599426984787,Chuck Grassley,Terry Branstad,Male,White,60-64,Republican,Moderate,"$30,000-$49,999",High school graduate,No,No,No,Unfavorable,Favorable,,,,,,,,,,,,,,,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Men without children,,,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,Yes,All others,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,Rural,Small Cities/Rural,5.0,4.0,Midwest,Version 4,Extremely Low Density Rural,Rural,Rural,Downscale,50561.0
877983.0, Iowa,35.0,Call 1,Complete,Election day exit poll,0.747946441173553,Chuck Grassley,Terry Branstad,Female,White,65 or over,Independent,Conservative,,Some college/assoc. degree,No,No,No,Unfavorable,Favorable,,,,,,,,,,,,,,,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,,,,,,Women without children,,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,All others,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,1.0,Midwest,Version 4,Suburb,Urban,Urban Core,Downscale,52001.0
877952.0, Iowa,21.0,Call 1,Complete,Election day exit poll,0.933832585811615,Chuck Grassley,Terry Branstad,Male,White,50-59,Republican,Conservative,"$100,000-$199,999",High school graduate,No,Yes,No,Unfavorable,Favorable,,,,,,,,,,,,,,,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Men without children,,,,,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,No,White Born-again/Evangelical Christians,,Yes,Yes,,,Both regular land-line and cell phone service,,,National questionnaire,Suburbs,Suburbs,4.0,3.0,Midwest,Version 4,Suburb,80s Suburbs,Urban Perimeter,Very upscale,50266.0
