ID,ATTEND,ATTEND2,BACKSIDE,BREAK16PRID,BREAKFACTD,BREAKIMPD,CALL,CDNUM,CLINTONLIB,CONTACT16PRI,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GUNCHOICE,GUNOWNER12,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,MARRIED,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SATHCLIN,SATSANDERS,SCDPRS16,SCOTUSDEM16,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
139395.0,Once a week,Weekly,Complete,,,,Call 3,1.0,About right,Yes,,,,College graduate,College graduate,More than High school graduate,White college degree,5.0,,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,,Have experience in politics,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,20.0,Yes,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Dissatisfied,Hillary Clinton,,Female,White women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.97524082660675,No,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,29464.0
139379.0,More than once a week,Weekly,Complete,,,,Call 3,5.0,About right,Yes,,,,College graduate,College graduate,More than High school graduate,Non white college degree,2.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,,Have experience in politics,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Very liberal,Liberal,Liberal,113.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Male,Black men,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.356915920972824,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,29730.0
139378.0,A few times a month,Occasionally,Complete,,,,Call 3,1.0,About right,No,,,,College graduate,College graduate,More than High school graduate,Non white college degree,5.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Omit,Omit,Omit,Economy/Jobs,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,20.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Male,Black men,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.588912069797516,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,29464.0
139373.0,Once a week,Weekly,Complete,,,,Call 3,4.0,About right,No,,,,College graduate,College graduate,More than High school graduate,Non white college degree,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,59.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.321832299232483,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,Black 17-29,29680.0
139368.0,A few times a year,Occasionally,Complete,,,,Call 3,4.0,About right,No,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,59.0,No,Can win in November,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.321832299232483,No,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Black 17-29,29680.0
139366.0,Once a week,Weekly,Complete,,,,Call 3,5.0,About right,No,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,113.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Satisifed,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.343870580196381,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44,29730.0
139364.0,Never,Never,Complete,,,,Call 3,5.0,About right,Yes,,,,Some college/assoc. degree,No college degree,More than High school graduate,,2.0,,,,,,,,,,,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Omit,Democrat,,,Democrat,,,,,82.0,No,Has the right experience,,,State questionnaire,,,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Omit,Hillary Clinton,,Female,,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,0.48323866724968,,,,,,,,,,29127.0
139359.0,Never,Never,Complete,,,,Call 3,1.0,Not liberal enough,Yes,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,20.0,Yes,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Male,White men,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,1.01223838329315,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,29464.0
139358.0,A few times a year,Occasionally,Complete,,,,Call 3,4.0,About right,No,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Health care,,,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,59.0,Yes,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Female,White women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.51141619682312,Yes,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,29680.0
139353.0,A few times a year,Occasionally,Complete,,,,Call 3,1.0,About right,Yes,,,,College graduate,College graduate,More than High school graduate,Non white college degree,5.0,,,,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,20.0,Yes,Can win in November,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.567387223243713,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,29464.0
139350.0,A few times a month,Occasionally,Complete,,,,Call 3,5.0,About right,No,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Conservative,Moderate or conservative,Conservative,113.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.343870580196381,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,29730.0
139349.0,Once a week,Weekly,Complete,,,,Call 3,6.0,About right,No,,,,High school or less,No college degree,High school graduate or less,White no college degree,3.0,,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,,,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,106.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,2.01218438148499,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59,29150.0
139347.0,A few times a year,Occasionally,Complete,,,,Call 3,1.0,About right,No,,,,College graduate,College graduate,More than High school graduate,White college degree,5.0,,,,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,,,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,20.0,Yes,Can win in November,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,Too liberal,Satisifed,Dissatisfied,Hillary Clinton,,Female,White women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.97524082660675,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,29464.0
139345.0,Once a week,Weekly,Complete,,,,Call 3,6.0,About right,No,,,,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,,,Be from outside the political establishment,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,106.0,Yes,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,Hillary Clinton,,Male,Black men,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,1.67543303966522,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,29150.0
139344.0,Once a week,Weekly,Complete,,,,Call 3,5.0,Omit,No,,,,,,,,2.0,,,,,,,,,,,,,Omit,Omit,Omit,Economy/Jobs,,,Have experience in politics,,,,,,,,,82.0,Yes,Omit,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Omit,Omit,Omit,South,Omit,Satisifed,Satisifed,Hillary Clinton,,Female,Black women,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,0.437888145446777,,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,29127.0
139341.0,A few times a month,Occasionally,Complete,,,,Call 3,6.0,About right,Yes,,,,College graduate,College graduate,More than High school graduate,Non white college degree,3.0,,,,,,,,,,,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,106.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,"Cities 10,000-50,000",Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,1.61419558525085,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,29150.0
139340.0,A few times a month,Occasionally,Complete,,,,Call 3,5.0,Omit,Yes,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Omit,,,Have experience in politics,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Conservative,Moderate or conservative,Conservative,113.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Omit,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.343870580196381,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,29730.0
139338.0,A few times a month,Occasionally,Complete,,,,Call 3,5.0,About right,Yes,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,82.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Dissatisfied,Hillary Clinton,,Male,Black men,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,0.45450022816658,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,29127.0
139337.0,Once a week,Weekly,Complete,,,,Call 3,4.0,About right,No,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,59.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Satisifed,Hillary Clinton,,Male,Black men,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.334041595458984,No,17-29,17-29,25-29,17-44,17-49,17-29,25-29,Black 17-29,29680.0
139335.0,More than once a week,Weekly,Complete,,,,Call 3,5.0,About right,Yes,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,113.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten better,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,Not liberal enough,Satisifed,Satisifed,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.343870580196381,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,29730.0
