ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CLINBUSINESS,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GOVTANGR16,GOVTANGR16B,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,ISSDEM16,MARRIED,MIDPRS16,OBAMAPLCY,OUTSIDER16,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDBUSINESS,SANDERSLIB,SANDHONEST,SANDREALISTIC,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNIONHH12,VERSION,WATERREG,WEIGHT,WHNCLINC,ZIPCODE
441305.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,6.0,,,Realistic,About right,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Income inequality,Yes,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,131.0,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Omit,Omit,Omit,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Male,White men,Married men,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Creates more U.S. jobs,No,Version 2,The government should strengthen regulations,0.898634135723114,No,49079.0
441304.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,1.0,About right,Yes,,,Favors the wealthy,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,,Hillary Clinton,Change to more liberal policies,Have experience in politics,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Very liberal,Liberal,Liberal,48.0,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,Too anti-business,,Yes,,,,Female,White women,,Rural,Small Cities/Rural, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,Version 1,,0.582775354385376,No,49670.0
441303.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,12.0,About right,Yes,,,Favors the wealthy,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,White Republican,Very liberal,Liberal,Liberal,148.0,Has the right experience,White,White,State questionnaire,White,White,,,,,Midwest,Too anti-business,,Yes,,,,Female,White women,,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,Version 1,,1.41598117351532,No,48134.0
441302.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,6.0,About right,Omit,,,Favors the wealthy,Very worried,Worried,High school or less,No college degree,High school graduate or less,White no college degree,4.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Health care,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,,,,1.0,Has the right experience,White,White,State questionnaire,White,White,,,,,Midwest,Too pro-business,,No,,,,Male,White men,,Rural,Small Cities/Rural, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,Version 1,,0.735727369785309,Yes,49080.0
441301.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,2.0,,,Realistic,About right,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,No,Hillary Clinton,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,115.0,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Dissatisfied,Female,White women,Non married women,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Takes away U.S. jobs,Yes,Version 2,The government should strengthen regulations,0.888932943344116,No,49423.0
441300.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 1,8.0,,,Realistic,About right,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,3.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Income inequality,No,Hillary Clinton,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Something else,All others,Somewhat liberal,Liberal,Liberal,29.0,Honest and trustworthy,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,About right,,Realistic,Satisifed,Satisifed,Female,Latino women,Non married women,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Creates more U.S. jobs,Yes,Version 2,The government should strengthen regulations,1.1292005777359,No,49264.0
441298.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,6.0,,,Realistic,About right,,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,4.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Economy/Jobs,Yes,Hillary Clinton,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,131.0,Has the right experience,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,About right,,Realistic,Satisifed,Satisifed,Female,White women,Married women,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Has no effect on U.S. jobs,No,Version 2,The government should strengthen regulations,0.689935207366943,Yes,49079.0
441295.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,6.0,About right,Yes,,,Favors the wealthy,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,4.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,1.0,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,Too anti-business,,No,,,,Male,White men,,Rural,Small Cities/Rural, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,Version 1,,0.671647667884827,No,49080.0
441290.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,8.0,,,Realistic,About right,,,,College graduate,College graduate,More than High school graduate,White college degree,3.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Economy/Jobs,Yes,Hillary Clinton,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,29.0,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Dissatisfied,Male,White men,Married men,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Creates more U.S. jobs,Yes,Version 2,The government should strengthen regulations,1.47077322006226,No,49264.0
441289.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Not complete,Call 1,6.0,,,Realistic,,,,,,,,,4.0,,,,,,,,,,,,Hillary Clinton,,,45+,18-64,,,,,,,,,131.0,,White,White,State questionnaire,White,White,Gotten better,,,,Midwest,,,,Realistic,Satisifed,Satisifed,Female,White women,,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,,No,Version 2,Regulations go far enough already,0.755759656429291,,49079.0
441287.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 1,1.0,,,Realistic,Not liberal enough,,,,College graduate,College graduate,More than High school graduate,White college degree,5.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Economy/Jobs,Yes,Hillary Clinton,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Very liberal,Liberal,Liberal,48.0,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Male,White men,Married men,Rural,Small Cities/Rural, Michigan,Election day exit poll,,,,,Creates more U.S. jobs,Yes,Version 2,The government should strengthen regulations,0.692947626113892,No,49670.0
445331.0,30-44,30-59,40-44,18-44,18-49,30-44,40-49,,,,Complete,Call 3,4.0,Too pro-business,Yes,,,Is fair to most Americans,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,,5.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999",,Income inequality,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,18-44,18-64,Independent/Something else,,,Independent,,Very liberal,Liberal,Liberal,86.0,Can win in November,,,State questionnaire,,,,,,,Midwest,Too pro-business,,No,,,,Male,,,Suburbs,Suburbs, Michigan,Election day exit poll,Just today,Last few days,In the last month,This month,,,Version 1,,0.910082697868347,,48885.0
441276.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Call 1,2.0,About right,Yes,,,Is fair to most Americans,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4.0,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Terrorism,,Hillary Clinton,Generally continue Barack Obama's policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,115.0,Has the right experience,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,Midwest,About right,,Yes,,,,Male,Latino men,,Suburbs,Suburbs, Michigan,Election day exit poll,In the last few days,Last few days,In the last month,This month,,,Version 1,,1.05698359012604,No,49423.0
441275.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,6.0,,,Realistic,About right,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Income inequality,Yes,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,131.0,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,About right,,Realistic,Satisifed,Satisifed,Female,White women,Married women,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Takes away U.S. jobs,No,Version 2,The government should strengthen regulations,0.689935207366943,No,49079.0
441270.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,1.0,,,Realistic,About right,,,,High school or less,No college degree,High school graduate or less,White no college degree,5.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Economy/Jobs,No,Hillary Clinton,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,48.0,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,About right,,Realistic,Satisifed,Satisifed,Male,White men,Non married men,Rural,Small Cities/Rural, Michigan,Election day exit poll,,,,,Omit,No,Version 2,Regulations go far enough already,0.692947626113892,Yes,49670.0
441269.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,6.0,,,Realistic,About right,,,,High school or less,No college degree,High school graduate or less,White no college degree,4.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Terrorism,No,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,131.0,Cares about people like me,White,White,State questionnaire,White,White,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Dissatisfied,Female,White women,Non married women,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Creates more U.S. jobs,No,Version 2,The government should strengthen regulations,0.689935207366943,Yes,49079.0
441268.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,Call 1,2.0,About right,Yes,,,Favors the wealthy,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,4.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Economy/Jobs,,Hillary Clinton,Change to less liberal policies,Have experience in politics,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,115.0,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,,,,Midwest,Too pro-business,,Yes,,,,Male,Latino men,,Suburbs,Suburbs, Michigan,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,Version 1,,1.05698359012604,No,49423.0
445313.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 3,2.0,,,Realistic,About right,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,4.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Income inequality,Yes,Hillary Clinton,,,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,115.0,Has the right experience,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Male,Latino men,Married men,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Takes away U.S. jobs,No,Version 2,The government should strengthen regulations,0.96492338180542,No,49423.0
445311.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 3,11.0,,,Realistic,About right,,,,College graduate,College graduate,More than High school graduate,White college degree,1.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Income inequality,Yes,Hillary Clinton,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,153.0,Has the right experience,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,,Too liberal,,Not realistic,Satisifed,Satisifed,Male,White men,Married men,Suburbs,Suburbs, Michigan,Election day exit poll,,,,,Takes away U.S. jobs,No,Version 2,The government should strengthen regulations,3.04445385932922,No,48154.0
