ID,ATTEND,ATTEND2,BACKSIDE,CALL,CDNUM,CLINTONLIB,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GOVTANGR16,GOVTANGR16B,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,LATINO,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SATHCLIN,SATSANDERS,SCOTUSDEM16,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,UNFAIRDEM16,UNFAIRDEM16CLIN,UNFAIRDEM16SAND,VADPRS16,VALUESCLIN,VALUESDEM16,VALUESSANDERS,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
400716.0,Never,Never,Complete,Call 1,5.0,About right,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,1.0,Yes,Has the right experience,White,White,State questionnaire,White,White,White,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,,Male,White men,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.77397799491882,No,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,22932.0
400715.0,,,Not complete,Call 1,10.0,,Favors the wealthy,,,,,,,2.0,,,,,,,,,,,,,,,,,No,Change to more liberal policies,Have experience in politics,,,,,,,,,57.0,,,White,White,State questionnaire,White,White,White,,,,,South,,,,Hillary Clinton,Male,White men,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Hillary Clinton,,,,Version 1,1.60936796665192,,65+,60+,65 or over,45+,50+,60+,65+,White 60+,20165.0
400680.0,A few times a year,Occasionally,Complete,Call 1,5.0,About right,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,1.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,Too liberal,Satisifed,Satisifed,,Female,Black women,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.37071716785431,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,22932.0
400679.0,,,Not complete,Call 1,11.0,,Favors the wealthy,,,,,,,1.0,,,,,,,,,,,,,,,,,No,Generally continue Barack Obama's policies,Have experience in politics,,,,,,,,,28.0,,,White,White,State questionnaire,White,White,White,,,,,South,,,,Hillary Clinton,Female,White women,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Hillary Clinton,,,,Version 1,1.26138854026794,,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59,22044.0
400647.0,,,Complete,Call 1,11.0,,Favors the wealthy,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Income inequality,No,Change to more liberal policies,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,28.0,,Can win in November,White,White,State questionnaire,White,White,White,,,,,South,,,,Hillary Clinton,Female,White women,Suburbs,Suburbs, Virginia,Election day exit poll,In the last few days,Last few days,In the last month,This month,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Hillary Clinton,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,1.19634687900543,No,65+,60+,65 or over,45+,50+,60+,65+,White 60+,22044.0
400646.0,A few times a month,Occasionally,Complete,Call 1,5.0,About right,,,,High school or less,No college degree,High school graduate or less,White no college degree,4.0,Angry,"Dissatisfied, but not angry or Angry",,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,1.0,Yes,Cares about people like me,White,White,State questionnaire,White,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,,Male,White men,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.77397799491882,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,22932.0
400592.0,Never,Never,Complete,Call 1,11.0,Too liberal,,,,College graduate,College graduate,More than High school graduate,White college degree,1.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,No,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,28.0,Yes,Has the right experience,White,White,State questionnaire,White,White,White,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Dissatisfied,,Male,White men,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.42733788490295,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44,22044.0
408068.0,,,Complete,Call 2,1.0,,Favors the wealthy,Very worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,,,Income inequality,No,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,56.0,,Has the right experience,White,White,State questionnaire,White,White,White,,,,,South,,,,Hillary Clinton,Female,White women,Rural,Small Cities/Rural, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Hillary Clinton,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,1.7647819519043,No,65+,60+,65 or over,45+,50+,60+,65+,White 60+,22482.0
408677.0,,,Complete,Call 2,8.0,,Is fair to most Americans,Not too worried,Not worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Health care,No,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Somewhat liberal,Liberal,Liberal,5.0,,Has the right experience,White,White,State questionnaire,White,White,White,,,,,South,,,,Hillary Clinton,Male,White men,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Hillary Clinton,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,2.46153807640076,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,White 30-44,22202.0
400578.0,Never,Never,Complete,Call 1,5.0,Not liberal enough,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,4.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,No,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,1.0,Yes,Has the right experience,White,White,State questionnaire,White,White,White,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,About right,Satisifed,Satisifed,,Female,White women,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.47102153301239,No,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,22932.0
400570.0,,,Not complete,Call 1,10.0,,Favors the wealthy,,,,,,,2.0,,,,,,,,,,,,,,,,,No,Generally continue Barack Obama's policies,Have experience in politics,,,,,,,,,57.0,,,Black,Black,State questionnaire,Black,Non-white,Black,,,,,South,,,,Hillary Clinton,Female,Black women,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,,,Hillary Clinton,,,,Version 1,1.27661943435669,,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,20165.0
400548.0,Once a week,Weekly,Complete,Call 1,5.0,About right,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,4.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Terrorism,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,1.0,No,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,About right,Satisifed,Satisifed,,Female,Black women,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.37071716785431,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,22932.0
400526.0,,,Complete,Call 1,10.0,,Favors the wealthy,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,2.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,,Health care,No,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,57.0,,Has the right experience,White,White,State questionnaire,White,White,White,,,,,South,,,,Hillary Clinton,Female,White women,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Hillary Clinton,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,1.50996434688568,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,White 45-59,20165.0
400518.0,,,Complete,Call 1,8.0,,Is fair to most Americans,Not too worried,Not worried,Postgraduate study,College graduate,More than High school graduate,White college degree,1.0,,,Only Sanders,Only Sanders or Neither of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",,,,Economy/Jobs,No,Omit,Have experience in politics,Independent/Something else,Non-black non-Democrat,White Independent,Something else,White Independent,Moderate,Moderate or conservative,Moderate,5.0,,Can win in November,White,White,State questionnaire,White,White,White,,,,,South,,,,Hillary Clinton,Male,White men,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Both did,Only Clinton or Both of them,Only Sanders or Both of them,Hillary Clinton,Only Sanders or Neither of them,Neither of them,Only Clinton or Neither of them,Version 1,2.46153807640076,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,White 30-44,22202.0
407970.0,A few times a month,Occasionally,Not complete,Call 2,1.0,,,,,,,,,4.0,,,,,,,,,,,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,,No,,,,,,,,,,,56.0,Yes,,Black,Black,State questionnaire,Black,Non-white,Black,Stayed about the same,,,,South,,Satisifed,Dissatisfied,,Male,Black men,Rural,Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.97115302085876,,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,22482.0
400473.0,,,Complete,Call 1,10.0,,Favors the wealthy,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,,Terrorism,No,Generally continue Barack Obama's policies,Have experience in politics,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Somewhat liberal,Liberal,Liberal,57.0,,Cares about people like me,Other,Asian,State questionnaire,Asian,Non-white,Asian,,,,,South,,,,Hillary Clinton,Female,All other races,Suburbs,Suburbs, Virginia,Election day exit poll,Just today,Last few days,In the last month,This month,Both did,Only Clinton or Both of them,Only Sanders or Both of them,Hillary Clinton,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,1.50996434688568,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,All others,20165.0
406840.0,A few times a year,Occasionally,Complete,Call 2,11.0,Not liberal enough,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,1.0,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,Yes,,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,28.0,Yes,Has the right experience,Other,,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,About right,Satisifed,Dissatisfied,,Female,Latino women,Suburbs,Suburbs, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,0.92862206697464,No,45-65,60+,60-64,45+,50+,60+,50-64,Latino 60+,22044.0
400432.0,,,Complete,Call 1,1.0,,Favors the wealthy,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,Non white college degree,2.0,,,Both of them,Only Clinton or Both of them,Only Sanders or Both of them,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,,,Income inequality,No,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,68.0,,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Black,,,,,South,,,,Hillary Clinton,Female,Black women,Suburbs,Suburbs, Virginia,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Neither did,Only Sanders or Neither of them,Only Clinton or Neither of them,Hillary Clinton,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Version 1,0.489986687898636,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44,20181.0
400429.0,More than once a week,Weekly,Complete,Call 1,8.0,About right,,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,1.0,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,5.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Black,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,Too liberal,Satisifed,Satisifed,,Female,Black women,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,,,,,,,,Hillary Clinton,,,,Version 2,1.91515362262726,No,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,22202.0
