ID,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINHONEST,CLINREALISTIC,CLINTONLIB,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GENDISS,GENDISS2,GEOCODE,GETAHEAD,ILDPRS16,ILDSEN16,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INSPIRES16D,ISSDEM16,MARRIED,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SANDHONEST,SANDREALISTIC,SATHCLIN,SATSANDERS,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
493638.0,Complete,,Call 1,10.0,Hillary Clinton,No,,,Not at all worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,,,3.0,,Hillary Clinton,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Bernie Sanders,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,45.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,Yes,,,,Female,Black women,,Suburbs,Suburbs, Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.773491680622101,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,60085.0
506001.0,Complete,,Call 3,13.0,Hillary Clinton,Yes,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,5.0,,Hillary Clinton,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Hillary Clinton,Health care,,Generally continue Barack Obama's policies,Have experience in politics,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Somewhat liberal,Liberal,Liberal,59.0,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,,No,,,,Male,White men,,Suburbs,Suburbs, Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.729202926158905,No,65+,60+,65 or over,45+,50+,60+,65+,White 60+,62234.0
501549.0,Complete,Hillary Clinton,Call 2,6.0,,,Realistic,About right,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Not an important factor,Not an important factor,3.0,Getting ahead financially,Hillary Clinton,,,,,,,,,,Omit,Yes,,,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,9.0,Cares about people like me,Other,Asian,State questionnaire,Asian,Non-white,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,About right,,Not realistic,Satisifed,Satisifed,Male,All other races,Married men,Suburbs,Suburbs, Illinois,Election day exit poll,,,,,,Version 2,0.502415835857391,,30-44,30-59,30-39,17-44,17-49,30-44,30-39,All others,60185.0
494059.0,Complete,,Call 1,7.0,Hillary Clinton,Yes,,,Somewhat worried,Worried,College graduate,College graduate,More than High school graduate,Non white college degree,,,1.0,,Hillary Clinton,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Hillary Clinton,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,117.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,Yes,,,,Female,Black women,,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,1.56479966640472,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,60616.0
506133.0,Complete,Hillary Clinton,Call 3,9.0,,,Realistic,About right,,,High school or less,No college degree,High school graduate or less,Non white no college degree,The single most important factor,The single most important factor or one of several important factors,1.0,Falling behind financially,Hillary Clinton,,,,,,,,,,Terrorism,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,124.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,Too liberal,,Not realistic,Omit,Satisifed,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,,,,,,Version 2,1.27366507053375,,45-65,30-59,45-49,45+,17-49,45-59,40-49,Black 45-59,60660.0
505329.0,Complete,Hillary Clinton,Call 3,14.0,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,Non white college degree,Not an important factor,Not an important factor,3.0,Getting ahead financially,Hillary Clinton,,,,,,,,,,Economy/Jobs,Yes,,,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,Moderate or conservative,Moderate,96.0,Omit,Other,Asian,State questionnaire,Asian,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,Not liberal enough,,Not realistic,Satisifed,Dissatisfied,Female,All other races,Married women,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll,,,,,,Version 2,0.740642011165619,,45-65,30-59,50-59,45+,50+,45-59,50-64,All others,60564.0
505989.0,Complete,,Call 3,9.0,Hillary Clinton,Yes,,,Omit,Omit,College graduate,College graduate,More than High school graduate,Non white college degree,,,2.0,,Hillary Clinton,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Hillary Clinton,Health care,,Omit,Omit,Democrat,Non-black Democrat,All Other,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,133.0,Can win in November,Other,Asian,State questionnaire,Asian,Non-white,,,,,Midwest,,Omit,,,,Female,All other races,,Suburbs,Suburbs, Illinois,Election day exit poll,Just today,Last few days,In the last month,This month,Creates more U.S. jobs,Version 1,1.27349460124969,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,All others,60016.0
505206.0,Complete,Hillary Clinton,Call 3,7.0,,,Not realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,The single most important factor,The single most important factor or one of several important factors,1.0,Falling behind financially,Hillary Clinton,,,,,,,,,,Income inequality,Yes,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,100.0,Can win in November,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,About right,,Not realistic,Satisifed,Dissatisfied,Female,Black women,Married women,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,,,,,,Version 2,1.00268292427063,,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,60636.0
505156.0,Complete,Hillary Clinton,Call 3,7.0,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Not an important factor,Not an important factor,1.0,Falling behind financially,Hillary Clinton,,,,,,,,,,Economy/Jobs,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,100.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,Omit,,Omit,Satisifed,Satisifed,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,,,,,,Version 2,0.900945246219635,,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44,60636.0
505868.0,Complete,Bernie Sanders,Call 3,14.0,,,Realistic,About right,,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Not an important factor,Not an important factor,3.0,Holding steady financially,Hillary Clinton,,,,,,,,,,Economy/Jobs,Yes,,,Independent/Something else,Non-black non-Democrat,All Other,Independent,All others,Moderate,Moderate or conservative,Moderate,96.0,Has the right experience,Other,Asian,State questionnaire,Asian,Non-white,Stayed about the same,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,Too liberal,,Not realistic,Satisifed,Satisifed,Female,All other races,Married women,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll,,,,,,Version 2,0.740642011165619,,45-65,30-59,50-59,45+,50+,45-59,50-64,All others,60564.0
496933.0,Complete,Hillary Clinton,Call 1,18.0,,,Realistic,About right,,,College graduate,College graduate,More than High school graduate,Non white college degree,Not an important factor,Not an important factor,5.0,Getting ahead financially,Hillary Clinton,,,,,,,,,,Economy/Jobs,Yes,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,All others,Moderate,Moderate or conservative,Moderate,55.0,Cares about people like me,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Omit,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,About right,,Realistic,Satisifed,Satisifed,Female,Latino women,Married women,"Cities 50,000-500,000","Cities over 50,000", Illinois,Election day exit poll,,,,,,Version 2,0.872020661830902,,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Latino 30-44,61701.0
505102.0,Complete,,Call 3,7.0,Hillary Clinton,Yes,,,Somewhat worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,,,1.0,,Hillary Clinton,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Hillary Clinton,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,100.0,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,No,,,,Male,Black men,,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.813840210437775,No,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Black 17-29,60636.0
496038.0,Complete,Bernie Sanders,Call 1,2.0,,,Realistic,About right,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,The single most important factor,The single most important factor or one of several important factors,2.0,Falling behind financially,Hillary Clinton,,,,,,,,,,Economy/Jobs,No,,,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Somewhat liberal,Liberal,Liberal,131.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,Not liberal enough,,Not realistic,Satisifed,Dissatisfied,Female,Black women,Non married women,Suburbs,Suburbs, Illinois,Election day exit poll,,,,,,Version 2,0.662099421024323,,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44,60429.0
495454.0,Complete,,Call 1,3.0,Hillary Clinton,Yes,,,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,2.0,,Hillary Clinton,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Hillary Clinton,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,160.0,Cares about people like me,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Female,White women,,Suburbs,Suburbs, Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,0.854137480258942,Yes,65+,60+,65 or over,45+,50+,60+,65+,White 60+,60455.0
495235.0,Complete,,Call 1,1.0,Hillary Clinton,Yes,,,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,,,1.0,,Hillary Clinton,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Hillary Clinton,Economy/Jobs,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,113.0,Has the right experience,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,Omit,,,,Male,Black men,,"Cities over 500,000","Cities over 50,000", Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Takes away U.S. jobs,Version 1,2.00633406639099,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,60628.0
495192.0,Complete,,Call 1,14.0,Hillary Clinton,Yes,,,Not at all worried,Not worried,Postgraduate study,College graduate,More than High school graduate,White college degree,,,3.0,,Hillary Clinton,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Hillary Clinton,Health care,,Generally continue Barack Obama's policies,Have experience in politics,Independent/Something else,Non-black non-Democrat,White Independent,Independent,White Independent,Moderate,Moderate or conservative,Moderate,52.0,Has the right experience,White,White,State questionnaire,White,White,,,,,Midwest,,No,,,,Male,White men,,Suburbs,Suburbs, Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Creates more U.S. jobs,Version 1,0.951445877552032,No,65+,60+,65 or over,45+,50+,60+,65+,White 60+,60142.0
494886.0,Complete,,Call 1,13.0,Hillary Clinton,Yes,,,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,5.0,,Hillary Clinton,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Health care,,Change to less liberal policies,Be from outside the political establishment,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,59.0,Cares about people like me,White,White,State questionnaire,White,White,,,,,Midwest,,Yes,,,,Female,White women,,Suburbs,Suburbs, Illinois,Election day exit poll,Just today,Last few days,In the last month,This month,Creates more U.S. jobs,Version 1,0.626412749290466,No,45-65,30-59,50-59,45+,50+,45-59,50-64,White 45-59,62234.0
494691.0,Complete,,Call 1,2.0,Hillary Clinton,Yes,,,Not at all worried,Not worried,College graduate,College graduate,More than High school graduate,Non white college degree,,,4.0,,Hillary Clinton,,,,,,,,,Hillary Clinton,Income inequality,,Generally continue Barack Obama's policies,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,,,,35.0,Omit,Black,Black,State questionnaire,Black,Non-white,,,,,Midwest,,Omit,,,,Male,Black men,,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,Version 1,0.652280926704407,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,60901.0
494588.0,Complete,Hillary Clinton,Call 1,13.0,,,Realistic,About right,,,High school or less,No college degree,High school graduate or less,White no college degree,Not an important factor,Not an important factor,5.0,Omit,Hillary Clinton,,,,,,,,,,Health care,Yes,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,8.0,Has the right experience,White,White,State questionnaire,White,White,Stayed about the same,Only Sanders or Neither of them,Neither of them,Only Clinton or Neither of them,Midwest,Not liberal enough,,Not realistic,Satisifed,Dissatisfied,Male,White men,Married men,Suburbs,Suburbs, Illinois,Election day exit poll,,,,,,Version 2,1.33068287372589,,65+,60+,65 or over,45+,50+,60+,65+,White 60+,61778.0
494469.0,Complete,,Call 1,2.0,Hillary Clinton,Yes,,,Not at all worried,Not worried,High school or less,No college degree,High school graduate or less,White no college degree,,,4.0,,Hillary Clinton,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Terrorism,,Change to more liberal policies,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Very liberal,Liberal,Liberal,35.0,Can win in November,White,White,State questionnaire,White,White,,,,,Midwest,,No,,,,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,Just today,Last few days,In the last month,This month,Creates more U.S. jobs,Version 1,0.63434886932373,No,17-29,17-29,17-24,17-44,17-49,17-29,17-24,White 17-29,60901.0
506471.0,Not complete,,Call 3,17.0,,,,,Not at all worried,Not worried,,,,,,,4.0,,Hillary Clinton,,,,,,,,,,,,Change to more liberal policies,Have experience in politics,,,,,,,,,70.0,,,,State questionnaire,,,,,,,Midwest,,,,,,Female,,,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,,Version 1,0.439901649951935,,45-65,30-59,50-59,45+,50+,45-59,50-64,,61265.0
506448.0,Complete,Hillary Clinton,Call 3,17.0,,,Realistic,About right,,,High school or less,No college degree,High school graduate or less,Non white no college degree,The single most important factor,The single most important factor or one of several important factors,4.0,Getting ahead financially,Hillary Clinton,,,,,,,,,,Health care,No,,,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Very liberal,Liberal,Liberal,70.0,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,Midwest,Not liberal enough,,Not realistic,Omit,Dissatisfied,Male,Black men,Non married men,"Cities 10,000-50,000",Small Cities/Rural, Illinois,Election day exit poll,,,,,,Version 2,0.514065861701965,,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,61265.0
506282.0,Complete,Hillary Clinton,Call 3,13.0,,,Realistic,About right,,,High school or less,No college degree,High school graduate or less,White no college degree,Not an important factor,Not an important factor,5.0,Getting ahead financially,Hillary Clinton,,,,,,,,,,Terrorism,Yes,,,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Conservative,Moderate or conservative,Conservative,59.0,Honest and trustworthy,White,White,State questionnaire,White,White,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,Midwest,Omit,,Omit,Satisifed,Dissatisfied,Female,White women,Married women,Suburbs,Suburbs, Illinois,Election day exit poll,,,,,,Version 2,0.697149336338043,,65+,60+,65 or over,45+,50+,60+,65+,White 60+,62234.0
