ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSVA08,SENVA08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,BUSHMCCAIN,EXPER08,GOTV08,INTOUCH08,IRAQWAR,ISSUE08,NEC,NECWORRY,NEWVOTER,OBAMALIB,QLT08,RACEISS4,TIME08,UNFR08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EXPERMCCN,EXPEROBAM,GOTVMCCAIN,GOTVOBAMA,INC100K,INC50K,INCOME3,INCWHITE,INTOUCHMCCN,INTOUCHOBAM,IRAQWAR2,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,RACEISSA,RACEISSB,TIME3D08,TIME4,TIMEWK08,UNFRMCCN,UNFROBAM,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4401185.0, Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Republican,Conservative,"$100,000-$149,999",Postgraduate study,,Omit,,Take the country in a different direction,,Omit,,,The economy,Not so good,Somewhat worried,No,,Omit,Not a factor at all,Earlier in October,Both of them,Omit,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,Omit,Omit,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,,Not important,Not a factor,Sometime last week or earlier,Earlier in October,In the last month or before that,John McCain did,Barack Obama did,No,All others,Suburbs,Suburbs,11.0,North,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22192.0
4400611.0, Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,60-64,Independent,Conservative,"$30,000-$49,999",Some college or associate degree,,,No,Take the country in a different direction,,"Yes, for both Obama and McCain",,Strongly approve,The economy,Poor,,No,,Shares my values,Not a factor at all,Before that,Both of them,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,,,John McCain did,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Approve,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,Yes,All others,Suburbs,Suburbs,5.0,North,South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,22963.0
4400608.0, Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,60-64,Independent,Conservative,"$200,000 or more",Some college or associate degree,,,Yes,Take the country in a different direction,,Omit,,Strongly approve,Terrorism,Not so good,,No,,Has the right experience,Not a factor at all,Sometime in September,Neither of them,,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,,,Omit,Omit,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Approve,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did not,Barack Obama did not,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,7.0,North,South,Low Density Rural,Rural,Rural,Very downscale,22851.0
4401805.0, Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,75 or over,Republican,Conservative,"$15,000-$29,999",High school graduate,,,,,Only John McCain,,Both of them,,,,,,Too liberal,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,Yes,,Suburbs,Suburbs,7.0,North,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23238.0
4401804.0, Virginia,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,65-74,Independent,Conservative,"$15,000-$29,999",High school graduate,,,,,Only John McCain,,Only John McCain,,,,,,Too liberal,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,John McCain does,Barack Obama does not,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is,Barack Obama is not,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,,Yes,,Suburbs,Suburbs,7.0,North,South,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,22551.0
4401186.0, Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,30-39,Republican,Conservative,"$30,000-$49,999",College graduate,,Strongly disapprove,No,Take the country in a different direction,,"No, I was not contacted",,,The economy,Not so good,Not too worried,No,,Shares my values,Not a factor at all,Before that,Neither of them,Disapprove,Non black male,White men,White male,White male,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,,Not so good/Poor,Not worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did not,Barack Obama did not,No,All others,Suburbs,Suburbs,4.0,North,South,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,23831.0
4401182.0, Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Independent,Moderate,,Some college or associate degree,,Strongly disapprove,No,Take the country in a different direction,,"No, I was not contacted",,,The economy,Not so good,Very worried,No,,Shares my values,Not a factor at all,Before that,Both of them,Disapprove,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,,,,,,,,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,,All others,Rural,Small Cities/Rural,4.0,North,South,Extremely Low Density Rural,Rural,Rural,Very downscale,23824.0
4401181.0, Virginia,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Republican,Conservative,"$75,000-$99,999",Some college or associate degree,,Somewhat disapprove,Yes,Take the country in a different direction,,"No, I was not contacted",,,The economy,Poor,Very worried,No,,Has the right experience,Not a factor at all,Before that,Both of them,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,John McCain did not,Barack Obama did not,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,1.0,North,South,Town,80s Suburbs,High-Growth Suburban Perimeter,Upscale,22408.0
4400607.0, Virginia,,National questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,30-39,Independent,Conservative,"$100,000-$149,999",Postgraduate study,,,Yes,Take the country in a different direction,,"No, I was not contacted",,Somewhat approve,The war in Iraq,Not so good,,Yes,,Shares my values,Not a factor at all,Sometime in September,Both of them,,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,,,John McCain did not,Barack Obama did not,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,Approve,Not so good/Poor,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Not important,Not a factor,Sometime last week or earlier,Sometime in September,In the last month or before that,John McCain did,Barack Obama did,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",6.0,North,South,Low Density Rural,Urban,Urban Core,Very downscale,24501.0
4402425.0, Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Republican,Conservative,"$100,000-$149,999",Postgraduate study,,,No,,,,,,,,,,,,,Before that,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,White non born again,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,All others,Suburbs,Suburbs,11.0,North,South,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,22030.0
4402423.0, Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Independent,Conservative,"$150,000-$199,999",College graduate,,,No,,,,,,,,,,,,,Before that,,,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,All others,Suburbs,Suburbs,7.0,North,South,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23113.0
4402422.0, Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,,,Female,Asian,50-59,Democrat,Liberal,"$100,000-$149,999",Some college or associate degree,,,No,,,,,,,,,,,,,Before that,,,Non black female,All other races,Non white female,Non white,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,All other,Other,No college degree,More than High school graduate,Non white no college degree,,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and non white,,,,,,Democrat,Non black Democrat,All other,All others,Asian,All others,,,Sometime last week or earlier,Before that,In the last month or before that,,,No,All others,"Cities 50,000-500,000","Cities over 50,000",8.0,North,South,Suburb,Urban,Urban Core,Very upscale,20191.0
4402424.0, Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,Black,65-74,Democrat,Conservative,"Under $15,000",Did not complete high school,,,Yes,,,,,,,,,,,,,Sometime in September,,,Black female,Black women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,,,,,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,,,,,,Democrat,Black Democrat,Black Democrats,All others,Black,All others,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,No,All others,"Cities 50,000-500,000","Cities over 50,000",2.0,North,South,High Density Urban,Urban,Urban Core,Downscale,23462.0
4402421.0, Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,60-64,Independent,Conservative,"$100,000-$149,999",Postgraduate study,,,Yes,,,,,,,,,,,,,Earlier in October,,,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,,,,,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,10.0,North,South,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,22630.0
4402420.0, Virginia,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Independent,Moderate,"$50,000-$74,999",High school graduate,,,Yes,,,,,,,,,,,,,Sometime in September,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,8.0,North,South,High Density Urban,80s Suburbs,Urban Perimeter,Very upscale,22310.0
4403971.0, Virginia,32.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.659854054450989,Barack Obama,,Female,Black,,,,"Under $15,000",,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"No, I was not contacted",Only Barack Obama,Strongly disapprove,The economy,Poor,Omit,No,About right,Cares about people like me,One of several important factors,Before that,Only John McCain,Disapprove,Black female,Black women,Non white female,Non white,,,,,,,,,,,,,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Omit,,,,,Black,All others,Important,Factor,Sometime last week or earlier,Before that,In the last month or before that,John McCain did,Barack Obama did not,,All others,Rural,Small Cities/Rural,4.0,Southeast,South,Low Density Rural,Rural,Rural,Very downscale,23847.0
4410029.0, Virginia,14.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.493020802736282,Barack Obama,,Male,Hispanic/Latino,40-44,Democrat,,,Did not complete high school,Yes,Omit,Yes,Omit,Only Barack Obama,Omit,Only Barack Obama,Strongly disapprove,The economy,Omit,Very worried,,Omit,Can bring about needed change,Omit,Sometime in September,Omit,Omit,Non black male,Latino men,Non white male,Non white,30-44,30-59,18-44,30-44,40-49,18-64,Non black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,Omit,Omit,,,,,John McCain is not,Barack Obama is,Disapprove,Omit,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Omit,Omit,Sometime last week or earlier,Sometime in September,In the last month or before that,Omit,Omit,,All others,Rural,Small Cities/Rural,1.0,East/Richmond,South,Low Density Rural,Rural,Rural,Downscale,22560.0
4406744.0, Virginia,65.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.02706253528595,Barack Obama,,Female,Black,45-49,Democrat,Liberal,"Under $15,000",High school graduate,No,Strongly disapprove,Yes,Continue George W. Bush's policies,Only Barack Obama,"Yes, for Barack Obama",Only Barack Obama,Strongly disapprove,The economy,Poor,Very worried,No,About right,Cares about people like me,Not a factor at all,Before that,Omit,Disapprove,Black female,Black women,Non white female,Non white,45-65,30-59,45+,45-59,40-49,18-64,Black 45-59,Black 45-59,Black 45-54,No college degree,High school graduate or less,Non white no college degree,John McCain does not,Barack Obama does,John McCain did not,Barack Obama did,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,John McCain is not,Barack Obama is,Disapprove,Not so good/Poor,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Not important,Not a factor,Sometime last week or earlier,Before that,In the last month or before that,Omit,Omit,No,All others,"Cities 50,000-500,000","Cities over 50,000",8.0,North,South,High Density Urban,Urban,Urban Core,Very upscale,22314.0
4403149.0, Virginia,58.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.711659014225006,Barack Obama,,Male,White,,,,,,,,,,,,,,,,Omit,,,Omit,,Before that,,,Non black male,White men,White male,White male,,,,,,,,,,,,,,,,,,,,,,,,,Omit,,,,,White,,,,Sometime last week or earlier,Before that,In the last month or before that,,,,All others,Suburbs,Suburbs,1.0,East/Richmond,South,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,22405.0
4406936.0, Virginia,75.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12160205841064,John McCain,,Female,White,25-29,Republican,Conservative,"$30,000-$49,999",College graduate,No,Omit,Yes,Continue George W. Bush's policies,Neither of them,"No, I was not contacted",Neither of them,Somewhat approve,The economy,Poor,Very worried,No,Too liberal,Shares my values,Not a factor at all,Just today,Only Barack Obama,Omit,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,John McCain does not,Barack Obama does not,John McCain did not,Barack Obama did not,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,John McCain is not,Barack Obama is not,Approve,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Not important,Not a factor,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,John McCain did not,Barack Obama did,No,White Born-again/Evangelical Christians,"Cities 50,000-500,000","Cities over 50,000",6.0,East/Richmond,South,Suburb,Urban,Urban Core,Downscale,24502.0
4404208.0, Virginia,25.0,National questionnaire,Version 2,Call 1,Not complete,Election day exit poll,0.697689831256866,John McCain,,Female,White,50-59,Democrat,,,Some college or associate degree,No,,,,,,,,,,,,,Omit,,In the last three days,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,,,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,Today/In the last three days,Today/In the last three days,Today/In the last three days/Sometime last week,,,,All others,Suburbs,Suburbs,8.0,North,South,High Density Urban,70s Suburbs,Urban Perimeter,Very upscale,22312.0
