ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSWI16,SENWI16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,ATTEND16,BRNAGAIN,CLINTONEMAIL,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FAVRYAN2,FINSIT,GOVTANGR16,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,JOBSIT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,UNIONHH12,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYSEX,PARTYWHITE,QRACE3,QRACEAI,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
183396.0,Wisconsin,94.0,Call 1,Not complete,Election day exit poll,0.593294978141785,Donald Trump,,Female,White,65 or over,,,,,,,,Once a week or more,Yes,,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,Before that,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,,,,,,,,,,,,,,,White,White,White,White,Other,,At least monthly,,,,,,,,,,,,Before that,Before that,,State questionnaire,Rural,Small Cities/Rural,7.0,Midwest,Version 1,Northwest,54540.0
183040.0,Wisconsin,87.0,Call 1,Complete,Election day exit poll,0.762161314487457,Donald Trump,,Male,White,60-64,Democrat,Moderate,,High school or less,No,,Donald Trump,,,,I like my candidate but with reservations,,,,,,"Dissatisfied, but not angry",,,,No,Yes,,,Terrorism,,,Not so good,,Change to more liberal policies,Cares about people like me,,,,No,Yes,,,,No,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,Other,,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Only Donald Trump,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,2.0,Midwest,Version 2,Southwest,53511.0
199571.0,Wisconsin,29.0,Call 2,Not complete,Election day exit poll,0.629912257194519,Donald Trump,,Male,White,50-59,,,,,No,,,Never,,,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,Before that,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,,,,,,,,,,,,,,,White,White,White,White,White suburban men,,A few times a year or less,,,,,,,,,,,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 1,Northwest,54842.0
182091.0,Wisconsin,108.0,Call 1,Complete,Election day exit poll,0.939247012138367,Donald Trump,,Male,White,65 or over,Republican,Conservative,,Some college/assoc. degree,,,Donald Trump,,,,I strongly favor my candidate,,,,,,"Satisfied, but not enthusiastic",,,,No,Yes,,,Foreign policy,,,Good,,Change to more conservative policies,Can bring needed change,,,,No,Yes,,,,No,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Donald Trump,Excellent or good,,Independent/Something else,Conservative Republicans,,,Only Donald Trump,,,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 2,Southeast,53064.0
222546.0,Wisconsin,27.0,Call 3,Complete,Election day exit poll,0.446641474962235,Donald Trump,,Male,White,45-49,Republican,Liberal,"$50,000-$99,999",High school or less,No,,,A few times a year,Yes,,,Treats all people fairly,Unfavorable,Unfavorable,Omit,,,,,,,,,,Foreign policy,,,,Strongly disapprove,,Can bring needed change,No,No,,,,Before that,,,,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,White suburban men,No,A few times a year or less,,Neither,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Neither,,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 1,Northwest,54880.0
222039.0,Wisconsin,44.0,Call 3,Complete,Election day exit poll,0.718500912189484,Donald Trump,,Male,White,50-59,Republican,Conservative,"Under $30,000",Postgraduate study,No,No,,,,,,,Unfavorable,Favorable,,,,,,,,,,,The economy,,,,Strongly approve,,Has the right experience,,,,,,In October,,,,White men,Non married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,No,,,Only Donald Trump,,,,Approve,Independent/Something else,Conservative Republicans,,,,In the last month,Before that,,National questionnaire,Rural,Small Cities/Rural,7.0,Midwest,Version 1,Northwest,54646.0
200823.0,Wisconsin,76.0,Call 2,Complete,Election day exit poll,0.5904301404953,Donald Trump,,Female,White,25-29,Republican,Moderate,,High school or less,No,No,,,,Not much,,,,,,About the same,,Donald Trump,Donald Trump,Omit,,,Help the country,Deported to the country they came from,,Better today,Omit,,,,,,,No group is favored,,,,Omit,Not at all,,White women,Non married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,White,White suburban women,,,Not much or not at all,,,,,,Conservative Republicans,Mod./Liberal Republicans,,,,,,Not much or not at all,State questionnaire,Suburbs,Suburbs,8.0,Midwest,Version 3,Northeast,54153.0
221700.0,Wisconsin,44.0,Call 3,Complete,Election day exit poll,0.881661772727966,Donald Trump,,Male,White,25-29,Independent,Moderate,,Some college/assoc. degree,No,,,,,,,,,,,Better today,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,Other,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,National questionnaire,Rural,Small Cities/Rural,7.0,Midwest,Version 4,Northwest,54646.0
220990.0,Wisconsin,12.0,Call 3,Not complete,Election day exit poll,0.791057050228119,Donald Trump,,Female,White,18-24,,,,,No,,,A few times a month,No,,,Treats all people fairly,,,,,,,,,,,,,,,,,,,,,,,,,Before that,,,,White women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,,,,,,,,,,,,,,,White,White,White,White,White suburban women,,At least monthly,,,,,,,,,,,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 1,Northwest,54729.0
203690.0,Wisconsin,52.0,Call 2,Complete,Election day exit poll,0.585552275180817,Donald Trump,,Male,White,50-59,Republican,Moderate,"$50,000-$99,999",High school or less,No,,,A few times a month,No,,,Treats blacks unfairly,Unfavorable,Favorable,Favorable,,,,,,,,,,The economy,,,,Strongly disapprove,,Cares about people like me,No,Yes,,,,In the last few days,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,White,Other,No,At least monthly,,Only Donald Trump,,,,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,,,In the last month,In the last week,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,Midwest,Version 1,Northwest,54403.0
184291.0,Wisconsin,100.0,Call 1,Complete,Election day exit poll,0.468373566865921,Gary Johnson,,Male,White,25-29,Something else,Moderate,"$30,000-$49,999",College graduate,No,,,A few times a year,No,,,Treats all people fairly,Unfavorable,Unfavorable,Favorable,,,,,,,,,,The economy,,,,Somewhat approve,,Has good judgment,No,No,,,,In October,,,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,White suburban men,No,A few times a year or less,,Neither,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Neither,,,In the last month,Before that,,State questionnaire,Suburbs,Suburbs,5.0,Midwest,Version 1,Southeast,53027.0
183529.0,Wisconsin,47.0,Call 1,Not complete,Election day exit poll,0.661385476589203,Gary Johnson,,Male,White,25-29,,,,,No,No,,,,,,,,,,Worse today,,,,Went too far,,,,,,,,,,,,,,,,,,Takes away U.S. jobs,,,White men,Non married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,,,,,,,,,,,,,,,White,White,White,White,White suburban men,,,,,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,Midwest,Version 3,Northwest,54644.0
110075.0,Wisconsin,,,Complete,Telephone survey,0.599104464054108,Gary Johnson,,Male,White,50-59,Something else,Moderate,"$30,000-$49,999",High school or less,No,,,A few times a month,Yes,,,Treats all people fairly,Unfavorable,Unfavorable,Unfavorable,,,,,,,,,,The economy,,,,Somewhat disapprove,,Has good judgment,No,No,,,,In October,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,Other,Yes,At least monthly,,Neither,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,Neither,,,In the last month,Before that,,State questionnaire,Rural,Small Cities/Rural,8.0,Midwest,Version 1,Northeast,54949.0
185060.0,Wisconsin,29.0,Call 1,Complete,Election day exit poll,0.15233351290226,Other,,Female,White,18-24,Democrat,,"Under $30,000",College graduate,No,,,,,,,Treats all people fairly,Unfavorable,Unfavorable,Favorable,,,,,,,,,,Terrorism,,,,Strongly approve,,Omit,No,No,,,,Before that,,,,White women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,White suburban women,No,,,Neither,,,,Approve,,,Neither,,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,7.0,Midwest,Version 1,Northwest,54842.0
222149.0,Wisconsin,62.0,Call 3,Complete,Election day exit poll,0.38959327340126,Other,,Male,Other,30-39,Independent,,"Under $30,000",Some college/assoc. degree,No,No,,,,,,,Favorable,Unfavorable,,,,,,,,,,,Omit,,,,Somewhat approve,,Has good judgment,,,,,,Before that,,,,All other races,Non married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent Men,All others,Other,Other,Non-white,Other,Other,No,,,Only Hillary Clinton,,,,Approve,,,,,,Before that,Before that,,National questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 1,Milwaukee County,53208.0
183346.0,Wisconsin,96.0,Call 1,Complete,Election day exit poll,0.979207873344421,Did not vote,Did not vote,Female,White,65 or over,Democrat,Conservative,,College graduate,No,,,,,,,,,,,Omit,,Omit,Omit,,,,,,,,,,,,,,,,,,,,,No,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,National questionnaire,Rural,Small Cities/Rural,1.0,Midwest,Version 4,Southeast,53128.0
184107.0,Wisconsin,31.0,Call 1,Complete,Election day exit poll,0.797883927822113,Hillary Clinton,Did not vote,Male,White,65 or over,Democrat,Moderate,,Some college/assoc. degree,No,No,,,,Not at all,,,,,,Worse today,,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Hurt the country,Deported to the country they came from,,About the same,Worse than life today,,,,,,,Omit,,,,Takes away U.S. jobs,Some,,White men,Non married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,White,Other,,,Not much or not at all,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,Midwest,Version 3,Northwest,54703.0
183876.0,Wisconsin,3.0,Call 1,Complete,Election day exit poll,0.904647648334503,Hillary Clinton,Did not vote,Female,White,25-29,Democrat,Liberal,,Some college/assoc. degree,No,No,,,,Some,,,,,,About the same,,Hillary Clinton,Hillary Clinton,Went too far,,,Help the country,Offered a chance to apply for legal status,,Better today,Better than life today,,,,,,,Whites are favored over minorities,,,,Creates more U.S. jobs,A lot,,White women,Non married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,White,Other,,,A lot or some,,,,,,Liberal Democrats,Liberal Democrats,,,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,Midwest,Version 3,Northeast,54302.0
183168.0,Wisconsin,62.0,Call 1,Not complete,Election day exit poll,1.13923239707947,Hillary Clinton,Did not vote,Male,Black,50-59,,,,,No,,,,,,,,,,,,,,,,,,,,,,Worse than life today,,,,,,,,,,,Creates more U.S. jobs,,,Black men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,,,,,,,,,,,,,,,Black,Black,Non-white,Black,Other,,,,,,,,,,,,,,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 3,Milwaukee County,53208.0
199868.0,Wisconsin,73.0,Call 2,Complete,Election day exit poll,0.513486921787262,Hillary Clinton,Did not vote,Male,White,50-59,Something else,Moderate,,High school or less,No,Yes,,,,Not much,,,,,,Better today,,Donald Trump,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,About the same,Worse than life today,,,,,,,No group is favored,,,,Creates more U.S. jobs,A lot,,White men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,Other,,,Not much or not at all,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",4.0,Midwest,Version 3,Milwaukee County,53217.0
182561.0,Wisconsin,22.0,Call 1,Complete,Election day exit poll,0.531379342079163,Hillary Clinton,Did not vote,Male,White,50-59,Independent,Moderate,,College graduate,No,,Hillary Clinton,,,,I like my candidate but with reservations,,,,,,"Dissatisfied, but not angry",,,,No,No,,,The economy,,,Good,,Omit,Has good judgment,,,,Yes,No,,,,No,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,White,White suburban men,,,,,"Dissatisfied, but not angry or Angry",Neither,Excellent or good,,Moderate/Liberal Republicans,Moderate Independents,,,Only Hillary Clinton,,,,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Southwest,53593.0
