ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOH16,SENOH16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,CHILD12,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FAVKASICH,FINSIT,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,JOBSIT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,UNIONHH12,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PARENTS,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELIGN10,RELWHITE,MORMON,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,WHTEVANG,WPROTBRN,WPROTBRN3,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
193023.0,Ohio,146.0,Call 2,Complete,Election day exit poll,0.663939654827118,Hillary Clinton,,Female,White,50-59,Democrat,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,,,,Not at all,,Favorable,Unfavorable,Unfavorable,,,,,,,,,,,The economy,,,,Somewhat approve,,Can bring needed change,Yes,No,,,,In the last few days,,A lot,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,No,Not much or not at all,Only Hillary Clinton,,,,,,Approve,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,,,,,,,,In the last month,In the last week,A lot or some,,,,State questionnaire,Suburbs,Suburbs,13.0,Midwest,Version 1,North,44446.0
176150.0,Ohio,158.0,Call 1,Complete,Election day exit poll,0.674248099327087,Hillary Clinton,,Male,White,50-59,Democrat,Moderate,,High school or less,No,,,,,,,,,,About the same,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,,,,,National questionnaire,Rural,Small Cities/Rural,16.0,Midwest,Version 4,North,44270.0
176073.0,Ohio,135.0,Call 1,Complete,Election day exit poll,0.714952528476715,Hillary Clinton,,Female,Other,25-29,Something else,Moderate,,Some college/assoc. degree,No,,,,,,,,,,About the same,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,All other races,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent women,All others,Other,Other,Non-white,Other,Other,,,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,Midwest,Version 4,North,44306.0
175889.0,Ohio,135.0,Call 1,Complete,Election day exit poll,0.774483859539032,Hillary Clinton,,Female,Black,45-49,Democrat,,"$30,000-$49,999",Postgraduate study,No,,No,,,,,Favorable,Unfavorable,,,,,,,,,,,,Immigration,,,,Omit,,Has the right experience,,,,,,In the last few days,,,,Black women,Non married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,Only Hillary Clinton,,,,,,Omit,,,,,,,,,,,,In the last month,In the last week,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,Midwest,Version 1,North,44306.0
175772.0,Ohio,135.0,Call 1,Complete,Election day exit poll,0.869632959365845,Hillary Clinton,,Male,Hispanic/Latino,65 or over,Republican,Moderate,"Under $30,000",Some college/assoc. degree,Yes,,,,,,Omit,,,,,,Enthusiastic,,,,Omit,Omit,,,The economy,,,Good,,,Can bring needed change,,,,Yes,No,,,,,Latino men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Republican,Non-black non-Democrat,All Republicans,Republican men,All others,White,Other,Non-white,Hispanic/Latino,Other,No,,,,,"Enthusiastic or satisfied, but not enthusiastic",Omit,Excellent or good,,,Conservative Republicans,Mod./Liberal Republicans,,,,,,,,Only Hillary Clinton,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,Midwest,Version 2,North,44306.0
175673.0,Ohio,135.0,Call 1,Not complete,Election day exit poll,0.846626460552216,Hillary Clinton,,Female,Black,18-24,,,,,No,,,,,,,,,,,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,,Black women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,,,,,,,,,,,,,,Black,Black,Non-white,Black,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,Midwest,Version 4,North,44306.0
108059.0,Ohio,,,Complete,Telephone survey,0.529419600963593,Hillary Clinton,,Female,White,65 or over,Republican,Conservative,,College graduate,No,,Yes,,No,,I dislike the other candidates,,,,,,Angry,,,Did not go far enough,Yes,No,,,Immigration,Better today,,Not so good,,,Cares about people like me,,,,Yes,No,,,,No,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,Women without children,Independent/Something else,Conservative Republicans,,,,,,,,Only Hillary Clinton,,,,,,,State questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 2,Ohio Valley + West,44854.0
107973.0,Ohio,,,Complete,Telephone survey,0.699722826480865,Hillary Clinton,,Female,Black,65 or over,Democrat,Moderate,"Under $30,000",High school or less,No,,,,,Some,,Omit,Favorable,Omit,,,,,,,,,,,Terrorism,,,,Strongly approve,,Has good judgment,Yes,Omit,,,,In October,,Omit,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,A lot or some,Only Donald Trump,,,,,,Approve,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,,,,,,,,In the last month,Before that,Omit,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",11.0,Midwest,Version 1,Cleveland Area,44120.0
217206.0,Ohio,61.0,Call 3,Complete,Election day exit poll,0.792690515518188,Hillary Clinton,,Male,White,30-39,Democrat,Moderate,,Postgraduate study,No,,Yes,,Yes,,I like my candidate but with reservations,,,,,,"Dissatisfied, but not angry",,,Omit,Yes,No,,,Foreign policy,About the same,,Good,,,Has good judgment,,,,Yes,No,,,,Yes,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,,Men with children,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,Only Hillary Clinton,,,,,,,State questionnaire,Suburbs,Suburbs,12.0,Midwest,Version 2,Columbus Area,43081.0
213691.0,Ohio,33.0,Call 3,Complete,Election day exit poll,0.770942807197571,Hillary Clinton,,Female,Black,50-59,Independent,Conservative,,College graduate,No,,Yes,,No,,I strongly favor my candidate,,,,,,"Dissatisfied, but not angry",,,Was about right,Yes,No,,,Omit,Omit,,Excellent,,,Omit,,,,Yes,No,,,,No,Black women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,Black,Other,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,,Women without children,Moderate/Liberal Republicans,Conservative Independents,,,,,,,,Only Hillary Clinton,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",11.0,Midwest,Version 2,Cleveland Area,44106.0
213529.0,Ohio,33.0,Call 3,Complete,Election day exit poll,0.87667715549469,Hillary Clinton,,Male,Black,,Democrat,Liberal,,Some college/assoc. degree,,,No,,,,I strongly favor my candidate,,,,,,"Dissatisfied, but not angry",,,Was about right,Omit,Yes,,,Immigration,Omit,,Excellent,,,Can bring needed change,,,,Yes,No,,,,,Black men,Non married men,,,,,,,,,,,,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,Black,Other,,,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Excellent or good,,,Liberal Democrats,Liberal Democrats,,,,,,,,Only Hillary Clinton,,,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",11.0,Midwest,Version 2,Cleveland Area,44106.0
213311.0,Ohio,140.0,Call 3,Complete,Election day exit poll,0.614125907421112,Hillary Clinton,,Female,White,25-29,Democrat,Liberal,,College graduate,No,,,,,,,,,,Better today,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,Yes,White women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,,,,National questionnaire,Suburbs,Suburbs,13.0,Midwest,Version 4,North,44203.0
136569.0,Ohio,,,Complete,Telephone survey,0.272438257932663,Hillary Clinton,,Female,,65 or over,,,,,,,,,,,Omit,,,,,,Omit,,,,Omit,No,,,The economy,,,Omit,,,Cares about people like me,,,,Omit,Omit,,,,,,,65+,60+,45+,50+,60+,65+,45+,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,Omit,Omit,Omit,,,,,,,,,,,,Omit,,,,,,,National questionnaire,Suburbs,Suburbs,13.0,Midwest,Version 2,North,44446.0
136558.0,Ohio,,,Complete,Telephone survey,2.0652494430542,Hillary Clinton,,Female,White,50-59,Democrat,Moderate,,Some college/assoc. degree,,,,,,,I like my candidate but with reservations,,,,,,"Dissatisfied, but not angry",,,,Yes,No,,,The economy,,,Not so good,,,Has good judgment,,,,Yes,No,,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,Only Hillary Clinton,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",16.0,Midwest,Version 2,Cleveland Area,44130.0
212285.0,Ohio,18.0,Call 3,Complete,Election day exit poll,0.763363361358643,Hillary Clinton,,Female,Hispanic/Latino,18-24,Democrat,,,Some college/assoc. degree,Yes,,No,,,,,Favorable,Unfavorable,,,,,,,,,,,,The economy,,,,Strongly approve,,Cares about people like me,,,,,,Before that,,,,Latino women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,,,Approve,,,,,,,,,,,,Before that,Before that,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",8.0,Midwest,Version 1,Ohio Valley + West,45505.0
107966.0,Ohio,,,Complete,Telephone survey,0.787095427513123,Hillary Clinton,,Male,White,65 or over,Democrat,Liberal,"$30,000-$49,999",High school or less,No,,,,,Not at all,,Favorable,Unfavorable,Unfavorable,,,,,,,,,,,The economy,,,,Strongly approve,,Has good judgment,Yes,No,,,,Before that,,A lot,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,Yes,Not much or not at all,Only Hillary Clinton,,,,,,Approve,,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,,,,,,,Before that,Before that,A lot or some,,,,State questionnaire,Suburbs,Suburbs,14.0,Midwest,Version 1,North,44067.0
135941.0,Ohio,,,Complete,Telephone survey,2.02740502357483,Hillary Clinton,,Female,Black,50-59,Democrat,Liberal,"$30,000-$49,999",Some college/assoc. degree,,,Yes,,,,,Unfavorable,Unfavorable,,,,,,,,,,,,The economy,,,,Somewhat approve,,Cares about people like me,,,,,,Omit,,,,Black women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,,Neither,,,,,,Approve,,Liberal Democrats,Liberal Democrats,,,,,,,,,Omit,Omit,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",9.0,Midwest,Version 1,North,43605.0
196009.0,Ohio,48.0,Call 2,Complete,Election day exit poll,0.852900624275208,Donald Trump,,Female,Other,50-59,Independent,Conservative,,Some college/assoc. degree,No,Yes,,Donald Trump,,,,,,,Worse today,"No, not contacted by either",,Donald Trump,Omit,,,,Help the country,Omit,,,About the same,,,Change to more conservative policies,,,,No group is favored,,,,Takes away U.S. jobs,,,All other races,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,All Other,Independent women,All others,American Indian,Other,Non-white,American Indian,Other,,,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,,Moderate/Liberal Republicans,Conservative Independents,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant,,Not a mormon,,,,,,All others,No,,State questionnaire,Suburbs,Suburbs,15.0,Midwest,Version 3,Columbus Area,43102.0
