ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSFL16,SENFL16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,CUBAN3,MARRIED,@2WAYPRES16,BRNAGAIN,CLIMATECHANGE,CLINTONEMAIL,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FINSIT,GOTV16,GOVTANGR16,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,RELIGN10,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WHTEVANG,WPROTBRN,WPROTBRN3,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,SPANISHQ,ZIPCODE
196312.0,Florida,22.0,Call 2,Complete,Election day exit poll,0.210041344165802,Other,Marco Rubio,Male,White,18-24,Republican,Conservative,,Some college/assoc. degree,No,,Would not have voted,,,Some,,,,,,"No, not contacted by either",,Hillary Clinton,Donald Trump,Went too far,,,Omit,Offered a chance to apply for legal status,,About the same,,,,,,Minorities are favored over whites,,,,,Omit,A lot,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,,A lot or some,,Not contacted by Hillary Clinton,Not contacted by Donald Trump,,,,,Independent/Something else,Conservative Republicans,,,,,,,,,Republican Senate - did not vote Trump,,,,A lot or some,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,17.0,South,Version 3,4.0,English,33955.0
211909.0,Florida,32.0,Call 3,Complete,Election day exit poll,0.119005158543587,Other,Marco Rubio,Male,Hispanic/Latino,65 or over,Republican,Conservative,,Some college/assoc. degree,"Yes, Cuban",Yes,,,,,I like my candidate but with reservations,Treats all people fairly,,,About the same,,"Dissatisfied, but not angry",,,,No,No,,,Immigration,,Not so good,,Can bring needed change,,,,Protestant,No,No,,,,Latino men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,All others,Hispanic/Latino,Other,Non-white,,Other,,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Independent/Something else,Conservative Republicans,,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,,Not a mormon,,,,Republican Senate - did not vote Trump,Neither,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",27.0,South,Version 2,5.0,Spanish,33155.0
198990.0,Florida,48.0,Call 2,Complete,Election day exit poll,0.125381544232368,Other,Marco Rubio,Female,White,25-29,Republican,Conservative,"Under $30,000",Some college/assoc. degree,No,No,,,,,,,Unfavorable,Unfavorable,,,,,,,,,,,Foreign policy,,,Somewhat approve,Has good judgment,,,,,,,In the last week,,,White women,Non married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,Yes,,Neither,,,,,,Approve,Independent/Something else,Conservative Republicans,,,,,,,,,Republican Senate - did not vote Trump,,In the last month,In the last week,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 1,1.0,English,32526.0
215503.0,Florida,46.0,Call 3,Not complete,Election day exit poll,0.115091659128666,Other,Other,Female,Other,50-59,,,,,No,No,,,,,I strongly favor my candidate,Treats all people fairly,,,About the same,,,,,,,,,,,,,,,,,,,,,,,,All other races,Non married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,All others,All others,,,,,,,,,,,,,,Other,Other,Non-white,,Other,,,,,,,,,,,,,,,,,,,,Other Senate vote,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 2,1.0,English,32514.0
197860.0,Florida,108.0,Call 2,Complete,Election day exit poll,0.0957775712013245,Other,Marco Rubio,Male,White,30-39,Independent,Moderate,,High school or less,No,,Would not have voted,,,,,Omit,,,,,,,,Went too far,,,,Deported to the country they came from,,About the same,,,,Omit,Omit,,,,,,Creates more U.S. jobs,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,Omit,,,,,,,,Republican Senate - did not vote Trump,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",7.0,South,Version 3,2.0,English,32771.0
180983.0,Florida,3.0,Call 1,Complete,Election day exit poll,0.128982022404671,Other,Other,Male,Hispanic/Latino,30-39,Independent,Moderate,,College graduate,"Yes, other Hispanic",Yes,,,,,I dislike the other candidates,Omit,,,Better today,,Angry,,,,No,No,,,The economy,,Not so good,,Cares about people like me,,,,Other,Yes,Yes,,,,Latino men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,All others,Other,Other,Non-white,,Other,,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,Other religion,Something else,,Not a mormon,,,,Other Senate vote,Both,,,,State questionnaire,Suburbs,Suburbs,8.0,South,Version 2,2.0,English,32952.0
214653.0,Florida,111.0,Call 3,Complete,Election day exit poll,0.115254931151867,Other,Did not vote,Male,White,40-44,Democrat,Liberal,,College graduate,No,No,Would not have voted,No,,A lot,,,,,,,,,,,,,,,,,,,,,,,None,,,,,A lot,White men,Non married men,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,White suburban men,,A lot or some,,,,,,,,Liberal Democrats,Liberal Democrats,,None,None,None,Not a mormon,All others,No,All others,,,,,A lot or some,National questionnaire,Suburbs,Suburbs,7.0,South,Version 5,2.0,English,32763.0
197706.0,Florida,56.0,Call 2,Complete,Election day exit poll,0.078314520418644,Other,Marco Rubio,Male,White,18-24,Independent,Moderate,"Under $30,000",Some college/assoc. degree,No,,,No,Yes,,,,Unfavorable,Unfavorable,,,,,,,,,,,Terrorism,,,Somewhat disapprove,Has good judgment,No,No,,None,,,Before that,,,White men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,Yes,,Neither,,,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,Neither,None,None,None,Not a mormon,All others,No,All others,Republican Senate - did not vote Trump,,Before that,Before that,,State questionnaire,Suburbs,Suburbs,15.0,South,Version 1,3.0,English,33578.0
136947.0,Florida,,,Complete,Telephone survey,1.12939548492432,Other,Other,Male,White,65 or over,Independent,Moderate,,High school or less,No,,Would not have voted,,,,,Treats all people fairly,,,,,,,,Was about right,,,,Offered a chance to apply for legal status,,Worse than life today,,,,Yes,No,,Protestant,,,,Has no effect on U.S. jobs,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,Protestant/Other Non-Catholic Christian,Not a mormon,,,,Other Senate vote,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,Version 3,2.0,English,32962.0
197234.0,Florida,71.0,Call 2,Complete,Election day exit poll,0.101411543786526,Other,Marco Rubio,Male,White,25-29,Something else,,,High school or less,No,,,,,,,,,,About the same,,,Omit,Omit,,,,,,,,,,,,,,,,,,,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,,,,,,,,,,,,,,Republican Senate - did not vote Trump,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",16.0,South,Version 4,3.0,English,34243.0
138287.0,Florida,,,Complete,Telephone survey,3.62598490715027,Other,Marco Rubio,Female,Black,30-39,Independent,Moderate,,Postgraduate study,No,Yes,Would not have voted,No,,A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,Black women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,,Other,,A lot or some,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,All others,No,,Republican Senate - did not vote Trump,,,,A lot or some,National questionnaire,Suburbs,Suburbs,15.0,South,Version 5,3.0,English,33578.0
102536.0,Florida,,,Complete,Telephone survey,0.467172563076019,Other,Other,Female,Hispanic/Latino,18-24,Independent,,,High school or less,"Yes, other Hispanic",,,Yes,Omit,,,,Omit,Omit,,,,,,,,,,,Immigration,,,Somewhat approve,Can bring needed change,Omit,Omit,,Other christian,,,In October,,,Latino women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Hispanic/Latino,Other,Non-white,,Other,No,,Omit,,,,,,Approve,,,Omit,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,,Not a mormon,All others,No,,Other Senate vote,,In the last month,Before that,,State questionnaire,Suburbs,Suburbs,19.0,South,Version 1,4.0,English,34135.0
138204.0,Florida,,,Complete,Telephone survey,0.676295042037964,Other,Other,Female,,50-59,,,,Some college/assoc. degree,,,Hillary Clinton,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,A lot,,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,,,,No college degree,More than High school graduate,,,,,,,,,,,,,,,,Other,,Not much or not at all,,,,,,,,,,,,,,,,,,Other Senate vote,,,,A lot or some,National questionnaire,Rural,Small Cities/Rural,3.0,South,Version 5,1.0,,32038.0
196938.0,Florida,35.0,Call 2,Complete,Election day exit poll,0.181473299860954,Other,Marco Rubio,Female,Hispanic/Latino,25-29,Independent,Conservative,"Under $30,000",High school or less,"Yes, other Hispanic",,,Yes,Yes,,,,Unfavorable,Unfavorable,,,,,,,,,,,The economy,,,Strongly approve,Has good judgment,No,No,,Other christian,,,In the last few days,,,Latino women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Hispanic/Latino,Other,Non-white,,Other,No,,Neither,,,,,,Approve,Moderate/Liberal Republicans,Conservative Independents,Neither,"Protestant, Catholic or other Christian",Protestant/Other Non-Catholic Christian,,Not a mormon,All others,No,,Republican Senate - did not vote Trump,,In the last month,In the last week,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",27.0,South,Version 1,5.0,English,33130.0
196837.0,Florida,46.0,Call 2,Complete,Election day exit poll,0.115091659128666,Other,Other,Female,Black,25-29,Something else,Moderate,,Some college/assoc. degree,No,,Would not have voted,,,Not at all,,,,,,"Yes, for both candidates",,Hillary Clinton,Hillary Clinton,Did not go far enough,,,Help the country,Offered a chance to apply for legal status,,Better than life today,,,,,,No group is favored,,,,,Creates more U.S. jobs,A lot,Black women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,,Other,,Not much or not at all,,Contacted by Hillary Clinton,Contacted by Donald Trump,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,Other Senate vote,,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 3,1.0,English,32514.0
213666.0,Florida,35.0,Call 3,Complete,Election day exit poll,0.173678666353226,Other,Patrick Murphy,Male,Black,50-59,Independent,Moderate,,Some college/assoc. degree,No,No,,,,,I strongly favor my candidate,Treats blacks unfairly,,,Worse today,,Angry,,,,No,No,,,Immigration,,Poor,,Can bring needed change,,,,None,Yes,No,,,,Black men,Non married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,,Other,,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Moderate Independents,,None,None,,Not a mormon,,,,Democratic Senate - did not vote Clinton,Only Hillary Clinton,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",27.0,South,Version 2,5.0,English,33130.0
211884.0,Florida,96.0,Call 3,Complete,Election day exit poll,0.136109068989754,Other,Did not vote,Male,White,18-24,Something else,Liberal,,College graduate,No,No,,,,,I strongly favor my candidate,Treats blacks unfairly,,,Worse today,,Angry,,,,No,No,,,The economy,,Poor,,Has good judgment,,,,None,No,No,,,,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Moderate/Liberal Republicans,Liberal Independents,,None,None,None,Not a mormon,,,,,Neither,,,,State questionnaire,Suburbs,Suburbs,15.0,South,Version 2,4.0,English,33860.0
213575.0,Florida,104.0,Call 3,Complete,Election day exit poll,0.102925151586533,Other,Marco Rubio,Male,White,30-39,Republican,Conservative,"$100,000-$199,999",College graduate,No,,,No,No,,,,Unfavorable,Unfavorable,,,,,,,,,,,Terrorism,,,Strongly disapprove,Has good judgment,No,No,,Catholic,,,In the last few days,,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,White suburban men,No,,Neither,,,,,,Disapprove,Independent/Something else,Conservative Republicans,Neither,"Protestant, Catholic or other Christian",Catholic,Catholic,Not a mormon,All others,No,All others,Republican Senate - did not vote Trump,,In the last month,In the last week,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,1.0,English,32571.0
137637.0,Florida,,,Complete,Telephone survey,1.69693601131439,Other,,Male,White,40-44,Independent,,,Some college/assoc. degree,No,,,,,,,,,,Worse today,,,Donald Trump,Hillary Clinton,,,,,,,,,,,,,,,,,,,,White men,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,,,,,,,,,,,,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",9.0,South,Version 4,2.0,English,32824.0
