ID,WEIGHT,PRSTX24,SENTX24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BORNINTX22,BRNAGAIN,CALL,CDNUM,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAIRELECTION,FAIRELECTION2,FAVALLRED,FAVCRUZ,FAVHARRIS,FAVPRES24,FAVSENTX24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HANDLEABORTIONTX24,HANDLEBORDERTX24,IMMDEP24,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,VERSION,VETVOTER,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
11.0,0.46792909739,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,Latino 45-59,Latino 45-64,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Yes,,38.0,The Republican Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Not very confident,Not very confident or Not at all confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Suburban men,3.0,Ted Cruz,Ted Cruz,,,Yes,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,Other,White,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,South,Male,Latino men,Suburbs,Suburbs,English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,All others,77429.0
12.0,4.97866245103,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,No,,13.0,The Republican Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Somewhat confident,Very confident or Somewhat confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Urban women,5.0,Ted Cruz,Ted Cruz,,,No,Poor,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,All others,76305.0
13.0,2.16904008902,Donald Trump,Ted Cruz,Omit,Omit,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Yes,,17.0,The Republican Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Not very confident,Not very confident or Not at all confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Suburban men,4.0,Omit,Ted Cruz,,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English,Texas,White suburban men,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,White Born-again/Evangelical Christians,78660.0
14.0,0.20565699179,,Ted Cruz,Omit,Omit,45-65,30-59,50-64,60-64,45+,45-59,50-64,Black 45-59,Men 45-64,Black 45-59,Black 45-64,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Yes,,31.0,The Republican Party,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Very confident,Very confident or Somewhat confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Suburban men,4.0,Omit,Ted Cruz,,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Male,Black men,Suburbs,Suburbs,English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,All others,78641.0
15.0,0.07263017832,Donald Trump,Ted Cruz,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,No,,2.0,The Republican Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Not very confident,Not very confident or Not at all confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Suburban men,1.0,Ted Cruz,Ted Cruz,,,No,Not so good,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English,Texas,White suburban men,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,By mail,All others,77354.0
16.0,0.63372885944,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Yes,,10.0,The Republican Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Omit,Favorable,,,Omit,,,,Suburban men,4.0,Omit,Ted Cruz,,,No,Poor,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English,Texas,White suburban men,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,White Born-again/Evangelical Christians,78641.0
17.0,2.32425028177,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Yes,,19.0,The Republican Party,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Somewhat confident,Very confident or Somewhat confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Urban women,5.0,Ted Cruz,Ted Cruz,,,No,Poor,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,White Born-again/Evangelical Christians,79424.0
18.0,0.40593173005,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,No,,31.0,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Suburban men,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English,Texas,White suburban men,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others,78628.0
19.0,0.31768570696,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,No,,17.0,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban men,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others,78664.0
20.0,0.22974780684,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,No,,10.0,The Democratic Party,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Very confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Suburban men,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English,Texas,White suburban men,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others,78602.0
21.0,0.54440262628,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,No,,31.0,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Somewhat confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Suburban women,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Texas,White suburban women,Telephone survey,In September,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others,78628.0
22.0,0.77229853567,Kamala Harris,Colin Allred,Legal,Legal in all cases,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,No,,18.0,The Democratic Party,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Somewhat confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban men,3.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others,77009.0
23.0,0.54319617137,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,No,,37.0,The Republican Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Very confident,Very confident or Somewhat confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Urban men,4.0,Ted Cruz,Ted Cruz,,,No,Poor,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,All others,78746.0
24.0,0.87221397851,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,No,,37.0,The Democratic Party,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Somewhat confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban women,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others,78753.0
25.0,0.63513641398,Kamala Harris,Colin Allred,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,No,,37.0,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Not very confident,Not very confident or Not at all confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban women,4.0,Colin Allred,Colin Allred,,,No,Not so good,Not so good or poor,No,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,All others,78745.0
26.0,0.4355221106,Kamala Harris,Colin Allred,Legal,Legal in all cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,Yes,,31.0,The Democratic Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Very confident,Very confident or Somewhat confident,Favorable,Unfavorable,,,Only Colin Allred,,,,Urban women,4.0,Colin Allred,Colin Allred,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,White Born-again/Evangelical Christians,78681.0
27.0,1.03730218503,Donald Trump,Ted Cruz,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,No,,37.0,The Republican Party,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Somewhat confident,Very confident or Somewhat confident,Unfavorable,Favorable,,,Only Ted Cruz,,,,Urban men,4.0,Ted Cruz,Ted Cruz,,,No,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities over 500,000","Cities over 50,000",English,Texas,Other,Telephone survey,In September,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,All others,78759.0
