ID,WEIGHT,PRSWI24,SENWI24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EVERS24,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HANDLECRIME24,HANDLECRISIS24,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,UNIONHH12,VERSION,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
13193.0,0.612416957,Kamala Harris,Tammy Baldwin,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,2.0,Omit,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,No,Neither,No,Very confident,Very confident or Somewhat confident,,,,,,Urban men,3.0,Omit,Kamala Harris,,No,Not so good,Not so good or poor,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Other,Telephone survey,In September,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,53711.0
47921.0,0.629263559,Kamala Harris,Tammy Baldwin,Legal,Legal in all cases,18-29,18-29,18-34,25-29,18-44,18-29,25-29,Non-Black 18-29,Men 18-29,White 18-29,White 18-29,Men 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,Call 3,1.0,The Democratic Party,,,Election day,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban men,2.0,Omit,Omit,,No,Excellent,Excellent or good,No,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,81.0,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,Suburbs,Suburbs,Wisconsin,White suburban men,Election day exit poll,In the last week,In the last month,In the last week,,,,Version 2,Joe Biden,Election day,,53182.0
13435.0,0.630604192,Kamala Harris,Tammy Baldwin,Omit,Omit,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,,2.0,Omit,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,No,Omit,Omit,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,3.0,Omit,Kamala Harris,,No,Omit,Omit,No,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,,,,,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs,Wisconsin,White suburban women,Telephone survey,In September,Before that,Before that,,,,Version 2,Joe Biden,By mail,,53562.0
13289.0,0.754497739,Kamala Harris,Tammy Baldwin,Legal,Legal in all cases,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Women 45-64,Latino 45-59,Latino 45-64,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,,5.0,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,Omit,Kamala Harris,,Yes,Good,Excellent or good,No,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,Other,Other,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,Midwest,Female,Latino women,Suburbs,Suburbs,Wisconsin,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,Early in-person,,53033.0
37531.0,0.89478175,Kamala Harris,Tammy Baldwin,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,Call 2,5.0,Omit,,,Election day,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban men,2.0,Omit,Kamala Harris,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,101.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,Suburbs,Suburbs,Wisconsin,White suburban men,Election day exit poll,Before that,Before that,Before that,,,,Version 2,Joe Biden,Election day,,53072.0
37642.0,1.322259424,Kamala Harris,Tammy Baldwin,Legal,Legal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,Call 2,3.0,The Democratic Party,,,Election day,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,No,Omit,Omit,Very confident,Very confident or Somewhat confident,,,,,,Rural women,5.0,Omit,Omit,,No,Good,Excellent or good,No,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,95.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Rural,Small Cities/Rural,Wisconsin,Other,Election day exit poll,In September,Before that,Before that,,,,Version 2,Joe Biden,Election day,,54665.0
37445.0,0.498039915,Kamala Harris,Eric Hovde,Legal,Legal in all cases,18-29,18-29,18-34,18-24,18-44,18-29,18-24,Non-Black 18-29,Men 18-29,White 18-29,White 18-29,Men 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Call 2,2.0,The Democratic Party,,,Election day,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Rural men,5.0,Omit,Kamala Harris,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Liberal,90.0,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,Rural,Small Cities/Rural,Wisconsin,Other,Election day exit poll,Before that,Before that,Before that,,,,Version 2,Did not vote,Election day,,53959.0
47540.0,1.784783955,Other,Other,Legal,Legal in all cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Non-Black 30-44,Men 30-44,Latino 30-44,Latino 30-44,Men 18-44,Complete,Omit,Omit,,Call 3,7.0,Omit,,,Election day,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,No,Only Trump,Yes,Not very confident,Not very confident or Not at all confident,,,,,,Suburban men,6.0,Omit,Omit,,Yes,Poor,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,All others,Liberal,27.0,Moderate/Liberal Republicans,Liberal Independents,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,Midwest,Male,Latino men,Suburbs,Suburbs,Wisconsin,Other,Election day exit poll,In the last week,In the last month,In the last week,,,,Version 2,Other,Election day,,54880.0
13192.0,0.053797844,,Tammy Baldwin,Omit,Omit,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,,2.0,The Democratic Party,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Omit,Omit,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban men,3.0,Omit,Omit,,No,Excellent,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Other,Telephone survey,Before that,Before that,Before that,,,,Version 2,Joe Biden,By mail,,53704.0
30143.0,0.997516723,Kamala Harris,Tammy Baldwin,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Black 45-59,Women 45-64,Black 45-59,Black 45-64,Women 45+,Complete,Omit,Omit,,Call 1,8.0,The Democratic Party,,,Election day,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,Omit,Omit,Omit,Omit,Omit,,,,,,Urban women,4.0,Omit,Omit,,No,Not so good,Not so good or poor,No,18-64,,,,,,,,3.0,,,,Black,Black,State questionnaire,Black,Black,Non-white,Black,Midwest,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Other,Election day exit poll,In September,Before that,Before that,,,,Version 2,Omit,Election day,,54302.0
29404.0,0.701838434,Donald Trump,Eric Hovde,Illegal,Illegal in most cases,18-29,18-29,18-34,18-24,18-44,18-29,18-24,Non-Black 18-29,Women 18-29,White 18-29,White 18-29,Women 18-44,Complete,Omit,Omit,,Call 1,7.0,Omit,,,Election day,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,Omit,Omit,Omit,Omit,Omit,,,,,,Suburban women,6.0,Omit,Omit,,No,Omit,Omit,Yes,18-64,,,,,,,,45.0,,,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Suburbs,Suburbs,Wisconsin,White suburban women,Election day exit poll,Before that,Before that,Before that,,,,Version 2,Omit,Election day,,54426.0
28813.0,1.263632035,Donald Trump,Eric Hovde,Legal,Legal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Call 1,1.0,The Republican Party,,,Election day,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,Omit,Omit,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban women,2.0,Omit,Donald Trump,,No,Not so good,Not so good or poor,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,78.0,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Other,Election day exit poll,Before that,Before that,Before that,,,,Version 2,Donald Trump,Election day,,53402.0
37852.0,1.012858499,Other,Other,Omit,Omit,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Omit,Omit,,Call 2,2.0,The Democratic Party,,,Election day,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,Omit,Omit,Yes,Very confident,Very confident or Somewhat confident,,,,,,Rural women,5.0,Omit,Omit,,No,Poor,Not so good or poor,No,65+,,,,,,,,90.0,,,,White,White,State questionnaire,White,Non-black,White,White,Midwest,Female,White women,Rural,Small Cities/Rural,Wisconsin,Other,Election day exit poll,In September,Before that,Before that,,,,Version 2,Other,Election day,,53959.0
38002.0,0.527458074,Donald Trump,,Illegal,Illegal in most cases,30-44,30-59,18-34,30-34,18-44,30-44,30-39,Non-Black 30-44,Men 30-44,White 30-44,White 30-44,Men 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,Call 2,6.0,,,,Election day,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,,,Suburban men,5.0,Donald Trump,Donald Trump,,No,Not so good,Not so good or poor,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,,10.0,,,,White,White,National questionnaire,White,Non-black,White,White,Midwest,Male,White men,Suburbs,Suburbs,Wisconsin,White suburban men,Election day exit poll,,,,,,,Version 2,Donald Trump,Election day,,53901.0
42845.0,0.708811924,Kamala Harris,Tammy Baldwin,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,Call 3,8.0,,,,Election day,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,,Rural women,6.0,Donald Trump,Donald Trump,,No,Not so good,Not so good or poor,No,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,109.0,Liberal Democrats,Liberal Democrats,,White,White,National questionnaire,White,Non-black,White,White,Midwest,Female,White women,Rural,Small Cities/Rural,Wisconsin,Other,Election day exit poll,,,,,,,Version 2,Joe Biden,Election day,,54961.0
38607.0,0.440460974,Donald Trump,Tammy Baldwin,Legal,Legal in most cases,18-29,18-29,18-34,18-24,18-44,18-29,18-24,Non-Black 18-29,Men 18-29,White 18-29,White 18-29,Men 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Call 2,4.0,,,,Election day,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,,,Urban men,1.0,Donald Trump,Donald Trump,,No,Poor,Not so good or poor,Yes,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,53.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,Non-black,White,White,Midwest,Male,White men,"Cities over 500,000","Cities over 50,000",Wisconsin,Other,Election day exit poll,,,,,,,Version 2,Did not vote,Election day,,53218.0
20898.0,0.440479723,Donald Trump,Tammy Baldwin,Legal,Legal in most cases,18-29,18-29,18-34,25-29,18-44,18-29,25-29,Non-Black 18-29,Men 18-29,Latino 18-29,Latino 18-29,Men 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,4.0,,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,,,Urban men,1.0,Donald Trump,Donald Trump,,Yes,Not so good,Not so good or poor,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,All others,Conservative,,Independent/Something else,Conservative Republicans,,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,Midwest,Male,Latino men,"Cities over 500,000","Cities over 50,000",Wisconsin,Other,Telephone survey,,,,,,,Version 2,Joe Biden,Early in-person,,53222.0
47456.0,0.486161087,Donald Trump,Tammy Baldwin,Illegal,Illegal in most cases,18-29,18-29,18-34,18-24,18-44,18-29,18-24,Non-Black 18-29,Women 18-29,White 18-29,White 18-29,Women 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,Call 3,7.0,,,,Election day,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,,Rural women,5.0,Donald Trump,Donald Trump,,No,Not so good,Not so good or poor,Yes,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,88.0,Independent/Something else,Conservative Republicans,,White,White,National questionnaire,White,Non-black,White,White,Midwest,Female,White women,Rural,Small Cities/Rural,Wisconsin,Other,Election day exit poll,,,,,,,Version 2,Did not vote,Election day,,54025.0
29211.0,1.389631921,Donald Trump,Tammy Baldwin,Legal,Legal in most cases,30-44,30-59,35-49,40-44,18-44,30-44,40-49,Non-Black 30-44,Men 30-44,White 30-44,White 30-44,Men 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,Call 1,5.0,,,,Election day,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,,,Rural men,2.0,Donald Trump,Donald Trump,,No,Not so good,Not so good or poor,No,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,33.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,National questionnaire,White,Non-black,White,White,Midwest,Male,White men,Rural,Small Cities/Rural,Wisconsin,Other,Election day exit poll,,,,,,,Version 2,Joe Biden,Election day,,53094.0
