ID,SENAZ18,GOVAZ18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVFLAKE,FORTRUMPS,FTVOTER18,GEOCODE,GOV,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,MCSALLYLIB,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SINEMALIB,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,WEIGHT,WHNCLINC,ZIPCODE
29021.0,Other,Doug Ducey,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,8.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,To express support for Donald Trump,No,1.0,The Republican candidate,Major changes,No,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Omit,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Politically motivated,Other,Male,White men,Omit,Suburbs,Suburbs,English,Arizona,White suburban men,No impact,Telephone survey,No impact,Strongly or somewhat approve,Strongly approve,About right,Version 1,No,Donald Trump,3.77032423019409,No,85304.0
29022.0,Other,Doug Ducey,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,4.0,Omit,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,To express support for Donald Trump,No,3.0,The Republican candidate,No changes at all,No,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Omit,No,Too liberal,Poor,Not so good or poor,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Politically motivated,Other,Female,White women,Omit,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,No impact,Telephone survey,No impact,Strongly or somewhat approve,Strongly approve,About right,Version 1,No,Donald Trump,1.41956114768982,Yes,86401.0
29166.0,Other,Doug Ducey,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,4.0,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,To express opposition to Donald Trump,No,3.0,The Republican candidate,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Gun policy,No,About right,Not so good,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,West,Justified,Other,Male,White men,Too liberal,Suburbs,Suburbs,English,Arizona,White suburban men,No impact,Telephone survey,Hurt,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,No,Other,0.53255170583725,No,86314.0
29267.0,Other,Doug Ducey,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,8.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Donald Trump was not a factor,No,1.0,The Republican candidate,Major changes,No,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration,No,Omit,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,West,Politically motivated,Other,Male,White men,Omit,Suburbs,Suburbs,English,Arizona,White suburban men,No impact,Telephone survey,Omit,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1,No,Donald Trump,0.43592843413353,No,85303.0
29365.0,Other,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,4.0,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,Donald Trump was not a factor,No,3.0,The Republican candidate,Major changes,No,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,Omit,Good,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Politically motivated,Other,Female,White women,Too liberal,Rural,Small Cities/Rural,English,Arizona,Other,No impact,Telephone survey,No impact,Strongly or somewhat approve,Strongly approve,About right,Version 1,No,Donald Trump,0.243750840425491,Yes,85541.0
29609.0,Other,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,4.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Unfavorable,To express support for Donald Trump,No,3.0,The Republican candidate,Major changes,No,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Gun policy,No,Omit,Poor,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,West,Justified,Other,Female,White women,Too conservative,Rural,Small Cities/Rural,English,Arizona,Other,Hurt,Telephone survey,No impact,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1,No,Donald Trump,1.17516565322876,No,85541.0
29687.0,Other,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,4.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Donald Trump was not a factor,No,3.0,The Republican candidate,Major changes,Yes,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Omit,No,Too liberal,Poor,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,West,Politically motivated,Other,Female,White women,Omit,Suburbs,Suburbs,English,Arizona,White suburban women,No impact,Telephone survey,No impact,Strongly or somewhat disapprove,Strongly disapprove,Not tough enough,Version 1,No,Hillary Clinton,0.285646378993988,Yes,86442.0
29848.0,Other,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,4.0,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,To express support for Donald Trump,No,3.0,The Republican candidate,Minor changes,No,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",The economy,No,Omit,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,West,Politically motivated,Other,Male,White men,Omit,Suburbs,Suburbs,English,Arizona,White suburban men,No impact,Telephone survey,No impact,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Yes,Donald Trump,0.414941549301147,Yes,85119.0
29896.0,Other,Doug Ducey,,,,,,,,,,,Complete,,9.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Omit,Donald Trump was not a factor,Yes,1.0,The Republican candidate,Omit,No,,,,,,,Health care,No,Omit,Good,Excellent or good,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,,,,,White,White,State questionnaire,White,White,White,West,Omit,Other,Female,White women,Omit,Suburbs,Suburbs,English,Arizona,White suburban women,No impact,Telephone survey,Helped,Strongly or somewhat approve,Strongly approve,Omit,Version 1,No,Donald Trump,0.351659297943115,,85225.0
28899.0,Other,David Garcia,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,4.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Donald Trump was not a factor,No,3.0,The Democratic candidate,Minor changes,No,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",The economy,No,About right,Omit,Omit,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,West,Politically motivated,Other,Male,White men,Omit,"Cities 10,000-50,000",Small Cities/Rural,English,Arizona,Other,No impact,Telephone survey,No impact,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1,No,Didn't vote,1.64281296730042,Yes,86301.0
26977.0,Refused,Doug Ducey,,,,,,,,,,,Complete,,9.0,,,,,,,,,,1.0,The Republican candidate,,,,,,,,,Immigration,,,,,,,,,,,,,,,,,,,,National questionnaire,,,,West,,Refused,Female,,,"Cities 50,000-500,000","Cities over 50,000",,Arizona,Other,,Telephone survey,,Strongly or somewhat approve,Somewhat approve,,Version 3,,,0.00187730300240219,,85251.0
28929.0,Martha McSally,Other,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,5.0,Omit,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Donald Trump was not a factor,No,1.0,Other,Major changes,No,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",The economy,No,About right,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,West,Politically motivated,The Republican candidate,Male,White men,Too liberal,Suburbs,Suburbs,English,Arizona,White suburban men,Hurt,Telephone survey,No impact,Strongly or somewhat approve,Somewhat approve,About right,Version 1,No,Other,1.74753248691559,No,85248.0
29219.0,Martha McSally,Other,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,1.0,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,To express support for Donald Trump,No,3.0,Other,Major changes,No,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Omit,No,Too liberal,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,West,Politically motivated,The Republican candidate,Female,White women,Too liberal,Suburbs,Suburbs,English,Arizona,White suburban women,No impact,Telephone survey,Hurt,Strongly or somewhat approve,Somewhat approve,About right,Version 1,No,Donald Trump,0.161045625805855,Yes,86326.0
29333.0,Martha McSally,Other,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,2.0,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Donald Trump was not a factor,No,2.0,Other,Minor changes,No,,,,,,,Gun policy,No,About right,Not so good,Not so good or poor,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,West,Omit,The Republican candidate,Female,White women,Omit,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,No impact,Telephone survey,No impact,Strongly or somewhat approve,Strongly approve,About right,Version 1,No,Donald Trump,0.713562071323395,No,85710.0
26213.0,Martha McSally,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,8.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,No,1.0,The Republican candidate,,,,,,,,,,No,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,White,West,,The Republican candidate,Female,White women,,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,,Telephone survey,,Strongly or somewhat approve,Somewhat approve,,Version 1,No,Donald Trump,1.41687202453613,,85037.0
26218.0,Martha McSally,Doug Ducey,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,Latino 60+,White 45-64,Complete,,2.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,No,2.0,The Republican candidate,,,,,,,,,,Yes,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,,Independent/Something else,Conservative Republicans,Other,White,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,,The Republican candidate,Male,Latino men,,"Cities over 500,000","Cities over 50,000",English,Arizona,Other,,Telephone survey,,Strongly or somewhat approve,Strongly approve,,Version 1,Yes,Donald Trump,0.344967424869537,,85747.0
26220.0,Martha McSally,Doug Ducey,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,4.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,No,3.0,The Republican candidate,,,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,West,,The Republican candidate,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",English,Arizona,Other,,Telephone survey,,Strongly or somewhat approve,Strongly approve,,Version 1,No,Donald Trump,2.95869612693787,,86409.0
26221.0,Martha McSally,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,2.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,No,3.0,The Republican candidate,,,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,West,,The Republican candidate,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,English,Arizona,Other,,Telephone survey,,Strongly or somewhat approve,Strongly approve,,Version 1,No,Donald Trump,0.39251583814621,,85650.0
26222.0,Martha McSally,Doug Ducey,,,,,,,,,,,Complete,,8.0,,,,,,,,,No,1.0,The Republican candidate,,,,,,,,,,No,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,West,,The Republican candidate,Female,White women,,Suburbs,Suburbs,English,Arizona,White suburban women,,Telephone survey,,Strongly or somewhat approve,Strongly approve,,Version 1,No,Donald Trump,0.00354038598015904,,85308.0
26226.0,Martha McSally,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,,4.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,No,1.0,The Republican candidate,,,,,,,,,,Yes,,,,45+,65+,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Something else,Independent Women,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,,The Republican candidate,Female,Latino women,,Suburbs,Suburbs,English,Arizona,Other,,Telephone survey,,Strongly or somewhat approve,Strongly approve,,Version 1,No,Donald Trump,1.6339350938797,,85264.0
26228.0,Martha McSally,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,6.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,No,1.0,The Republican candidate,,,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,West,,The Republican candidate,Female,White women,,Suburbs,Suburbs,English,Arizona,White suburban women,,Telephone survey,,Strongly or somewhat approve,Strongly approve,,Version 1,No,Donald Trump,1.02637851238251,,85264.0
26230.0,Martha McSally,Doug Ducey,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,6.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,No,1.0,The Republican candidate,,,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,West,,The Republican candidate,Female,White women,,Suburbs,Suburbs,English,Arizona,White suburban women,,Telephone survey,,Strongly or somewhat approve,Strongly approve,,Version 1,No,Donald Trump,2.05275702476501,,85264.0
