ID,SENPA18,GOVPA18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,MARRIED,NEC,NEC2,OPIOID18,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,UNIONHH12,VERSION,VOTE2016,WEIGHT,WHNCLINC,WOMEN,WOMEN2,ZIPCODE
62540.0,Bob Casey,Tom Wolf,45-65,60+,60-64,45+,50+,60+,50-64,Black 60+,Black 60+,Black 45-64,Not complete,Call 3,4.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,2.0,The Democratic candidate,,,,,,,,,,,,Not so good,Not so good or poor,,45+,18-64,,,,,,,,,106.0,,,Black,Black,State questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Male,Black men,,,,Suburbs,Suburbs,,Pennsylvania,Other,,Election day exit poll,In the last month,In the last month,Before that,,,,,,Version 1,,1.61166131496429,,,,19401.0
33874.0,Bob Casey,Tom Wolf,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,14.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,5.0,The Democratic candidate,,,,,,,,,Health care,,Yes,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,77.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,Not at all serious,Not serious,Married men,Rural,Small Cities/Rural,,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,,Version 3,,0.924096345901489,,Not too important,Not important,15344.0
33846.0,Bob Casey,Tom Wolf,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,3.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,1.0,The Democratic candidate,No changes at all,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Gun policy,,Yes,Not so good,Not so good or poor,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,130.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Justified,The Democratic candidate,Male,Black men,,,Married men,"Cities over 500,000","Cities over 50,000",,Pennsylvania,Other,Hurt,Election day exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,,Version 1,Hillary Clinton,0.479896932840347,No,,,19104.0
49227.0,Bob Casey,Tom Wolf,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,Latino 65+,Complete,Call 2,18.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,5.0,The Democratic candidate,Major changes,Yes,,,,,,,Health care,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,Moderate,16.0,Moderate/Liberal Republicans,Moderate Independents,Other,Other,National questionnaire,Other,Non-white,Other,East,Justified,The Democratic candidate,Male,All other races,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,,Election day exit poll,,,,,,,Too tough,,Version 2,,0.618878960609436,,,,15224.0
48761.0,Bob Casey,Tom Wolf,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 2,18.0,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,5.0,The Democratic candidate,Minor changes,Yes,,,,,,,Health care,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,16.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Non-white,Black,East,Omit,The Democratic candidate,Female,Black women,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,,Election day exit poll,,,,,,,Too tough,,Version 2,,0.532152235507965,,,,15224.0
60355.0,Lou Barletta,Tom Wolf,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 3,8.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,3.0,The Democratic candidate,,,,,,,,,The economy,,No,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,103.0,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Male,White men,Somewhat serious,Serious,Non married men,Suburbs,Suburbs,,Pennsylvania,White suburban men,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,,Version 3,,0.517061233520508,,Somewhat important,Important,18466.0
60695.0,Lou Barletta,Tom Wolf,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,9.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,4.0,The Democratic candidate,Major changes,No,,,,,,,Health care,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,90.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,White,East,Politically motivated,The Republican candidate,Male,White men,,,,"Cities 10,000-50,000",Small Cities/Rural,,Pennsylvania,Other,,Election day exit poll,,,,,,,About right,,Version 2,,2.37225461006165,,,,17046.0
33334.0,,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,13.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,5.0,The Republican candidate,Minor changes,,,,,,,,Gun policy,,Yes,Good,Excellent or good,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,,140.0,,,White,White,State questionnaire,White,White,White,East,Omit,,Female,White women,,,Married women,Rural,Small Cities/Rural,,Pennsylvania,Other,Omit,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,About right,,Version 1,Hillary Clinton,0.780271410942078,,,,15926.0
48304.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,13.0,,,,,,,,,,,,,4.0,The Republican candidate,Major changes,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Immigration,,No,Poor,Not so good or poor,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,27.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,East,Justified,The Republican candidate,Female,White women,,,Non married women,Rural,Small Cities/Rural,,Pennsylvania,Other,No impact,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,Not tough enough,,Version 1,Donald Trump,2.72959780693054,,,,15537.0
48303.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,13.0,,,,,,,,,,,,,4.0,The Republican candidate,Major changes,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Immigration,,No,Poor,Not so good or poor,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,27.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,East,Justified,The Republican candidate,Female,White women,,,Non married women,Rural,Small Cities/Rural,,Pennsylvania,Other,No impact,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,Not tough enough,,Version 1,Donald Trump,2.72959780693054,,,,15537.0
31237.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,9.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,No,3.0,The Republican candidate,,,,,,,,,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,33.0,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,,Version 1,Donald Trump,0.981855571269989,,,,19605.0
47427.0,Lou Barletta,Scott Wagner,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,8.0,The Republican Party,,,,,,Unfavorable,Only Republican Party,Favorable,Omit,To express support for Donald Trump,No,3.0,The Republican candidate,,No,,,,,,,,,,,,Omit,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,101.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,East,,The Republican candidate,Male,White men,Omit,Omit,,Suburbs,Suburbs,,Pennsylvania,White suburban men,,Election day exit poll,,,,Helped,,,,,Version 2,,0.737246632575989,,Omit,Omit,18372.0
31211.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,9.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Omit,Omit,Favorable,Better,,,3.0,The Republican candidate,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",,,,Excellent,Excellent or good,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,33.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Female,White women,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,No impact,Election day exit poll,,,,No impact,,,,,Version 4,,0.621854245662689,No,,,19605.0
47349.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,2.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,1.0,The Republican candidate,Minor changes,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Gun policy,,Yes,Good,Excellent or good,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,122.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,East,Justified,The Republican candidate,Female,White women,,,Married women,"Cities over 500,000","Cities over 50,000",,Pennsylvania,Other,No impact,Election day exit poll,In the last week,In the last month,In the last week,,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,,Version 1,Donald Trump,3.12341594696045,No,,,19136.0
47131.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,,,,Complete,Call 2,13.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,,,,,,,5.0,The Republican candidate,Major changes,,,,,,,,Immigration,,,Excellent,Excellent or good,,45+,65+,Independent/Something else,,,Independent women,Independent,Independent Women,,Conservative,140.0,Moderate/Liberal Republicans,Conservative Independents,,,State questionnaire,,,,East,Politically motivated,The Republican candidate,Female,,,,,Rural,Small Cities/Rural,,Pennsylvania,Other,No impact,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,Not tough enough,,Version 1,Donald Trump,0.5139439702034,,,,15926.0
61140.0,Lou Barletta,Scott Wagner,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,Complete,Call 3,5.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Only Republican Party,Favorable,Better,,,2.0,The Republican candidate,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",,,,Excellent,Excellent or good,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Liberal,73.0,Conservative Republicans,Mod./Liberal Republicans,Other,Asian,National questionnaire,Asian,Non-white,Asian,East,,The Republican candidate,Male,All other races,,,,Suburbs,Suburbs,,Pennsylvania,Other,Helped,Election day exit poll,,,,Helped,,,,,Version 4,,2.05809164047241,No,,,19064.0
30633.0,Lou Barletta,Scott Wagner,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,9.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,No,3.0,The Republican candidate,,,,,,,,,,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,33.0,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Female,White women,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,,Version 1,Donald Trump,0.508967339992523,,,,19605.0
49977.0,Lou Barletta,Scott Wagner,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 2,16.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Only Republican Party,Favorable,Better,,,5.0,The Republican candidate,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",,,,Good,Excellent or good,,45+,18-64,,,,,,,,Moderate,99.0,,,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Male,White men,,,,Suburbs,Suburbs,,Pennsylvania,White suburban men,Helped,Election day exit poll,,,,Helped,,,,,Version 4,,2.66568899154663,No,,,16127.0
49533.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,9.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,3.0,The Republican candidate,,,,,,,,,The economy,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,138.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Male,White men,Not too serious,Not serious,,Rural,Small Cities/Rural,,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,,Version 3,,1.38511765003204,,Not at all important,Not important,17960.0
31238.0,Lou Barletta,Scott Wagner,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,9.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,No,3.0,The Republican candidate,,,,,,,,,,,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,33.0,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,White,East,,The Republican candidate,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,,Version 1,Donald Trump,0.981855571269989,,,,19605.0
61185.0,Lou Barletta,Scott Wagner,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Call 3,15.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Omit,Omit,Favorable,Better,To express support for Donald Trump,No,4.0,The Republican candidate,,No,,,,,,,,,No,,,Approve,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,,53.0,,,White,White,State questionnaire,White,White,White,East,,The Republican candidate,Female,White women,Very serious,Serious,Non married women,Suburbs,Suburbs,,Pennsylvania,White suburban women,,Election day exit poll,,,,Omit,,,,No,Version 2,,2.35050845146179,,Very important,Important,16823.0
49223.0,,Tom Wolf,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,White 65+,Complete,Call 2,9.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,No,4.0,The Democratic candidate,,,,,,,,,,Yes,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,Independent Women,All others,Conservative,90.0,Moderate/Liberal Republicans,Conservative Independents,Other,White,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,,Female,Latino women,,,,"Cities 10,000-50,000",Small Cities/Rural,Spanish,Pennsylvania,Other,,Election day exit poll,,,,,Strongly or somewhat approve,Somewhat approve,,,Version 1,Didn't vote,1.97887206077576,,,,17046.0
39398.0,Bob Casey,Tom Wolf,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 1,2.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,No,1.0,The Democratic candidate,,Yes,,,,,,,,Yes,No,,,Approve,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,134.0,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Female,Latino women,Very serious,Serious,Non married women,"Cities over 500,000","Cities over 50,000",Spanish,Pennsylvania,Other,,Election day exit poll,,,,Hurt,,,,No,Version 2,,0.478050142526627,,Very important,Important,19133.0
