ID,GOVMN18,SENMN18,SEN2MN18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WOMEN,WOMEN2,ZIPCODE
13513.0,Jeff Johnson,Amy Klobuchar,Did not vote,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,,5.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Favorable,Only Democratic Party,Unfavorable,Better,Donald Trump was not a factor,Yes,1.0,The Republican candidate,,No,,,,,,,,No,,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,Midwest,Justified,The Democratic candidate,Male,Black men,Not too serious,Not serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Helped,,,,Version 2,,0.638981878757477,,Not too important,Not important,55404.0
13514.0,Tim Walz,Amy Klobuchar,Tina Smith,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,8.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,No,4.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Democratic candidate,Female,White women,Very serious,Serious,,Suburbs,Suburbs,Minnesota,White suburban women,,Telephone survey,,,,Hurt,,,,Version 2,,1.06856560707092,,Very important,Important,55056.0
13515.0,Jeff Johnson,Jim Newberger,Karin Housley,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,7.0,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,No,3.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men,Not too serious,Not serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Omit,,,,Version 2,,0.762592196464539,,Not at all important,Not important,56295.0
13516.0,Tim Walz,Amy Klobuchar,Tina Smith,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,6.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,Yes,1.0,The Democratic candidate,,Yes,,,,,,,,No,,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men,Somewhat serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,No impact,,,,Version 2,,1.68832838535309,,Somewhat important,Important,55126.0
13517.0,Tim Walz,Amy Klobuchar,Tina Smith,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,3.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Only Democratic Party,Unfavorable,Worse,To express opposition to Donald Trump,No,1.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men,Somewhat serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Hurt,,,,Version 2,,0.402011901140213,,Very important,Important,55442.0
13518.0,Jeff Johnson,Jim Newberger,Karin Housley,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,7.0,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Only Republican Party,Favorable,Better,To express support for Donald Trump,,4.0,The Republican candidate,,No,,,,,,,,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men,Somewhat serious,Serious,,Suburbs,Suburbs,Minnesota,White suburban men,,Telephone survey,,,,Hurt,,,,Version 2,,0.34886234998703,,Somewhat important,Important,56560.0
13519.0,Jeff Johnson,Amy Klobuchar,Karin Housley,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,All others,All others,Complete,,3.0,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Both parties,Favorable,About the same,Donald Trump was not a factor,No,1.0,The Republican candidate,,Yes,,,,,,,,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,Asian,State questionnaire,Asian,Non-white,Asian,Midwest,Politically motivated,The Democratic candidate,Female,All other races,Somewhat serious,Serious,,Suburbs,Suburbs,Minnesota,Other,,Telephone survey,,,,Omit,,,,Version 2,,0.661986649036407,,Very important,Important,55391.0
13520.0,Tim Walz,Amy Klobuchar,Tina Smith,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,5.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Only Democratic Party,Unfavorable,Better,To express opposition to Donald Trump,No,1.0,The Democratic candidate,,Yes,,,,,,,,No,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,Very serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Omit,,,,Version 2,,0.804023802280426,,Very important,Important,55427.0
13521.0,Tim Walz,Amy Klobuchar,Tina Smith,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,5.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,Donald Trump was not a factor,No,1.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,Very serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Hurt,,,,Version 2,,0.5627760887146,,Very important,Important,55427.0
13522.0,Jeff Johnson,Jim Newberger,Karin Housley,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,8.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Unfavorable,Only Republican Party,Favorable,About the same,To express support for Donald Trump,Yes,4.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women,Omit,Omit,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,No impact,,,,Version 2,,0.465150058269501,,Very important,Important,56345.0
13523.0,Jeff Johnson,Amy Klobuchar,Did not vote,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,3.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Unfavorable,Neither party,Unfavorable,About the same,To express opposition to Donald Trump,No,1.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Democratic candidate,Male,White men,Somewhat serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Helped,,,,Version 2,,2.43484687805176,,Somewhat important,Important,55444.0
13524.0,Jeff Johnson,Jim Newberger,Karin Housley,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,6.0,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Neither party,Unfavorable,About the same,To express opposition to Donald Trump,No,4.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women,Somewhat serious,Serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,No impact,,,,Version 2,,1.86094689369202,,Very important,Important,56301.0
13525.0,Tim Walz,Jim Newberger,Tina Smith,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,7.0,The Democratic Party,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,Yes,4.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,Midwest,Justified,The Republican candidate,Female,White women,Very serious,Serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Hurt,,,,Version 2,,0.314175546169281,,Not at all important,Not important,56315.0
13526.0,Did not vote,Jim Newberger,Karin Housley,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,Latino 65+,Complete,,1.0,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Neither party,Unfavorable,Better,To express support for Donald Trump,No,3.0,Did not vote,,No,,,,,,,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,,,,,Other,Other,State questionnaire,Other,Non-white,Other,Midwest,Politically motivated,The Republican candidate,Male,All other races,Not at all serious,Not serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Helped,,,,Version 2,,1.9562771320343,,Somewhat important,Important,55901.0
13527.0,Tim Walz,Amy Klobuchar,Tina Smith,45-65,30-59,50-59,45+,50+,45-59,50-64,,,,Complete,,7.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,,,Omit,Omit,Unfavorable,Worse,To express opposition to Donald Trump,No,3.0,The Democratic candidate,,Omit,,,,,,,,No,,,,45+,18-64,Independent/Something else,,,Independent men,Independent,Independent Men,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,State questionnaire,,,,Midwest,Justified,The Democratic candidate,Male,,Somewhat serious,Serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Hurt,,,,Version 2,,1.25118863582611,,Somewhat important,Important,55350.0
13528.0,Tim Walz,Amy Klobuchar,Tina Smith,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,7.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Omit,Omit,Omit,About the same,Donald Trump was not a factor,No,4.0,The Democratic candidate,,No,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,Very serious,Serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Hurt,,,,Version 2,,0.534282803535461,,Very important,Important,56274.0
13529.0,Tim Walz,Amy Klobuchar,Tina Smith,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,7.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,No,4.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,Somewhat serious,Serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Hurt,,,,Version 2,,1.06856560707092,,Very important,Important,56464.0
13530.0,Jeff Johnson,Jim Newberger,Karin Housley,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,7.0,The Republican Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Only Republican Party,Favorable,Worse,Donald Trump was not a factor,No,4.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Female,White women,Somewhat serious,Serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Omit,,,,Version 2,,0.930473446846008,,Not at all important,Not important,56334.0
13531.0,Jeff Johnson,Jim Newberger,Karin Housley,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,6.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,No,4.0,The Republican candidate,,No,,,,,,,,No,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men,Very serious,Serious,,Suburbs,Suburbs,Minnesota,White suburban men,,Telephone survey,,,,No impact,,,,Version 2,,1.86094689369202,,Somewhat important,Important,56362.0
13532.0,Jeff Johnson,Jim Newberger,Karin Housley,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,4.0,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Unfavorable,Only Republican Party,Favorable,Better,Donald Trump was not a factor,No,2.0,The Republican candidate,,No,,,,,,,,No,,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Republican candidate,Male,White men,Not too serious,Not serious,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Helped,,,,Version 2,,1.67547631263733,,Omit,Omit,55449.0
13533.0,Tim Walz,Amy Klobuchar,Tina Smith,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,8.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Favorable,Only Democratic Party,Unfavorable,About the same,To express opposition to Donald Trump,No,4.0,The Democratic candidate,,Yes,,,,,,,,No,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,,,,,White,White,State questionnaire,White,White,White,Midwest,Omit,The Democratic candidate,Female,White women,Somewhat serious,Serious,,Rural,Small Cities/Rural,Minnesota,Other,,Telephone survey,,,,Omit,,,,Version 2,,1.06856560707092,,Somewhat important,Important,56653.0
13534.0,Tim Walz,Amy Klobuchar,Tina Smith,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,All others,Complete,,6.0,Omit,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Omit,Omit,Better,Donald Trump was not a factor,Yes,2.0,The Democratic candidate,,Omit,,,,,,,,Yes,,,,45+,65+,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,,,,,Other,Other,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest,Politically motivated,The Democratic candidate,Male,Latino men,Omit,Omit,,"Cities 50,000-500,000","Cities over 50,000",Minnesota,Other,,Telephone survey,,,,Helped,,,,Version 2,,0.610880732536316,,Not at all important,Not important,55448.0
