ID,SENNV18,GOVNV18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVHELLER,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVROSEN,FAVSENNV18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,GUN16,GUNOWNER12,HEALTHCARE18,HELLERLIB,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVNV18,KAVNV18A,KAVNV18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,ROSENLIB,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,UNIONHH12,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
14991.0,Jacky Rosen,Jared Lord,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,,2.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,Unfavorable,,Favorable,,,,,,,1.0,Other,Oppose,Yes,,About right,,,,,,,,Health care,The most important factor,Important,A factor,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,Female,White women,,,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 3,,0.621525168418884,,All others,,,89507.0
14992.0,Jacky Rosen,Steve Sisolak,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,,4.0,The Democratic Party,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,Unfavorable,,Favorable,,,,,,,2.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Gun policy,A minor factor,Not important,A factor,No,Yes,,,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,Independent Women,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Black,Black,State questionnaire,Black,Non-white,Black,West,About right,,The Democratic candidate,Female,Black women,,,Married women,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.52438807487488,,All others,,,89131.0
14993.0,Jacky Rosen,Steve Sisolak,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,3.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,Unfavorable,,Favorable,,,,,,,2.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,An important factor,Important,A factor,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,Female,White women,,,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.18768191337585,,All others,,,89002.0
14994.0,Dean Heller,Adam Laxalt,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,No,,3.0,The Republican Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,Favorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,Immigration,An important factor,Important,A factor,No,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Male,White men,,,Non married men,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,,,Version 3,,1.14192521572113,,All others,,,89120.0
14995.0,Dean Heller,Adam Laxalt,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,3.0,The Republican Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,Favorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,The economy,A minor factor,Not important,A factor,No,Yes,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Male,White men,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,,,Version 3,,1.49620187282562,,White Born-again/Evangelical Christians,,,89015.0
14996.0,Jacky Rosen,Steve Sisolak,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,3.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,Unfavorable,,Unfavorable,,,,,,,2.0,The Democratic candidate,Support,No,,Too conservative,,,,,,,,Health care,Not a factor at all,Not important,Not a factor,No,No,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,0.752350628376007,,All others,,,89074.0
14997.0,Dean Heller,Adam Laxalt,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,3.0,The Republican Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,Unfavorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,The economy,The most important factor,Important,A factor,No,Yes,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Female,White women,,,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,,,Version 3,,2.03336763381958,,All others,,,89074.0
14998.0,Dean Heller,Adam Laxalt,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,1.0,The Republican Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,Favorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,The economy,A minor factor,Not important,A factor,No,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Male,White men,,,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 3,,1.14192521572113,,All others,,,89014.0
14999.0,Jacky Rosen,Steve Sisolak,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,Latino 65+,Complete,No,,3.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,Unfavorable,,Unfavorable,,,,,,,2.0,The Democratic candidate,Oppose,Yes,,Too conservative,,,,,,,,The economy,A minor factor,Not important,A factor,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire,Other,Non-white,Other,West,Too liberal,,The Democratic candidate,Male,All other races,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 3,,1.01313722133636,,All others,,,89052.0
15000.0,Jacky Rosen,Steve Sisolak,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,Yes,,3.0,The Democratic Party,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,Unfavorable,,Favorable,,,,,,,2.0,The Democratic candidate,Support,Yes,,Too conservative,,,,,,,,The economy,Not a factor at all,Not important,Not a factor,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire,Other,Non-white,Other,West,About right,,The Democratic candidate,Female,All other races,,,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.03794896602631,,All others,,,89011.0
15001.0,Tim Hagan,Jared Lord,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,No,,3.0,The Democratic Party,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,Favorable,,Unfavorable,,,,,,,2.0,Other,Oppose,No,,Too conservative,,,,,,,,Health care,An important factor,Important,A factor,No,No,,,18-44,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,Independent Women,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Black,Black,State questionnaire,Black,Non-white,Black,West,About right,,Other,Female,Black women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 3,,3.96038961410522,,All others,,,89074.0
15002.0,None of these candidates,Steve Sisolak,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,All others,Complete,No,,3.0,The Democratic Party,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,Unfavorable,,Unfavorable,,,,,,,2.0,The Democratic candidate,Oppose,Yes,,Too liberal,,,,,,,,Gun policy,An important factor,Important,A factor,Yes,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,Asian,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,West,Too liberal,,Other,Male,Latino men,,,Non married men,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 3,,5.85736417770386,,All others,,,89120.0
15003.0,Dean Heller,Adam Laxalt,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,4.0,The Republican Party,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,Unfavorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,No,,About right,,,,,,,,Immigration,Not a factor at all,Not important,Not a factor,No,No,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Male,White men,,,Non married men,Suburbs,Suburbs,English,Nevada,White suburban men,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,,,Version 3,,2.02522921562195,,All others,,,89031.0
15004.0,Dean Heller,Adam Laxalt,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,All others,All others,Complete,Yes,,4.0,The Republican Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,Favorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,The economy,The most important factor,Important,A factor,No,Yes,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,,Independent/Something else,Conservative Republicans,Other,Asian,State questionnaire,Asian,Non-white,Asian,West,Too liberal,,The Republican candidate,Male,All other races,,,Married men,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat approve,Strongly approve,,,Version 3,,3.18504238128662,,All others,,,89130.0
15005.0,Jacky Rosen,Steve Sisolak,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,4.0,The Democratic Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,,,,Unfavorable,,Favorable,,,,,,,2.0,The Democratic candidate,Support,Yes,,Too conservative,,,,,,,,Health care,An important factor,Important,A factor,No,Yes,,,45+,65+,Democrat,Non-black Democrat,White Democrat,,Democrat,,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,West,About right,,The Democratic candidate,,,,,,Suburbs,Suburbs,English,Nevada,,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.30375301837921,,All others,,,89031.0
15006.0,Dean Heller,Adam Laxalt,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,4.0,The Republican Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,Favorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,Yes,,About right,,,,,,,,Immigration,An important factor,Important,A factor,No,Yes,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Male,White men,,,Married men,"Cities over 500,000","Cities over 50,000",English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 3,,1.98476099967957,,All others,,,89130.0
15007.0,Dean Heller,Adam Laxalt,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,,4.0,The Republican Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,Favorable,,Unfavorable,,,,,,,2.0,The Republican candidate,Oppose,No,,About right,,,,,,,,Immigration,An important factor,Important,A factor,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,West,Too liberal,,The Republican candidate,Female,White women,,,Married women,Suburbs,Suburbs,English,Nevada,White suburban women,,In person absentee exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,,,Version 3,,1.99686563014984,,White Born-again/Evangelical Christians,,,89031.0
15008.0,Jacky Rosen,None of these candidates,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,All others,All others,Complete,No,,2.0,The Republican Party,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,Unfavorable,,Unfavorable,,,,,,,1.0,Other,Oppose,No,,Too liberal,,,,,,,,Immigration,An important factor,Important,A factor,No,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,State questionnaire,Other,Non-white,American Indian,West,Too conservative,,The Democratic candidate,Female,All other races,,,Non married women,Suburbs,Suburbs,English,Nevada,Other,,In person absentee exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,,,Version 3,,1.52887463569641,,All others,,,89424.0
