ID,SENTN18,GOVTN18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BLACKBURNLIB,BREDESENLIB,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBLACKBURN,FAVBREDESEN,FAVDEM2,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVSENTN18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,GUNOWNER12,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
60874.0,Phil Bredesen,Other,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,,,Yes,Call 3,8.0,,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,,4.0,Other,,Minor changes,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,,No,No,Not so good,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,65.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,South,Politically motivated,The Democratic candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,No impact,Election day exit poll,In the last month,In the last month,Before that,,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Didn't vote,2.11410164833069,No,White Born-again/Evangelical Christians,,,38305.0
62037.0,Phil Bredesen,Other,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,All others,Complete,,,,Call 3,9.0,,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Favorable,Unfavorable,,Neither party,,Unfavorable,Only Phil Bredesen,About the same,Donald Trump was not a factor,Yes,5.0,Other,,,No,,,,,,,,,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Moderate,93.0,Moderate/Liberal Republicans,Moderate Independents,Other,Asian,State questionnaire,,Asian,Non-white,Asian,South,,The Democratic candidate,Female,All other races,Somewhat serious,Serious,Non married women,Suburbs,Suburbs,Tennessee,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,1.25351691246033,,,Somewhat important,Important,38016.0
62038.0,Phil Bredesen,Other,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,All others,Complete,,,,Call 3,9.0,,Omit,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Unfavorable,Favorable,Unfavorable,,Neither party,,Unfavorable,Only Phil Bredesen,About the same,Donald Trump was not a factor,Yes,5.0,Other,,,No,,,,,,,,,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent women,Independent,Independent Women,All others,Moderate,93.0,Moderate/Liberal Republicans,Moderate Independents,Other,Asian,State questionnaire,,Asian,Non-white,Asian,South,,The Democratic candidate,Female,All other races,Somewhat serious,Serious,Non married women,Suburbs,Suburbs,Tennessee,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,1.25351691246033,,,Somewhat important,Important,38016.0
62784.0,Phil Bredesen,Other,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,,Yes,Call 3,9.0,,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,,,5.0,Other,,No changes at all,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Health care,,No,Yes,Poor,Not so good or poor,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Liberal,82.0,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,,Black,Non-white,Black,South,Justified,The Democratic candidate,Male,Black men,,,Married men,"Cities over 500,000","Cities over 50,000",Tennessee,Other,No impact,Election day exit poll,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Hillary Clinton,2.31102061271667,No,All others,,,38125.0
53143.0,Phil Bredesen,Other,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Too conservative,Omit,No,Call 2,7.0,The Democratic Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,Omit,,Omit,,,,,,4.0,Other,No,,,,,,,,,Gun policy,Oppose,No,No,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,69.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,Cares about people like me,White,White,White,South,,The Democratic candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat disapprove,Strongly disapprove,,Version 3,,2.08390021324158,,All others,,,37040.0
28705.0,Refused,Refused,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,,,,7.0,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,Unfavorable,,,,,,4.0,Refused,,Major changes,Yes,,,,,,,The economy,,,,,,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Black,Black,National questionnaire,,Black,Non-white,,South,Justified,Refused,Male,Black men,,,,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,,Telephone survey,,,,,,,Omit,Version 2,,1.60820341110229,,,,,37040.0
28692.0,Other,Bill Lee,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,6.0,,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,Omit,,,,,,4.0,The Republican candidate,,Minor changes,Yes,,,,,,,Omit,,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,,,,,White,White,National questionnaire,,White,White,,South,Politically motivated,Other,Female,White women,,,,Rural,Small Cities/Rural,Tennessee,Other,,Telephone survey,,,,,,,Too tough,Version 2,,5.59665012359619,,,,,38562.0
35066.0,Other,Bill Lee,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,Yes,Call 1,8.0,,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,,,4.0,The Republican candidate,,Major changes,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy,,No,Yes,Excellent,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,43.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,,White,White,White,South,Politically motivated,Other,Male,White men,,,Married men,Rural,Small Cities/Rural,Tennessee,Other,Helped,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,3.51268458366394,No,White Born-again/Evangelical Christians,,,38242.0
36560.0,Other,Bill Lee,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,Call 1,9.0,,The Republican Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Unfavorable,Unfavorable,Unfavorable,,Only Republican Party,,Favorable,Neither,About the same,Donald Trump was not a factor,No,5.0,The Republican candidate,,,No,,,,,,,,,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,93.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,South,,Other,Female,White women,Somewhat serious,Serious,Married women,Suburbs,Suburbs,Tennessee,White suburban women,,Election day exit poll,,,,No impact,Strongly or somewhat approve,Somewhat approve,,Version 2,,2.72535014152527,,,Very important,Important,38016.0
51529.0,Other,Bill Lee,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,Yes,Call 2,2.0,,,,,,,,,,,,,,,,,,,1.0,The Republican candidate,,Major changes,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Immigration,,No,No,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,45.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,,White,White,White,South,Politically motivated,Other,Female,White women,,,Non married women,Suburbs,Suburbs,Tennessee,White suburban women,No impact,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1,Donald Trump,2.28255033493042,,White Born-again/Evangelical Christians,,,37760.0
34594.0,Other,Bill Lee,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Too conservative,Too liberal,Yes,Call 1,8.0,The Republican Party,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,Favorable,,Favorable,,,,,,4.0,The Republican candidate,Yes,,,,,,,,,Health care,Support,No,Yes,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,43.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,Is willing to compromise,White,White,White,South,,Other,Male,White men,,,Married men,Rural,Small Cities/Rural,Tennessee,Other,,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,,Version 3,,3.51268458366394,,White Born-again/Evangelical Christians,,,38242.0
38682.0,Other,Bill Lee,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Too conservative,Too liberal,No,Call 1,7.0,The Republican Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,Unfavorable,,Unfavorable,,,,,,3.0,The Republican candidate,Yes,,,,,,,,,Health care,Support,No,No,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,108.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,Shares my view of government,White,White,White,South,,Other,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,,Election day exit poll,In the last week,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,,Version 3,,4.93634843826294,,All others,,,37064.0
62084.0,Other,Bill Lee,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Too conservative,Too liberal,No,Call 3,2.0,The Republican Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,Unfavorable,,Unfavorable,,,,,,1.0,The Republican candidate,Yes,,,,,,,,,Immigration,Support,No,Yes,,,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,8.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,Shares my view of government,White,White,White,South,,Other,Male,White men,,,Married men,Rural,Small Cities/Rural,Tennessee,Other,,Election day exit poll,In the last month,In the last month,Before that,,Strongly or somewhat approve,Strongly approve,,Version 3,,3.47024893760681,,All others,,,37879.0
52143.0,Other,Bill Lee,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Too conservative,Too liberal,Yes,Call 2,3.0,The Republican Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,Unfavorable,,Unfavorable,,,,,,1.0,The Republican candidate,Yes,,,,,,,,,Immigration,Oppose,No,No,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,100.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,Is willing to compromise,White,White,White,South,,Other,Male,White men,,,Non married men,Suburbs,Suburbs,Tennessee,White suburban men,,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,,Version 3,,3.48467421531677,,White Born-again/Evangelical Christians,,,37779.0
62780.0,Other,Bill Lee,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Too liberal,Too liberal,Yes,Call 3,3.0,The Democratic Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,Favorable,,Unfavorable,,,,,,2.0,The Republican candidate,Yes,,,,,,,,,Health care,Oppose,No,Yes,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,60.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,Cares about people like me,White,White,White,South,,Other,Female,White women,,,Married women,Rural,Small Cities/Rural,Tennessee,Other,,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat disapprove,Somewhat disapprove,,Version 3,,3.70728778839111,,White Born-again/Evangelical Christians,,,37303.0
62781.0,Other,Bill Lee,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Too liberal,Too liberal,Yes,Call 3,3.0,The Democratic Party,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,Favorable,,Unfavorable,,,,,,2.0,The Republican candidate,Yes,,,,,,,,,Health care,Oppose,No,Yes,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,60.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,Cares about people like me,White,White,White,South,,Other,Female,White women,,,Married women,Rural,Small Cities/Rural,Tennessee,Other,,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat disapprove,Somewhat disapprove,,Version 3,,3.70728778839111,,White Born-again/Evangelical Christians,,,37303.0
26451.0,Marsha Blackburn,Bill Lee,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,,4.0,,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,Unfavorable,,Only Republican Party,,Favorable,,About the same,,,1.0,The Republican candidate,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",,,,,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,,,,,White,White,National questionnaire,,White,White,,South,,The Republican candidate,Female,White women,,,,Rural,Small Cities/Rural,Tennessee,Other,No impact,Telephone survey,,,,Helped,,,,Version 4,,2.46035933494568,Yes,,,,37332.0
26452.0,Marsha Blackburn,Bill Lee,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,,2.0,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,Unfavorable,,Neither party,,Unfavorable,,Better,,,2.0,The Republican candidate,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",,,,,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,,White,White,,South,,The Republican candidate,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,No impact,Telephone survey,,,,Helped,,,,Version 4,,1.96991920471191,No,,,,37922.0
26453.0,Marsha Blackburn,Bill Lee,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,,7.0,,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,Unfavorable,,Omit,,Omit,,Better,,,4.0,The Republican candidate,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",,,,,Excellent,Excellent or good,45+,65+,,,,,,,,Conservative,,,,White,White,National questionnaire,,White,White,,South,,The Republican candidate,Male,White men,,,,Suburbs,Suburbs,Tennessee,White suburban men,No impact,Telephone survey,,,,Omit,,,,Version 4,,0.495645016431808,No,,,,38332.0
