ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNV06,GOVNV06,QUES6NV,QUES7NV,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,EDUC,UNION4,LATINO,BUSH4,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPIMMIGS,SAFER06,MOVETONV,REIDJOB,REIDJOB2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
5092.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.495436102151871,John Ensign (Rep),Jim Gibbons (Rep),Yes,No,Female,White,65-74,Republican,Moderate,$50k-$75k,Some college or associate degree,No one does,No,Somewhat approve,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,"Cities over 500,000","Cities over 50,000",1.0,Strong Democratic,Rural Counties,High Density Urban,Urban,Urban Core,Downscale,89107.0
5093.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.80611407756805,John Ensign (Rep),Jim Gibbons (Rep),No,No,Male,White,60-64,Republican,Conservative,$100k-$150k,College graduate,No one does,No,Strongly approve,Strongly approve,Somewhat important,Extremely important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,$100k or more,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Washoe County,High Density Urban,Urban,Urban Core,Upscale,89503.0
5094.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.95070242881775,John Ensign (Rep),Jim Gibbons (Rep),Yes,Yes,Female,White,45-49,Independent,Moderate,$75k-$100k,Some college or associate degree,No one does,No,Strongly approve,Strongly approve,Not at all important,Extremely important,Extremely important,Somewhat important,Safer from terrorism,I moved to Nevada five to 10 years ago,Strongly approve,Approve,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,Rural,Small Cities/Rural,2.0,Competitive,Clark County,Extremely Low Density Rural,Rural,Rural,Upscale,89445.0
5095.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.85487574338913,John Ensign (Rep),Jim Gibbons (Rep),Yes,No,Female,White,40-44,Republican,Moderate,$150k-$200k,College graduate,No one does,No,Strongly approve,Strongly approve,Somewhat important,Extremely important,Extremely important,Somewhat important,Safer from terrorism,I moved to Nevada five to 10 years ago,Somewhat disapprove,Disapprove,White female,White female,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Competitive,Rural Counties,Suburb,Urban,Urban Core,Very upscale,89123.0
5096.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.794201552867889,John Ensign (Rep),Jim Gibbons (Rep),Yes,Yes,Female,White,65-74,Republican,Conservative,$50k-$75k,Some college or associate degree,No one does,No,Strongly approve,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Washoe County,Suburb,Urban,Urban Core,Very upscale,89436.0
5097.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.961491107940674,John Ensign (Rep),Dina Titus (Dem),No,No,Male,White,75 or over,,Conservative,$100k-$150k,Postgraduate study,No one does,No,Strongly disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No Answer,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Competitive,Rural Counties,Suburb,Urban,Urban Core,Very upscale,89123.0
5098.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.712619185447693,None of these candidates,Dina Titus (Dem),Yes,Yes,Female,Black,18-24,Independent,Moderate,$30k-$50k,Some college or associate degree,No one does,No,Strongly disapprove,Somewhat approve,Somewhat important,Somewhat important,Extremely important,Somewhat important,Safer from terrorism,I moved to Nevada in the last four years,Somewhat disapprove,Disapprove,Non-white female,Non-white,18-29,18-24,18-64,18-29,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Approve,No,No,No (no union member in household),Black,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,High Density Urban,80s Suburbs,Urban Perimeter,Downscale,89103.0
5099.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.95339047908783,John Ensign (Rep),Jim Gibbons (Rep),,No,Male,White,50-59,Republican,Moderate,$150k-$200k,College graduate,No one does,No,Somewhat approve,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No Answer,I moved to Nevada five to 10 years ago,Somewhat disapprove,Disapprove,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,89052.0
5100.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.261905252933502,Jack Carter (Dem),Dina Titus (Dem),Yes,Yes,Female,White,65-74,Democratic,Moderate,$15k-$30k,High school graduate,No one does,No,Strongly disapprove,Somewhat disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Less safe from terrorism,I moved to Nevada more than 10 years ago,No Answer,No Answer,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Competitive,Rural Counties,High Density Urban,Urban,Urban Core,Downscale,89119.0
5101.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.996898293495178,Jack Carter (Dem),Dina Titus (Dem),Yes,No,Male,White,50-59,Democratic,Liberal,$30k-$50k,High school graduate,"Yes, I do",No,Strongly disapprove,Strongly disapprove,Somewhat important,Extremely important,Extremely important,Extremely important,Safer from terrorism,I was born in Nevada,Somewhat approve,Approve,White male,White male,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,English,Suburbs,Suburbs,1.0,Strong Democratic,Rural Counties,Extremely High Density Urban,70s Suburbs,Urban Perimeter,Very downscale,89030.0
5102.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.45779883861542,John Ensign (Rep),Jim Gibbons (Rep),No,Yes,Female,White,50-59,Republican,Moderate,Under $15k,Postgraduate study,No one does,No,Strongly approve,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,White female,White female,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,"Cities 50,000-500,000","Cities over 50,000",2.0,Competitive,Washoe County,Suburb,Urban,Urban Core,Very upscale,89509.0
5103.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.121612370014191,None of these candidates,Dina Titus (Dem),Yes,No,Female,White,65-74,Democratic,Liberal,$50k-$75k,Some college or associate degree,No one does,No,Somewhat approve,Strongly disapprove,No answer,Extremely important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Did not graduate from college,At least some college,Approve,Disapprove,No,No,No (no union member in household),White,English,Suburbs,Suburbs,2.0,Competitive,Washoe County,Low Density Rural,70s Suburbs,Urban Perimeter,Very upscale,89704.0
5104.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.249708399176598,Jack Carter (Dem),None of these candidates,Yes,No,Female,White,65-74,Democratic,Moderate,Under $15k,High school graduate,No one does,No,Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat disapprove,Disapprove,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),White,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,High Density Urban,80s Suburbs,Urban Perimeter,Downscale,89103.0
5105.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.73239374160767,John Ensign (Rep),Jim Gibbons (Rep),No,Yes,Female,White,40-44,Republican,Conservative,$15k-$30k,Some college or associate degree,No one does,No,Somewhat approve,Somewhat approve,Extremely important,Extremely important,Extremely important,Extremely important,Safer from terrorism,I moved to Nevada more than 10 years ago,Somewhat disapprove,Disapprove,White female,White female,30-44,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Approve,Approve,No,No,No (no union member in household),White,English,"Cities 10,000-50,000",Small Cities/Rural,2.0,Competitive,Clark County,Low Density Rural,Rural,Rural,Upscale,89460.0
5106.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.7116579413414,Jack Carter (Dem),Dina Titus (Dem),Yes,No,Female,Hispanic/Latino,75 or over,Democratic,Liberal,$15k-$30k,Did not complete high school,No one does,Yes,Somewhat disapprove,Strongly disapprove,No answer,Somewhat important,Extremely important,Somewhat important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,No,No,No (no union member in household),,English,"Cities 10,000-50,000",Small Cities/Rural,2.0,Competitive,Clark County,Low Density Rural,Rural,Rural,Very downscale,89048.0
5107.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.835647404193878,John Ensign (Rep),None of these candidates,Yes,No,Female,Hispanic/Latino,40-44,Republican,Conservative,$100k-$150k,High school graduate,"Yes, I do",Yes,Strongly approve,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,Non-white female,Non-white,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,Did not graduate from college,High school graduate or less,Approve,Approve,Yes,Yes,I am (voter is member),White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Competitive,Rural Counties,Suburb,Urban,Urban Core,Very upscale,89123.0
5108.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.529792368412018,John Ensign (Rep),Jim Gibbons (Rep),No,No,Male,White,75 or over,Republican,Conservative,,Postgraduate study,No one does,No,Somewhat approve,Strongly disapprove,Not at all important,Not at all important,Somewhat important,Somewhat important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,,,College graduate,At least some college,Approve,Disapprove,No,No,No (no union member in household),White,English,"Cities over 500,000","Cities over 50,000",3.0,Competitive,Rural Counties,High Density Urban,Urban,Urban Core,Very upscale,89117.0
5109.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.646932065486908,John Ensign (Rep),None of these candidates,Did not vote,No,Female,White,30-39,Something else,Conservative,,Some college or associate degree,"Yes, I do",No,Somewhat approve,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada in the last four years,Strongly disapprove,Disapprove,White female,White female,30-44,30-39,18-64,30-59,Independent/Something else,,,Did not graduate from college,At least some college,Approve,Approve,Yes,Yes,I am (voter is member),White,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Downscale,89015.0
5110.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.835835874080658,Jack Carter (Dem),Dina Titus (Dem),Yes,Yes,Female,Hispanic/Latino,25-29,Something else,Conservative,$15k-$30k,High school graduate,"Yes, someone else does",Yes,Somewhat disapprove,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Somewhat important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Strongly disapprove,Disapprove,Non-white female,Non-white,18-29,25-29,18-64,18-29,Independent/Something else,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,Yes,No,"Else in HH (member in household, but not voter",Hispanic/Latino,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,High Density Urban,80s Suburbs,Urban Perimeter,Downscale,89103.0
5111.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.456720679998398,Jack Carter (Dem),Dina Titus (Dem),Yes,Yes,Male,White,75 or over,Democratic,Moderate,$50k-$75k,College graduate,No one does,No,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Somewhat important,Somewhat important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Strongly approve,Approve,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,High Density Urban,80s Suburbs,Urban Perimeter,Downscale,89103.0
5112.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.412215173244476,John Ensign (Rep),Dina Titus (Dem),Yes,No,Female,White,50-59,Republican,Conservative,$30k-$50k,High school graduate,"Yes, I do",No,Strongly disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,White female,White female,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Did not graduate from college,High school graduate or less,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,English,"Cities over 500,000","Cities over 50,000",3.0,Competitive,Rural Counties,High Density Urban,Urban,Urban Core,Downscale,89110.0
5113.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.584080934524536,Jack Carter (Dem),Dina Titus (Dem),Yes,Yes,Male,White,50-59,Independent,Moderate,$150k-$200k,College graduate,"Yes, I do",No,Strongly disapprove,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Somewhat important,Less safe from terrorism,I moved to Nevada five to 10 years ago,Somewhat approve,Approve,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,English,"Cities 50,000-500,000","Cities over 50,000",3.0,Competitive,Rural Counties,Suburb,Urban,Urban Core,Very upscale,89123.0
5114.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.584080934524536,Jack Carter (Dem),Dina Titus (Dem),Yes,Yes,Male,White,50-59,Independent,,$50k-$75k,College graduate,"Yes, I do",No,Strongly disapprove,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Extremely important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat disapprove,Disapprove,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,College graduate,At least some college,Disapprove,Disapprove,Yes,Yes,I am (voter is member),White,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Downscale,89015.0
5115.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.60454678535461,,Dina Titus (Dem),Yes,No,Female,Black,50-59,Democratic,Moderate,$30k-$50k,College graduate,No one does,No,Somewhat approve,Somewhat approve,Extremely important,Extremely important,Somewhat important,Somewhat important,Safer from terrorism,I moved to Nevada in the last four years,Somewhat disapprove,Disapprove,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,College graduate,At least some college,Approve,Approve,No,No,No (no union member in household),Black,English,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,Rural Counties,Suburb,Urban,Urban Core,Very upscale,89123.0
5116.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.431782424449921,John Ensign (Rep),Dina Titus (Dem),Yes,Yes,Female,,50-59,Independent,Moderate,$30k-$50k,College graduate,No one does,No,Strongly approve,No answer,Not at all important,Extremely important,Somewhat important,Extremely important,No Answer,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,,,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,College graduate,At least some college,Approve,No answer,No,No,No (no union member in household),,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,89014.0
5117.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.582744419574738,Jack Carter (Dem),Dina Titus (Dem),Yes,No,Female,Black,65-74,Democratic,Moderate,$30k-$50k,Some college or associate degree,No one does,No,Strongly disapprove,Strongly disapprove,Not at all important,Somewhat important,Extremely important,Extremely important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat approve,Approve,Non-white female,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Did not graduate from college,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),Black,English,Suburbs,Suburbs,3.0,Competitive,Rural Counties,High Density Urban,80s Suburbs,Urban Perimeter,Downscale,89103.0
5118.0,Nevada,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.530874490737915,John Ensign (Rep),None of these candidates,Yes,Yes,Male,White,40-44,Republican,Moderate,$200k or more,Postgraduate study,No one does,No,Somewhat disapprove,Somewhat disapprove,Somewhat important,Somewhat important,Extremely important,Not at all important,Less safe from terrorism,I moved to Nevada more than 10 years ago,Somewhat disapprove,Disapprove,White male,White male,30-44,40-49,18-64,30-59,Republican,$50k or more,$100k or more,College graduate,At least some college,Disapprove,Disapprove,No,No,No (no union member in household),White,English,"Cities over 500,000","Cities over 50,000",3.0,Competitive,Rural Counties,High Density Urban,Urban,Urban Core,Very upscale,89117.0
