ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMI06,GOVMI06,PROPBMI,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,UNION4,CHILD,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPVALUES,IMPHEALTHS,JOBSIT2,STECMI,STEC2,TIMESEN,TIMESEN3D,TIMESENWK,FALLBHND,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,MOMS,PARENTS,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
1618.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.27807480096817,Debbie Stabenow (Dem),Jennifer Granholm (Dem),No,Female,White,75 or over,Democratic,Liberal,$30k-$50k,None,A few time a year,No,High school graduate,No one does,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Somewhat important,Extremely important,Not at all important,Extremely important,Worse today,Poor,Not so good/Poor,,,,No Answer,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,None,White None,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others, Women without children,White,Rural,Small Cities/Rural,1.0,Strong Democratic,North/Northeast,Low Density Rural,Rural,Rural,Very downscale,48750.0
1619.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.424652993679047,Debbie Stabenow (Dem),Jennifer Granholm (Dem),No,Female,White,75 or over,Democratic,Conservative,,Catholic,Once a week,No,Postgraduate study,No one does,No,Strongly disapprove,No answer,Strongly approve,Extremely important,Extremely important,Extremely important,Not at all important,Extremely important,Worse today,Not so good,Not so good/Poor,,,,No Answer,To express opposition to George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,,,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,College graduate,At least some college,Disapprove,No answer,Approve,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,11.0,Strong Republican,Suburban Oakland & Macomb Counties,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48390.0
1620.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.432393074035645,Debbie Stabenow (Dem),Jennifer Granholm (Dem),,Female,White,65-74,Democratic,,$30k-$50k,Protestant,More than once a week,Yes,Did not complete high school,No one does,No,Strongly disapprove,No answer,Strongly disapprove,No answer,Extremely important,Extremely important,Extremely important,Extremely important,Worse today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,No answer,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,No answer,Disapprove,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,6.0,Strong Republican,Southwest,Low Density Rural,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,49101.0
1621.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.248486697673798,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Female,White,65-74,Republican,Conservative,$100k-$150k,Protestant,A few times a month,No,College graduate,No one does,No,Somewhat approve,Maintain the same number of troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,About the same,Poor,Not so good/Poor,,,,Are falling behind financially,To express support for George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,6.0,Strong Republican,Southwest,Suburb,80s Suburbs,Urban Perimeter,Very upscale,49009.0
1622.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.528050124645233,Michael Bouchard (Rep),Jennifer Granholm (Dem),Did not vote,Male,White,65-74,Independent,Moderate,$30k-$50k,Protestant,Once a week,Yes,High school graduate,No one does,No,Somewhat approve,Send more troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Not at all important,Very important,About the same,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,Men without children,White,Rural,Small Cities/Rural,2.0,Strong Republican,North/Northeast,Extremely Low Density Rural,Rural,Rural,Very downscale,49304.0
1623.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.14222037792206,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Female,White,45-49,Republican,Conservative,$30k-$50k,Catholic,More than once a week,Yes,College graduate,"Yes, I do",Yes,Strongly approve,Maintain the same number of troops,Strongly approve,No answer,Somewhat important,Somewhat important,Extremely important,Very important,Worse today,Good,Excellent/Good,,,,Are getting ahead financially,George W Bush was not a factor,White female,White female,45-59,40-49,18-64,30-59,Republican,Less than $50k,Less than $100k,Catholic,White Catholic,All others,White Evangelical Born Again Christians,Weekly,Catholic/Attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,Yes,Yes,I am (voter is member),Women with children,Women with children,White,Suburbs,Suburbs,4.0,Strong Republican,University Belt,Suburb,70s Suburbs,Urban Perimeter,Very upscale,48603.0
1624.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.844839334487915,,Jennifer Granholm (Dem),Yes,Female,White,40-44,Independent,Moderate,Under $15k,Catholic,A few time a year,No,College graduate,No one does,No,Somewhat disapprove,Withdraw some troops,Somewhat approve,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Worse today,Not so good,Not so good/Poor,,,,Are falling behind financially,George W Bush was not a factor,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Approve,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,11.0,Strong Republican,Suburban Oakland & Macomb Counties,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48390.0
1625.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.324080914258957,Michael Bouchard (Rep),Dick DeVos (Rep),No,Female,,45-49,Republican,Conservative,,None,A few times a month,No,Some college or associate degree,No one does,Yes,Strongly approve,Maintain the same number of troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Worse today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,,,45-59,40-49,18-64,30-59,Republican,,,None,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),Women with children,Women with children,,Suburbs,Suburbs,10.0,Strong Republican,Suburban Oakland & Macomb Counties,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,48314.0
1626.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.533861994743347,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Female,White,40-44,Something else,Moderate,Under $15k,Catholic,A few times a month,No,High school graduate,No one does,Yes,Somewhat disapprove,Withdraw all troops,Strongly disapprove,Not at all important,Extremely important,Somewhat important,Not at all important,Extremely important,Worse today,Poor,Not so good/Poor,,,,Are falling behind financially,George W Bush was not a factor,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),Women with children,Women with children,White,Rural,Small Cities/Rural,4.0,Strong Republican,North/Northeast,Extremely Low Density Rural,Rural,Rural,Very downscale,48656.0
1627.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.347016155719757,Michael Bouchard (Rep),Dick DeVos (Rep),No,Female,White,75 or over,Republican,Moderate,,Protestant,Once a week,No,High school graduate,No one does,No,Strongly approve,Send more troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Very important,Better today,Good,Excellent/Good,,,,Are getting ahead financially,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,,,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others, Women without children,White,"Cities 50,000-500,000","Cities over 50,000",3.0,Strong Republican,Southwest,Suburb,Urban,Urban Core,Downscale,49504.0
1628.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.330849528312683,Other,Dick DeVos (Rep),Did not vote,Female,White,65-74,Independent,Moderate,,Protestant,Once a week,Yes,Postgraduate study,"Yes, I do",No,Somewhat approve,Send more troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Very important,Worse today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,Yes,Yes,I am (voter is member),All others, Women without children,White,"Cities 50,000-500,000","Cities over 50,000",3.0,Strong Republican,Southwest,Suburb,Urban,Urban Core,Downscale,49504.0
1629.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.157872885465622,Debbie Stabenow (Dem),Jennifer Granholm (Dem),No,Male,Black,75 or over,Democratic,Conservative,,Something else,A few time a year,Yes,High school graduate,"Yes, I do",No,Strongly disapprove,Send more troops,Strongly disapprove,Extremely important,Extremely important,Somewhat important,Somewhat important,Extremely important,Worse today,Poor,Not so good/Poor,,,,Are falling behind financially,To express opposition to George W Bush,Non-white male,Non-white,60 or over,65 or over,65 or over,60 or over,Democratic,,,Something else,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Same number or more troops,Disapprove,Yes,Yes,I am (voter is member),All others,Men without children,Black,Suburbs,Suburbs,12.0,Strong Democratic,Suburban Oakland & Macomb Counties,High Density Urban,60s Suburbs,Urban Perimeter,Very upscale,48067.0
1630.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.98785471916199,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Male,White,30-39,Republican,Moderate,$30k-$50k,Other Christian,Once a week,No,Some college or associate degree,No one does,Yes,Somewhat approve,Withdraw some troops,Somewhat approve,Somewhat important,Somewhat important,Extremely important,Somewhat important,Very important,Worse today,Poor,Not so good/Poor,,,,No Answer,George W Bush was not a factor,White male,White male,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,All others,Did not graduate from college,At least some college,Approve,Withdraw all or some troops,Approve,No,No,No (no union member in household),All others,Men with children,White,"Cities 50,000-500,000","Cities over 50,000",12.0,Strong Democratic,Suburban Oakland & Macomb Counties,High Density Urban,Urban,Urban Core,Very downscale,48091.0
1631.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.333443254232407,Debbie Stabenow (Dem),Jennifer Granholm (Dem),No,Female,White,65-74,Democratic,Liberal,$30k-$50k,Protestant,A few time a year,No,High school graduate,"Yes, I do and someone else does",No,Strongly disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Not at all important,Somewhat important,Not at all important,Very important,Worse today,Poor,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,Protestant/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),All others, Women without children,White,Suburbs,Suburbs,8.0,Strong Republican,University Belt,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,48843.0
1632.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.357976227998734,Michael Bouchard (Rep),Dick DeVos (Rep),Did not vote,Female,White,65-74,Republican,,Under $15k,Protestant,Once a week,Yes,High school graduate,No one does,No,Somewhat disapprove,Withdraw all troops,No answer,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Worse today,Poor,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,No answer,No,No,No (no union member in household),All others, Women without children,White,"Cities 50,000-500,000","Cities over 50,000",12.0,Strong Democratic,Suburban Oakland & Macomb Counties,High Density Urban,Urban,Urban Core,Very downscale,48091.0
1633.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.276705265045166,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Female,White,75 or over,Republican,Moderate,Under $15k,Other Christian,More than once a week,Yes,High school graduate,No one does,No,Strongly approve,Withdraw all troops,Somewhat disapprove,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,No Answer,No Answer,No Answer,,,,Have just enough money to maintain your standard of living,To express support for George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,7.0,Strong Republican,University Belt,Suburb,60s Suburbs,Urban Perimeter,Downscale,49203.0
1634.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.5155702829361,Michael Bouchard (Rep),Dick DeVos (Rep),Yes,Male,White,75 or over,Republican,Conservative,$50k-$75k,Protestant,A few time a year,No,College graduate,No one does,No,Strongly approve,Maintain the same number of troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Better today,Poor,Not so good/Poor,,,,Are getting ahead financially,George W Bush was not a factor,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,Men without children,White,Suburbs,Suburbs,9.0,Strong Republican,Suburban Oakland & Macomb Counties,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,48327.0
1635.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.685318350791931,,Did not vote,No,Male,White,75 or over,,Moderate,,Protestant,Once a week,Yes,Some college or associate degree,No one does,No,Somewhat disapprove,Withdraw all troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Worse today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,No answer,White male,White male,60 or over,65 or over,65 or over,60 or over,,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Approve,No,No,No (no union member in household),All others,Men without children,White,Rural,Small Cities/Rural,1.0,Strong Democratic,North/Northeast,Extremely Low Density Rural,Rural,Rural,Very downscale,49659.0
1636.0, Michigan,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.346147656440735,Michael Bouchard (Rep),Jennifer Granholm (Dem),No,Female,White,75 or over,Republican,Moderate,$15k-$30k,Protestant,Once a week,No,Some college or associate degree,No one does,No,Somewhat approve,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Worse today,Not so good,Not so good/Poor,,,,Have just enough money to maintain your standard of living,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestant/Attend weekly,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others, Women without children,White,Suburbs,Suburbs,11.0,Strong Republican,Suburban Oakland & Macomb Counties,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,48178.0
