ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENMO06,AMEND2MO,PROPBMO,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,UNION4,MARRIED,CHILD,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPVALUES,ABORTION,ABORT2,TIMESEN,TIMESEN3D,TIMESENWK,FALLBHND,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,UNIONHH,UNIONVOT,UNIONMEM,WOMENWED,MOMS,MARCHILD,MARRIEDMOM,PARENTS,SEXWED,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
8356.0,Missouri,106.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.04262804985046,Jim Talent (Rep),Yes,No,Female,,65-74,,,,,,,,No one does,Yes,No,Strongly approve,,,,,,,Legal in most cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,,To express support for George W Bush,,,60 or over,65 or over,65 or over,60 or over,,,,,,,,,,,,Approve,,,No,No,No (no union member in household),Married women,All others,All others,Other women, Women without children,Married women,,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63146.0
8397.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.461784899234772,Claire McCaskill (Dem),No,Yes,Female,Black,25-29,Democratic,Liberal,Under $15k,Catholic,Never,No,Did not complete high school,No one does,No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Not at all important,Somewhat important,Extremely important,Extremely important,Legal in most cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Are falling behind financially,George W Bush was not a factor,Non-white female,Non-white,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,Catholic,Non-White,All others,All others,Never,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale,63107.0
8431.0,Missouri,106.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.13653218746185,Jim Talent (Rep),No,No,Female,White,50-59,Republican,Moderate,$15k-$30k,Protestant,A few time a year,No,College graduate,No one does,No,No,Strongly approve,Maintain the same number of troops,Strongly approve,Somewhat important,Somewhat important,Extremely important,Not at all important,Illegal in most cases,Illegal in most/all cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63146.0
8440.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.416354835033417,Did not vote,No,Yes,Male,White,50-59,Independent,Liberal,$30k-$50k,Something else,More than once a week,Yes,High school graduate,"Yes, I do",Yes,No,Somewhat disapprove,Maintain the same number of troops,Somewhat approve,Extremely important,Extremely important,Extremely important,Extremely important,Legal in most cases,Legal in all/most cases,No answer,No answer,No answer,Have just enough money to maintain your standard of living,No answer,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,Less than $50k,Less than $100k,Something else,White Something else,All others,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,High school graduate or less,Disapprove,Same number or more troops,Approve,Yes,Yes,I am (voter is member),All others,All others,All others,All men,Men without children,Married men,White,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale,63107.0
8493.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.515338480472565,Jim Talent (Rep),No,Yes,Male,Black,18-24,Democratic,Conservative,Under $15k,Other Christian,Once a week,,Postgraduate study,No one does,No,Yes,Strongly disapprove,Withdraw some troops,Strongly disapprove,Not at all important,Extremely important,Extremely important,Extremely important,Legal in most cases,Legal in all/most cases, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,George W Bush was not a factor,Non-white male,Non-white,18-29,18-24,18-64,18-29,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Weekly,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,All others,All men,Men with children,Single men,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale,63107.0
8496.0,Missouri,106.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.0217399597168,Jim Talent (Rep),Yes,No,Male,White,40-44,Republican,Conservative,,Catholic,No answer,No,College graduate,No one does,Yes,Yes,Somewhat approve,Maintain the same number of troops,Somewhat approve,Somewhat important,Extremely important,Somewhat important,Not at all important,Illegal in most cases,Illegal in most/all cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,George W Bush was not a factor,White male,White male,30-44,40-49,18-64,30-59,Republican,,,Catholic,White Catholic,All others,All others,No answer,Catholic/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,White,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63146.0
8543.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.411101251840591,Claire McCaskill (Dem),Yes,Yes,Female,Black,18-24,Democratic,Moderate,$75k-$100k,Other Christian,A few times a month,Yes,College graduate,No one does,No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Legal in most cases,Legal in all/most cases,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,Are getting ahead financially,To express opposition to George W Bush,Non-white female,Non-white,18-29,18-24,18-64,18-29,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale,63107.0
8573.0,Missouri,106.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.20202660560608,Jim Talent (Rep),No,Yes,Male,Black,40-44,Independent,Conservative,$75k-$100k,Other Christian,Once a week,Yes,College graduate,No one does,Yes,Yes,Somewhat approve,Withdraw all troops,No answer,Somewhat important,Not at all important,Somewhat important,Extremely important,Illegal in all cases,Illegal in most/all cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Are getting ahead financially,George W Bush was not a factor,Non-white male,Non-white,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Weekly,All others,College graduate,At least some college,Approve,Withdraw all or some troops,No answer,No,No,No (no union member in household),All others,All others,Married with children,All men,Men with children,Married men,Black,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63146.0
8584.0,Missouri,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.868151009082794,Claire McCaskill (Dem),Yes,Yes,Male,Black,50-59,Democratic,Moderate,$50k-$75k,None,A few time a year,No,High school graduate,,Yes,No,Somewhat disapprove,Withdraw some troops,Somewhat disapprove,Extremely important,Extremely important,Extremely important,Somewhat important,Legal in most cases,Legal in all/most cases, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,To express opposition to George W Bush,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,None,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,,,,All others,All others,All others,All men,Men without children,Married men,Black,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Kansas City Area,Suburb,Urban,Urban Core,Downscale,64507.0
8586.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.415143638849258,Claire McCaskill (Dem),Yes,Yes,Male,Black,25-29,Democratic,Liberal,$15k-$30k,None,Never,Yes,High school graduate,No one does,No,No,Somewhat disapprove,Send more troops,Strongly approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Legal in all cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Are getting ahead financially,To express opposition to George W Bush,Non-white male,Non-white,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,None,Non-White,All others,All others,Never,All others,Did not graduate from college,High school graduate or less,Disapprove,Same number or more troops,Approve,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Single men,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale,63107.0
8590.0,Missouri,127.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.33322739601135,Claire McCaskill (Dem),,Yes,Female,Black,60-64,Democratic,Moderate,$50k-$75k,Other Christian,A few times a month,No,Some college or associate degree,No one does,No,Yes,Strongly disapprove,Withdraw some troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Legal in most cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,To express opposition to George W Bush,Non-white female,Non-white,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,Women with children,All others,Other women,Women with children,Single women,Black,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,High Density Urban,60s Suburbs,Urban Perimeter,Upscale,63121.0
8625.0,Missouri,119.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,0.802431285381317,Claire McCaskill (Dem),Yes,Yes,Female,,30-39,,,,,,,,"Yes, someone else does",Yes,Yes,Strongly disapprove,,,,,,,Legal in most cases,Legal in all/most cases, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,,To express opposition to George W Bush,,,30-44,30-39,18-64,30-59,,,,,,,,,,,,Disapprove,,,Yes,No,"Else in HH (member in household, but not voter",Married women,Women with children,Married with children,Married women with children,Women with children,Married women,,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63031.0
8634.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.358351141214371,Claire McCaskill (Dem),Yes,Yes,Female,Black,50-59,Democratic,Conservative,$30k-$50k,Other Christian,Once a week,No,Some college or associate degree,"Yes, I do",No,No,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Illegal in most cases,Illegal in most/all cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,George W Bush was not a factor,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,Yes,I am (voter is member),All others,All others,All others,Other women, Women without children,Single women,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale,63107.0
8641.0,Missouri,25.0,National questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.19173812866211,Jim Talent (Rep),No,No,Female,,50-59,Republican,Conservative,$15k-$30k,Protestant,A few time a year,Yes,,,Yes,No,Somewhat approve,Maintain the same number of troops,Strongly approve,,,,,,,,,,,,,,45-59,50-64,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,Protestant/Do not attend weekly,,,Approve,Same number or more troops,Approve,,,,Married women,All others,All others,Other women, Women without children,Married women,,Suburbs,Suburbs,7.0,Strong Republican,Southwest,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,65720.0
8646.0,Missouri,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.961188554763794,Claire McCaskill (Dem),Yes,Yes,Male,White,25-29,Democratic,Liberal,$75k-$100k,Other Christian,A few time a year,No,College graduate,"Yes, someone else does",Yes,Yes,Strongly disapprove,Withdraw some troops,Strongly disapprove,Somewhat important,Somewhat important,Extremely important,Not at all important,Legal in most cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,George W Bush was not a factor,White male,White male,18-29,25-29,18-64,18-29,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,Yes,No,"Else in HH (member in household, but not voter",All others,All others,Married with children,All men,Men with children,Married men,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Kansas City Area,Suburb,Urban,Urban Core,Downscale,64507.0
8649.0,Missouri,106.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.03952419757843,Claire McCaskill (Dem),No,Yes,Female,White,50-59,Democratic,Moderate,$50k-$75k,Catholic,More than once a week,No,Postgraduate study,No one does,No,No,Somewhat disapprove,No answer,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,Illegal in all cases,Illegal in most/all cases,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,Have just enough money to maintain your standard of living,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,All others,All others,Weekly,Catholic/Attend weekly,College graduate,At least some college,Disapprove,No answer,Approve,No,No,No (no union member in household),All others,All others,All others,Other women, Women without children,Single women,White,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63146.0
8679.0,Missouri,135.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.358351141214371,Claire McCaskill (Dem),Yes,Yes,Female,Black,50-59,Democratic,Moderate,Under $15k,Other Christian,A few times a month,No,High school graduate,No one does,No,Yes,Strongly disapprove,Withdraw some troops,Strongly approve,Not at all important,Extremely important,Extremely important,Somewhat important,Legal in all cases,Legal in all/most cases,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Are falling behind financially,To express opposition to George W Bush,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Approve,No,No,No (no union member in household),All others,Women with children,All others,Other women,Women with children,Single women,Black,"Cities 50,000-500,000","Cities over 50,000",1.0,Strong Democratic,St. Louis City,Suburb,Urban,Urban Core,Very downscale,63107.0
8700.0,Missouri,59.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.837854444980621,Claire McCaskill (Dem),Yes,Yes,Male,White,50-59,Independent,Moderate,$150k-$200k,Protestant,A few time a year,Yes,College graduate,,Yes,Yes,Strongly disapprove,Withdraw all troops,Somewhat disapprove,Extremely important,Somewhat important,Extremely important,Not at all important,Legal in most cases,Legal in all/most cases, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Have just enough money to maintain your standard of living,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,,,,All others,All others,Married with children,All men,Men with children,Married men,White,"Cities 50,000-500,000","Cities over 50,000",5.0,Strong Democratic,Kansas City Area,Suburb,Urban,Urban Core,Downscale,64507.0
8704.0,Missouri,119.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.934529960155487,Claire McCaskill (Dem),Yes,Yes,Male,White,50-59,Something else,Moderate,$75k-$100k,Catholic,A few time a year,No,High school graduate,No one does,Yes,No,Somewhat disapprove,Withdraw some troops,Somewhat disapprove,Somewhat important,Extremely important,Somewhat important,Not at all important,Legal in most cases,Legal in all/most cases,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Are getting ahead financially,George W Bush was not a factor,White male,White male,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,No,No,No (no union member in household),All others,All others,All others,All men,Men without children,Married men,White,Suburbs,Suburbs,1.0,Strong Democratic,St. Louis Suburb,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,63031.0
