ID,WEIGHT,IADPRS20,BACKSIDE,CALL,CDNUM,DEMVOTE2016C,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,GEOCODE,IAPARTYID,ISSDEM20CAU,LATINO,PARTY,PARTYGENDER,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVCAUCDEM,QRACE4,QTYPE,RACE2B,RACEIA,REGION,SANDVOTE20162020,SEX,SEXBYRACE,SINGLEPAYER20,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIMEIA20,TIMEPRIFEWDAYS,TIMEPRIYEAR,TWITTER,VERSION,WINORISS20,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,ZIPCODE
27681.0,0.803641080856323,Bernie Sanders,Complete,Call 1,1.0,Bernie Sanders,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,1.0,Independent,Income inequality,No,Independent/Something else,,Very liberal,Liberal,Liberal,92.0,"Yes, I attended a caucus before",,State questionnaire,,,Midwest,Supported Sanders in 2016 and 2020,,,Support,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,50158.0
27682.0,0.677740514278412,Bernie Sanders,Complete,Call 1,3.0,Hillary Clinton,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,3.0,Democrat,Health care,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,123.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,50327.0
27683.0,0.562860131263733,Bernie Sanders,Complete,Call 1,1.0,Bernie Sanders,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Independent,Omit,No,Independent/Something else,Independent women,Somewhat liberal,Liberal,Liberal,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 and 2020,Female,White women,Omit,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,52002.0
27684.0,1.04016697406769,Joe Biden,Complete,Call 1,3.0,Hillary Clinton,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,3.0,Democrat,Income inequality,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,123.0,"No, this is my first caucus",Black,State questionnaire,Non-white,Black,Midwest,Supported Clinton in 2016,Female,Black women,Oppose,Suburbs,Suburbs, Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50327.0
27685.0,0.823319792747498,Joe Biden,Complete,Call 1,1.0,Neither of these candidates,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Health care,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,92.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported neither of them in 2016,Female,White women,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,Just today,Last few days,Since January 1st,Yes,Version 1,Agrees with you on major issues,17-29,17-29,17-24,17-44,17-49,17-29,17-24,50158.0
27686.0,0.695663809776306,Bernie Sanders,Complete,Call 1,3.0,Hillary Clinton,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Something else,Income inequality,No,Independent/Something else,Independent women,Somewhat liberal,Liberal,Liberal,123.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,50327.0
27687.0,0.114793531596661,Uncommitted,Complete,Call 1,1.0,Bernie Sanders,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Democrat,Climate change,No,Democrat,Democratic men,Very liberal,Liberal,Liberal,45.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 but not in 2020,Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Just today,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,52002.0
27688.0,0.789018869400024,Pete Buttigieg,Complete,Call 1,3.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Climate change,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,123.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50327.0
27689.0,0.690201938152313,Elizabeth Warren,Complete,Call 1,1.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Income inequality,No,Democrat,Democratic women,Very liberal,Liberal,Liberal,92.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,Yes,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50158.0
27690.0,0.728698253631592,Pete Buttigieg,Complete,Call 1,1.0,Hillary Clinton,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Health care,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,92.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Agrees with you on major issues,65+,60+,65 or over,45+,50+,60+,65+,50158.0
27691.0,0.787490665912628,Pete Buttigieg,Complete,Call 1,3.0,Hillary Clinton,Associate's degree (AA or AS),No college degree,More than high school graduate,,,3.0,Democrat,Climate change,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,123.0,"No, this is my first caucus",,State questionnaire,,,Midwest,Supported Clinton in 2016,Female,,Support,Suburbs,Suburbs, Iowa,,Election day exit poll,Before that,Earlier than that,Before January 1st,Yes,Version 1,Can beat Donald Trump,17-29,17-29,17-24,17-44,17-49,17-29,17-24,50327.0
27692.0,2.51389122009277,Joe Biden,Complete,Call 1,4.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,4.0,Democrat,Foreign policy,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,142.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,Omit,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,50010.0
27693.0,0.934189438819885,Elizabeth Warren,Complete,Call 1,3.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,3.0,Democrat,Income inequality,No,Democrat,Democratic men,Somewhat liberal,Liberal,Liberal,123.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Support,Suburbs,Suburbs, Iowa,White suburban men,Election day exit poll,Before that,Earlier than that,Before January 1st,Yes,Version 1,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,50327.0
27694.0,0.785021424293518,Tom Steyer,Complete,Call 1,1.0,Neither of these candidates,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,1.0,Democrat,Climate change,No,Democrat,Democratic men,Moderate,Moderate or Conservative,Moderate,92.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported neither of them in 2016,Male,White men,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50158.0
27695.0,0.835114181041718,Elizabeth Warren,Complete,Call 1,3.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Health care,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,123.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,50327.0
27696.0,0.726946473121643,Pete Buttigieg,Complete,Call 1,3.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Foreign policy,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Just today,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50310.0
27697.0,0.794146955013275,Pete Buttigieg,Complete,Call 1,1.0,Hillary Clinton,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,1.0,Democrat,Health care,No,Democrat,Democratic men,Moderate,Moderate or Conservative,Moderate,92.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,In the last few days,Last few days,Since January 1st,No,Version 1,Omit,65+,60+,65 or over,45+,50+,60+,65+,50158.0
27698.0,1.20371758937836,Joe Biden,Complete,Call 1,3.0,Hillary Clinton,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,3.0,Democrat,Income inequality,No,Democrat,Democratic men,Moderate,Moderate or Conservative,Moderate,123.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Oppose,Suburbs,Suburbs, Iowa,White suburban men,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,50327.0
27699.0,0.991403698921204,Joe Biden,Complete,Call 1,3.0,Hillary Clinton,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Foreign policy,No,Democrat,Democratic women,Very liberal,Liberal,Liberal,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50310.0
27700.0,0.147817879915237,Uncommitted,Complete,Call 1,3.0,Bernie Sanders,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Health care,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 but not in 2020,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Omit,Omit,Omit,No,Version 1,Omit,65+,60+,65 or over,45+,50+,60+,65+,50310.0
27701.0,1.39619016647339,Amy Klobuchar,Complete,Call 1,3.0,Hillary Clinton,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,3.0,Democrat,Income inequality,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,123.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,50327.0
27702.0,0.727104544639587,Elizabeth Warren,Complete,Call 1,1.0,Hillary Clinton,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,1.0,Democrat,Omit,No,Democrat,Democratic men,Very liberal,Liberal,Liberal,92.0,"No, this is my first caucus",Black,State questionnaire,Non-white,Black,Midwest,Supported Clinton in 2016,Male,Black men,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,In the last few days,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50158.0
27703.0,1.10902059078217,Joe Biden,Complete,Call 1,3.0,Hillary Clinton,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,3.0,Democrat,Foreign policy,,Democrat,Democratic men,Very liberal,Liberal,Liberal,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,30-44,30-59,30-39,17-44,17-49,30-44,30-39,50310.0
27704.0,0.758145451545715,Bernie Sanders,Complete,Call 1,3.0,Bernie Sanders,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,3.0,Independent,Health care,No,Independent/Something else,Independent men,Very liberal,Liberal,Liberal,123.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 and 2020,Male,White men,Support,Suburbs,Suburbs, Iowa,White suburban men,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,50327.0
27705.0,0.747969150543213,Pete Buttigieg,Complete,Call 1,1.0,Bernie Sanders,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Climate change,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,92.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 but not in 2020,Female,White women,Support,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,50158.0
27706.0,0.792237818241119,Pete Buttigieg,Complete,Call 1,3.0,Hillary Clinton,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,3.0,Democrat,Foreign policy,No,Democrat,Democratic men,Moderate,Moderate or Conservative,Moderate,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,In the last few days,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,45-65,60+,60-64,45+,50+,60+,50-64,50310.0
27707.0,1.35238885879517,Other,Complete,Call 1,3.0,Neither of these candidates,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Climate change,No,Democrat,Democratic women,Very liberal,Liberal,Liberal,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported neither of them in 2016,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50310.0
27708.0,1.002161860466,Amy Klobuchar,Complete,Call 1,1.0,Omit,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Omit,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,92.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Omit,Female,White women,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,In the last few days,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50158.0
27709.0,0.813189029693604,Pete Buttigieg,Complete,Call 1,3.0,Hillary Clinton,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,3.0,Democrat,Health care,No,Democrat,Democratic men,Moderate,Moderate or Conservative,Moderate,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Agrees with you on major issues,45-65,30-59,50-59,45+,50+,45-59,50-64,50310.0
27710.0,1.002161860466,Amy Klobuchar,Complete,Call 1,1.0,Omit,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Democrat,Omit,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,92.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Omit,Female,White women,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,In the last few days,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,65+,60+,65 or over,45+,50+,60+,65+,50158.0
27711.0,0.68442964553833,Andrew Yang,Complete,Call 1,3.0,Hillary Clinton,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Health care,No,Democrat,Democratic women,Somewhat liberal,Liberal,Liberal,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Support,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,In January,Earlier than that,Since January 1st,No,Version 1,Agrees with you on major issues,30-44,30-59,30-39,17-44,17-49,30-44,30-39,50310.0
27712.0,1.32036960124969,Amy Klobuchar,Complete,Call 1,3.0,Hillary Clinton,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,3.0,Democrat,Omit,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,In the last few days,Last few days,Since January 1st,No,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,50310.0
27713.0,0.746170997619629,Pete Buttigieg,Complete,Call 1,3.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,3.0,Democrat,Foreign policy,No,Democrat,Democratic women,Moderate,Moderate or Conservative,Moderate,109.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Female,White women,Oppose,"Cities 50,000-500,000","Cities over 50,000", Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,Yes,Version 1,Can beat Donald Trump,45-65,30-59,45-49,45+,17-49,45-59,40-49,50310.0
27714.0,0.942253232002258,Bernie Sanders,Complete,Call 1,1.0,Bernie Sanders,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,1.0,Independent,Health care,,Independent/Something else,Independent women,Very liberal,Liberal,Liberal,83.0,"Yes, I attended a caucus before",White,State questionnaire,White,White,Midwest,Supported Sanders in 2016 and 2020,Female,White women,Support,Suburbs,Suburbs, Iowa,White suburban women,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,17-29,17-29,25-29,17-44,17-49,17-29,25-29,52302.0
27715.0,0.487498641014099,Joe Biden,Complete,Call 1,4.0,Hillary Clinton,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,4.0,Democrat,Foreign policy,No,Democrat,Democratic men,Somewhat liberal,Liberal,Liberal,2.0,"No, this is my first caucus",White,State questionnaire,White,White,Midwest,Supported Clinton in 2016,Male,White men,Oppose,Rural,Small Cities/Rural, Iowa,Other,Election day exit poll,Before that,Earlier than that,Before January 1st,No,Version 1,Can beat Donald Trump,45-65,30-59,50-59,45+,50+,45-59,50-64,50076.0
