ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,FLRPRS12,SEX,QRACEAI,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,CUBAN3,ABORTION,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,GINGCONSRV,ROMNCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATGING,SATROMN,SATSANT,TEAPARTY,TIMESC12,UNDERREP12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BREAKFACT,BREAKIMP,REL5,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,CANDSOK,FORECLOSE12,GINGPERSON,GETAHEAD,IMMPRIME,RECDEBATES12R,ROMNPERSON,UNFAIRREP12FL,QRACE3,RACE,RECDEBFACT,RECDEBIMP,SPANISHQ,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
103452.0,Florida,50078.0,Telephone Survey,Complete,Telephone survey,1.95290791988373,Mitt Romney,Male,White,65 or over,65 or over,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,No,,,,Yes,,,The economy,,,,,,,Strongly support,Before that,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,Yes,White Born-again/Evangelical Christians,,,,,,Generally unfavorable,,Offered a chance to apply for citizenship,,Generally favorable,Omit,White,White,,,English,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,Suburb,80s Suburbs,Low-Growth Suburban Perimeter,Upscale,33455.0
103453.0,Florida,50030.0,Telephone Survey,Complete,Telephone survey,1.84068238735199,Mitt Romney,Female,White,30-39,30-39,Somewhat liberal,Republican,"$50,000-$99,999",Some college/assoc. degree,No,,,,Yes,,,Illegal immigration,,,,,,,Omit,Before that,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,Omit,,Earlier than that,Earlier than that,No,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Offered a chance to apply for citizenship,,Generally favorable,Omit,White,White,,,English,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,32086.0
103454.0,Florida,50042.0,Telephone Survey,Complete,Telephone survey,1.84068238735199,Rick Santorum,Female,White,50-59,50-59,Somewhat conservative,Independent,"$100,000-$199,999",College graduate,No,,,,No,,,The economy,,,,,,,Somewhat oppose,Earlier this month,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,,Oppose,Neither,Earlier than that,In the last month,No,All others,,,,,,Generally unfavorable,,Offered a chance to apply for citizenship,,Generally favorable,Gingrich,White,White,,,English,State questionnaire,Suburbs,Suburbs,3.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,33624.0
103455.0,Florida,50099.0,Telephone Survey,Complete,Telephone survey,1.95290791988373,Mitt Romney,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,No,,,,Yes,,,The economy,,,,,,,Somewhat support,Before that,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,No,White Born-again/Evangelical Christians,,,,,,Generally unfavorable,,Offered a chance to apply for citizenship,,Generally favorable,Omit,White,White,,,English,State questionnaire,Suburbs,Suburbs,5.0,South,Version 1,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Downscale,33314.0
103456.0,Florida,50068.0,Telephone Survey,Complete,Telephone survey,3.95191955566406,Rick Santorum,Male,Hispanic/Latino,45-49,45-49,Very conservative,Something else,"$50,000-$99,999",Some college/assoc. degree,"Yes, other Hispanic",,,,Yes,,,The economy,,,,,,,Strongly support,Before that,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,No,All others,,,,,,Generally favorable,,Allowed to stay as temporary workers,,Generally favorable,Paul,Other,Hispanic/Latino,,,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 1,Low Density Rural,Urban,Urban Core,Very downscale,33993.0
103457.0,Florida,50124.0,Telephone Survey,Complete,Telephone survey,2.51156139373779,Newt Gingrich,Female,Hispanic/Latino,65 or over,65 or over,,Republican,,High school or less,"Yes, Cuban",,,,No,,,Abortion,,,,,,,Omit,Earlier this month,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,,,,,,,No college degree,High school graduate or less,,,,,Omit,,Earlier than that,In the last month,,All others,,,,,,Omit,,Offered a chance to apply for citizenship,,Generally favorable,Omit,Other,Hispanic/Latino,,,Spanish,State questionnaire,Suburbs,Suburbs,5.0,South,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,33187.0
103458.0,Florida,50035.0,Telephone Survey,Complete,Telephone survey,0.976453959941864,Mitt Romney,Male,White,65 or over,65 or over,Very conservative,Republican,"$30,000-$49,999",College graduate,No,,,,Yes,,,Federal budget deficit,,,,,,,Strongly support,Before that,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,No,White Born-again/Evangelical Christians,,,,,,Generally unfavorable,,Offered a chance to apply for citizenship,,Generally favorable,Gingrich,White,White,,,English,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Town,80s Suburbs,Urban Perimeter,Downscale,34472.0
103459.0,Florida,50022.0,Telephone Survey,Complete,Telephone survey,1.43276560306549,Mitt Romney,Female,White,45-49,45-49,Moderate,Republican,"$30,000-$49,999",College graduate,No,,,,No,,,The economy,,,,,,,Somewhat support,Before that,,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,,Support,Tea Party supporter and not born-again,Earlier than that,Earlier than that,No,All others,,,,,,Generally unfavorable,,Offered a chance to apply for citizenship,,Generally favorable,Gingrich,White,White,,,English,State questionnaire,Suburbs,Suburbs,3.0,South,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,34613.0
103460.0,Florida,50021.0,Telephone Survey,Complete,Telephone survey,1.48364722728729,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"$30,000-$49,999",Postgraduate study,No,,,,No,,,The economy,,,,,,,Neutral,Earlier this month,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,,Neutral,Neither,Earlier than that,In the last month,No,All others,,,,,,Generally favorable,,Allowed to stay as temporary workers,,Generally unfavorable,Romney,White,White,,,English,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Low Density Rural,80s Suburbs,Urban Perimeter,Very downscale,33868.0
103461.0,Florida,50063.0,Telephone Survey,Complete,Telephone survey,2.95509028434753,Newt Gingrich,Female,White,65 or over,65 or over,Somewhat conservative,Republican,"$30,000-$49,999",High school or less,No,,,,No,,,The economy,,,,,,,Neutral,Before that,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,Neutral,Neither,Earlier than that,Earlier than that,Yes,All others,,,,,,Generally unfavorable,,Offered a chance to apply for citizenship,,Generally favorable,Gingrich,White,White,,,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 1,Suburb,Urban,Urban Core,Very upscale,34209.0
103462.0,Florida,50109.0,Telephone Survey,Complete,Telephone survey,2.42286920547485,Newt Gingrich,Male,White,50-59,50-59,Somewhat conservative,Republican,"$200,000 or more",College graduate,No,,,,No,,,The economy,,,,,,,Strongly oppose,Earlier this month,,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,,Oppose,Neither,Earlier than that,In the last month,No,All others,,,,,,Omit,,Offered a chance to apply for citizenship,,Omit,Omit,White,White,,,English,State questionnaire,Suburbs,Suburbs,5.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,33410.0
103463.0,Florida,50068.0,Telephone Survey,Complete,Telephone survey,1.11273539066315,Rick Santorum,Female,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",Some college/assoc. degree,No,,,,Yes,,,The economy,,,,,,,Strongly support,Before that,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,Yes,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Offered a chance to apply for citizenship,,Omit,Omit,White,White,,,English,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,Suburb,Rural,Rural,Downscale,33901.0
103464.0,Florida,50078.0,Telephone Survey,Complete,Telephone survey,1.95290791988373,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Something else,"$30,000-$49,999",Some college/assoc. degree,No,,,,Yes,,,Federal budget deficit,,,,,,,Strongly support,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Omit,Omit,Yes,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Allowed to stay as temporary workers,,Generally favorable,Omit,White,White,,,English,State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,Low Density Rural,Rural,Rural,Very downscale,33852.0
103465.0,Florida,50104.0,Telephone Survey,Complete,Telephone survey,5.26922655105591,Newt Gingrich,Male,Hispanic/Latino,30-39,30-39,Moderate,Republican,"Under $30,000",High school or less,"Yes, Cuban",,,,Yes,,,The economy,,,,,,,Somewhat support,Earlier this month,,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,In the last month,No,All others,,,,,,Generally favorable,,Allowed to stay as temporary workers,,Generally favorable,Santorum,Other,Hispanic/Latino,,,Spanish,State questionnaire,Suburbs,Suburbs,5.0,South,Version 1,Extremely High Density Urban,70s Suburbs,Urban Perimeter,Very downscale,33012.0
103466.0,Florida,50047.0,Telephone Survey,Complete,Telephone survey,1.1548535823822,Mitt Romney,Female,White,65 or over,65 or over,Very conservative,Independent,,Some college/assoc. degree,No,,,,Yes,,,The economy,,,,,,,Somewhat support,In the last few days,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,,,,No college degree,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Last few days,In the last month,,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Allowed to stay as temporary workers,,Generally favorable,Omit,White,White,,,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,High Density Urban,Urban,Urban Core,Downscale,33756.0
103467.0,Florida,50042.0,Telephone Survey,Complete,Telephone survey,1.48364722728729,Rick Santorum,Female,White,60-64,60-64,Very conservative,Independent,,College graduate,No,,,,Yes,,,Abortion,,,,,,,Strongly support,Earlier this month,,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Very conservative,Very conservative,,,,College graduate,More than High school graduate,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,In the last month,,White Born-again/Evangelical Christians,,,,,,Generally favorable,,Omit,,Generally unfavorable,Romney,White,White,,,English,State questionnaire,Suburbs,Suburbs,3.0,South,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,34655.0
