ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,AZRPRS12,SEX,QRACEAI,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,LATINO,ABORTION,BEATOBAMAFL,BIZVPOL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,QLTREP12,RELIGN10,SHAREREL,TEAPARTY,TIMEAZ12,VOTENOV12,WORK,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIMTH,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,CAMPREP12,FAVMCCA,GETAHEAD,IMMPRIME,RACE,SPANISHQ,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
147933.0,Arizona,50020.0,Telephone Survey,Complete,Telephone survey,7.19933414459229,Newt Gingrich,Female,Hispanic/Latino,50-59,50-59,Somewhat conservative,Republican,"$50,000-$99,999",High school or less,Yes,,,,,No,,Abortion,Omit,,,Neutral,Omit,Definitely vote for the Republican nominee,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,,,,,Neutral,Neither,Omit,Omit,No,All others,,,,Omit,About the same,Unfavorable,,,Hispanic/Latino,English,State questionnaire,Suburbs,Suburbs,3.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,85350.0
147944.0,Arizona,50006.0,Telephone Survey,Complete,Telephone survey,7.05871629714966,Newt Gingrich,Male,White,30-39,30-39,Somewhat conservative,Something else,"$100,000-$199,999",College graduate,No,,,,,No,,Abortion,Can defeat Barack Obama,,,Strongly support,Before that,Definitely vote for the Republican nominee,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,,,,Support,Tea Party supporter and not born-again,Earlier than that,Earlier than that,No,All others,,,,Can defeat Barack Obama,About the same,Unfavorable,,,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,85086.0
148159.0,Arizona,50022.0,Telephone Survey,Complete,Telephone survey,6.61627864837646,Newt Gingrich,Female,White,50-59,50-59,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,No,,,,,,,Illegal immigration,Can defeat Barack Obama,,,Strongly support,Before that,Definitely vote for the Republican nominee,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,,,Support,,Earlier than that,Earlier than that,No,,,,,Can defeat Barack Obama,About the same,Favorable,,,White,English,State questionnaire,Suburbs,Suburbs,2.0,West,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Upscale,85614.0
148162.0,Arizona,50003.0,Telephone Survey,Complete,Telephone survey,6.61009931564331,Newt Gingrich,Male,White,50-59,50-59,Somewhat liberal,Republican,"$100,000-$199,999",Some college/assoc. degree,No,,,,,No,,Federal budget deficit,Is a true conservative,,,Neutral,In January,Definitely vote for the Republican nominee,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,,,,,,Neutral,Neither,Earlier than that,Earlier than that,No,All others,,,,Is a true conservative,More positive this year,Unfavorable,,,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 1,Extremely Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very downscale,85396.0
148431.0,Arizona,50015.0,Telephone Survey,Complete,Telephone survey,6.22076463699341,Newt Gingrich,Male,White,50-59,50-59,Moderate,Something else,"$100,000-$199,999",College graduate,No,Omit,Omit,Omit,,No,I like my candidate but with reservations,,,Other christian,Not at all,Strongly oppose,,,Yes,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Omit,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Oppose,Neither,,,No,All others,No,White Protestant non-evangelical,All others,,,,Falling behind financially,Deported to the country they came from,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Version 2,Suburb,Urban,Urban Core,Very upscale,85255.0
148461.0,Arizona,50003.0,Telephone Survey,Complete,Telephone survey,5.49204397201538,Newt Gingrich,Male,White,45-49,45-49,Moderate,Independent,"$50,000-$99,999",High school or less,No,Illegal in all cases,Omit,Working in business,,Yes,I like my candidate but with reservations,,,Other christian,Somewhat,Strongly support,,,No,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,,,Falling behind financially,Allowed to stay as temporary workers,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 2,Suburb,80s Suburbs,Urban Perimeter,Downscale,85338.0
148189.0,Arizona,50002.0,Telephone Survey,Complete,Telephone survey,5.49018049240112,Newt Gingrich,Male,White,45-49,45-49,Very conservative,Independent,"$100,000-$199,999",Some college/assoc. degree,No,,,,,Yes,,Federal budget deficit,Is a true conservative,,,Somewhat support,Earlier this month,Definitely vote for the Republican nominee,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,In the last month,No,White Born-again/Evangelical Christians,,,,Is a true conservative,More negative this year,Unfavorable,,,White,English,State questionnaire,Suburbs,Suburbs,3.0,West,Version 1,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,85122.0
148025.0,Arizona,50023.0,Telephone Survey,Complete,Telephone survey,5.47841787338257,Newt Gingrich,Male,White,30-39,30-39,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,No,,,,,No,,Illegal immigration,Is a true conservative,,,Strongly support,In January,Definitely vote for the Republican nominee,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,,,,Support,Tea Party supporter and not born-again,Earlier than that,Earlier than that,No,All others,,,,Is a true conservative,About the same,Unfavorable,,,White,English,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,West,Version 1,Town,Rural,Rural,Upscale,85635.0
148371.0,Arizona,50022.0,Telephone Survey,Complete,Telephone survey,5.44961214065552,Newt Gingrich,Male,American Indian,50-59,50-59,Somewhat liberal,Republican,"$100,000-$199,999",Some college/assoc. degree,Yes,Legal in most cases,Paul,Working in business,,Yes,Omit,,,Other christian,A great deal,Somewhat support,,,Yes,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Legal,Born again/Think religious values of candidate matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,All others,No,All others,All others,,,,Holding steady financially,Offered a chance to apply for citizenship,Hispanic/Latino,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,West,Version 2,High Density Urban,Urban,Urban Core,Very downscale,85705.0
148297.0,Arizona,50006.0,Telephone Survey,Complete,Telephone survey,5.43971586227417,Newt Gingrich,Male,Hispanic/Latino,30-39,30-39,Somewhat liberal,Something else,"$50,000-$99,999",High school or less,Yes,Legal in most cases,Romney,Working in government,,No,I like my candidate but with reservations,,,None,Somewhat,Neutral,,,Yes,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Legal,Not born again,,,None,A great deal or somewhat,Neutral,Neither,,,No,All others,No,All others,All others,,,,Holding steady financially,Offered a chance to apply for citizenship,Hispanic/Latino,English,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 2,High Density Urban,Urban,Urban Core,Upscale,85032.0
148469.0,Arizona,50015.0,Telephone Survey,Complete,Telephone survey,5.43342018127441,Newt Gingrich,Male,White,50-59,50-59,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,No,Illegal in all cases,Gingrich,Omit,,Yes,I like my candidate but with reservations,,,Protestant,Somewhat,Somewhat support,,,Yes,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,,,Holding steady financially,Deported to the country they came from,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,West,Version 2,Suburb,Urban,Urban Core,Very upscale,85255.0
148475.0,Arizona,50003.0,Telephone Survey,Complete,Telephone survey,4.95279979705811,Newt Gingrich,Female,Hispanic/Latino,30-39,30-39,Somewhat conservative,Republican,"$100,000-$199,999",Postgraduate study,Yes,Legal in all cases,Omit,Working in government,,No,I strongly favor my candidate,,,Catholic,Not at all,Neutral,,,Yes,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Not born again,,,Catholic,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,Working women,,,,Holding steady financially,Offered a chance to apply for citizenship,Hispanic/Latino,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 2,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Downscale,85379.0
147996.0,Arizona,50003.0,Telephone Survey,Complete,Telephone survey,4.71591377258301,Newt Gingrich,Male,White,45-49,45-49,Moderate,Something else,,Postgraduate study,No,,,,,Yes,,The economy,Can defeat Barack Obama,,,Somewhat support,In January,Probably vote for the Republican nominee,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,No,White Born-again/Evangelical Christians,,,,Can defeat Barack Obama,About the same,Favorable,,,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 1,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Downscale,85374.0
148137.0,Arizona,50003.0,Telephone Survey,Complete,Telephone survey,4.71591377258301,Newt Gingrich,Male,White,45-49,45-49,Very conservative,Republican,"$50,000-$99,999",High school or less,No,,,,,No,,The economy,Can defeat Barack Obama,,,Somewhat support,Earlier this month,Definitely vote for the Republican nominee,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,,,,,Support,Tea Party supporter and not born-again,Earlier than that,In the last month,No,All others,,,,Can defeat Barack Obama,About the same,Favorable,,,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,85308.0
148259.0,Arizona,50015.0,Telephone Survey,Complete,Telephone survey,4.29378700256348,Newt Gingrich,Female,White,45-49,45-49,Very conservative,Republican,"$50,000-$99,999",Postgraduate study,No,Illegal in most cases,Gingrich,Working in government,,Yes,I strongly favor my candidate,,,Protestant,Somewhat,Somewhat support,,,No,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,,,Holding steady financially,Allowed to stay as temporary workers,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 2,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,85234.0
148123.0,Arizona,50003.0,Telephone Survey,Complete,Telephone survey,4.29378700256348,Newt Gingrich,Female,White,45-49,45-49,Moderate,Republican,"Under $30,000",Some college/assoc. degree,No,,,,,No,,The economy,Has the right experience,,,Neutral,In January,Probably vote for the Republican nominee,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,,,Neutral,Neither,Earlier than that,Earlier than that,Yes,All others,,,,Has the right experience,About the same,Favorable,,,White,English,State questionnaire,Suburbs,Suburbs,1.0,West,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,85351.0
148443.0,Arizona,50022.0,Telephone Survey,Complete,Telephone survey,4.13260364532471,Newt Gingrich,Male,,60-64,60-64,Very conservative,Republican,"$50,000-$99,999",College graduate,,Illegal in most cases,Gingrich,Omit,,Yes,I strongly favor my candidate,,,Protestant,Not much,Strongly support,,,No,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,,,,All others,,,,Getting ahead financially,Deported to the country they came from,,,State questionnaire,Suburbs,Suburbs,2.0,West,Version 2,Low Density Rural,80s Suburbs,Urban Perimeter,Very upscale,85749.0
148263.0,Arizona,50020.0,Telephone Survey,Complete,Telephone survey,3.8439724445343,Newt Gingrich,Female,Hispanic/Latino,30-39,30-39,Moderate,Republican,"$100,000-$199,999",College graduate,Yes,Legal in all cases,Romney,Working in business,,No,I like my candidate but with reservations,,,Catholic,Not much,Neutral,,,Yes,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Not born again,,,Catholic,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,Working women,,,,Getting ahead financially,Allowed to stay as temporary workers,Hispanic/Latino,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 2,Extremely Low Density Rural,Urban,Urban Core,Downscale,85365.0
148094.0,Arizona,50020.0,Telephone Survey,Complete,Telephone survey,3.66012024879456,Newt Gingrich,Male,White,45-49,45-49,Somewhat conservative,Independent,"Under $30,000",Some college/assoc. degree,No,,,,,Yes,,The economy,Is a true conservative,,,Somewhat support,Before that,Probably vote for the Republican nominee,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,,,,,Support,Both Tea Party supporter and born-again,Earlier than that,Earlier than that,Yes,White Born-again/Evangelical Christians,,,,Is a true conservative,About the same,Favorable,,,White,English,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,West,Version 1,Extremely Low Density Rural,Urban,Urban Core,Downscale,85365.0
148479.0,Arizona,50005.0,Telephone Survey,Complete,Telephone survey,3.62867593765259,Newt Gingrich,Male,White,60-64,60-64,Very conservative,Republican,"Under $30,000",Some college/assoc. degree,No,Omit,Gingrich,Working in business,,Yes,I like my candidate but with reservations,,,Other christian,Not at all,Strongly support,,,No,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Omit,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,,,Falling behind financially,Offered a chance to apply for citizenship,White,English,State questionnaire,Suburbs,Suburbs,3.0,West,Version 2,Extremely Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,86441.0
