ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,OKRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,SHAREREL,TEAPARTY,TIMEST12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,XQLTREP12,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
239415.0,Oklahoma,14.0,Call 3,Complete,Election day exit poll,0.834439992904663,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"$50,000-$99,999",Postgraduate study,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,The economy,Yes,Is a true conservative,Somewhat,Strongly support,Before that,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73160.0
235552.0,Oklahoma,95.0,Call 2,Complete,Election day exit poll,1.1092334985733,Newt Gingrich,Female,White,60-64,60-64,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,The economy,Yes,Has the right experience,Somewhat,Strongly support,In the last few weeks,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,Has the right experience,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,High Density Urban,Urban,Urban Core,Very upscale,74136.0
231680.0,Oklahoma,50.0,Call 1,Not complete,Election day exit poll,0.800265073776245,Newt Gingrich,Female,White,65 or over,65 or over,,,,High school or less,,The most important factor,,I strongly favor my candidate,,Yes,,,,Just today,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,,,A factor,Important,,,,Last few days,Since January 1st,,,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73020.0
231678.0,Oklahoma,72.0,Call 1,Complete,Election day exit poll,1.30570840835571,Newt Gingrich,Male,Other,50-59,50-59,Very conservative,Republican,"$50,000-$99,999",College graduate,Legal in all cases,The most important factor,Yes,I strongly favor my candidate,Federal budget deficit,Yes,Can defeat Barack Obama,A great deal,Strongly support,Before that,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,No,All others,Can defeat Barack Obama,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,74820.0
235539.0,Oklahoma,95.0,Call 2,Complete,Election day exit poll,1.1092334985733,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,The economy,Yes,Has the right experience,Somewhat,Strongly support,Earlier this year,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Has the right experience,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,High Density Urban,Urban,Urban Core,Very upscale,74136.0
231676.0,Oklahoma,43.0,Call 1,Not complete,Election day exit poll,0.468575894832611,Newt Gingrich,Male,White,40-44,40-44,,,,Some college/assoc. degree,,One of several important factors,,I like my candidate but with reservations,,Yes,,,,Just today,Married men,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,,,,,,,,No college degree,More than High school graduate,,,A factor,Important,,,,Last few days,Since January 1st,,,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73160.0
235532.0,Oklahoma,95.0,Call 2,Complete,Election day exit poll,1.06088280677795,Newt Gingrich,Male,White,45-49,45-49,Somewhat conservative,Republican,"Under $30,000",College graduate,Legal in most cases,One of several important factors,Yes,I like my candidate but with reservations,The economy,No,Is a true conservative,Somewhat,Somewhat support,Just today,Non married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Is a true conservative,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,High Density Urban,Urban,Urban Core,Very upscale,74136.0
231666.0,Oklahoma,50.0,Call 1,Complete,Election day exit poll,0.800265073776245,Newt Gingrich,Female,White,65 or over,65 or over,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I like my candidate but with reservations,Federal budget deficit,,Can defeat Barack Obama,Not much,Neutral,Just today,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,Not much or not at all,Neutral,Born-again but not Tea Party supporter,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73020.0
231665.0,Oklahoma,43.0,Call 1,Complete,Election day exit poll,0.463720560073853,Newt Gingrich,Male,White,60-64,60-64,Somewhat liberal,Republican,"$30,000-$49,999",College graduate,Illegal in most cases,A minor factor,Yes,I like my candidate but with reservations,The economy,Yes,Can defeat Barack Obama,Not much,Omit,Earlier this year,Married men,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Not important,Not much or not at all,Omit,,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73160.0
235524.0,Oklahoma,50.0,Call 2,Complete,Election day exit poll,0.76538211107254,Newt Gingrich,Male,White,50-59,50-59,Somewhat conservative,Independent,"$50,000-$99,999",High school or less,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,The economy,Yes,Has the right experience,Somewhat,Neutral,In the last few weeks,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Has the right experience,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73020.0
235523.0,Oklahoma,50.0,Call 2,Complete,Election day exit poll,0.76538211107254,Newt Gingrich,Male,White,50-59,50-59,Somewhat conservative,Independent,"$50,000-$99,999",High school or less,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,The economy,Yes,Has the right experience,Somewhat,Neutral,In the last few weeks,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Has the right experience,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73020.0
231660.0,Oklahoma,72.0,Call 1,Complete,Election day exit poll,2.41370344161987,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",Some college/assoc. degree,Illegal in all cases,One of several important factors,Yes,I strongly favor my candidate,Federal budget deficit,No,Can defeat Barack Obama,Not much,Strongly support,Earlier this year,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,Not much or not at all,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,74820.0
239381.0,Oklahoma,4.0,Call 3,Complete,Election day exit poll,0.828972578048706,Newt Gingrich,Female,White,50-59,50-59,Somewhat conservative,Republican,"Under $30,000",Some college/assoc. degree,Legal in all cases,One of several important factors,Yes,I like my candidate but with reservations,The economy,No,Can defeat Barack Obama,Somewhat,Strongly support,Just today,Non married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,73099.0
235506.0,Oklahoma,50.0,Call 2,Complete,Election day exit poll,0.80864417552948,Newt Gingrich,Female,White,30-39,30-39,Moderate,Republican,"Under $30,000",College graduate,Illegal in all cases,One of several important factors,Yes,Omit,The economy,Yes,Has strong moral character,Somewhat,Neutral,In the last few days,Married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Has strong moral character,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73020.0
235495.0,Oklahoma,95.0,Call 2,Complete,Election day exit poll,1.04988992214203,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Republican,"$200,000 or more",High school or less,Illegal in all cases,Omit,No,I strongly favor my candidate,Federal budget deficit,,Can defeat Barack Obama,A great deal,Strongly support,Just today,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,High school graduate or less,Illegal,Not born again,Omit,Omit,A great deal or somewhat,Support,Tea Party supporter and not born-again,Last few days,Since January 1st,No,All others,Can defeat Barack Obama,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,High Density Urban,Urban,Urban Core,Very upscale,74136.0
231631.0,Oklahoma,72.0,Call 1,Complete,Election day exit poll,2.28457140922546,Newt Gingrich,Male,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",Some college/assoc. degree,Legal in most cases,A minor factor,Yes,I strongly favor my candidate,Illegal immigration,No,Has the right experience,A great deal,Strongly support,Earlier this year,Non married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Legal,Born again/Think religious values of candidate matter a great deal,A factor,Not important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,Has the right experience,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,74820.0
239353.0,Oklahoma,81.0,Call 3,Complete,Election day exit poll,1.31081962585449,Newt Gingrich,Male,White,65 or over,65 or over,Somewhat conservative,Republican,"$30,000-$49,999",College graduate,Illegal in all cases,A minor factor,Yes,I strongly favor my candidate,Abortion,,Can defeat Barack Obama,A great deal,Somewhat support,Just today,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,A factor,Not important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,73055.0
239352.0,Oklahoma,4.0,Call 3,Complete,Election day exit poll,0.828972578048706,Newt Gingrich,Female,White,50-59,50-59,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,Abortion,Yes,Is a true conservative,A great deal,Somewhat support,Earlier this year,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,Is a true conservative,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,73099.0
239351.0,Oklahoma,14.0,Call 3,Complete,Election day exit poll,0.843176901340485,Newt Gingrich,Male,White,30-39,30-39,Somewhat conservative,Republican,"$50,000-$99,999",College graduate,Illegal in most cases,One of several important factors,Yes,I like my candidate but with reservations,Federal budget deficit,Yes,Can defeat Barack Obama,Somewhat,Somewhat support,Earlier this year,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73160.0
235486.0,Oklahoma,50.0,Call 2,Complete,Election day exit poll,0.76538211107254,Newt Gingrich,Male,White,50-59,50-59,Moderate,Republican,"$50,000-$99,999",High school or less,Legal in most cases,One of several important factors,No,I strongly favor my candidate,Illegal immigration,Yes,Has the right experience,Not at all,Neutral,Earlier this year,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Legal,Not born again,A factor,Important,Not much or not at all,Neutral,Neither,Earlier than that,Since January 1st,No,All others,Has the right experience,State questionnaire,Suburbs,Suburbs,1.0,South,Version 1,Suburb,70s Suburbs,Urban Perimeter,Upscale,73020.0
235485.0,Oklahoma,95.0,Call 2,Complete,Election day exit poll,1.1092334985733,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,Illegal in most cases,One of several important factors,Yes,I strongly favor my candidate,Federal budget deficit,Yes,Can defeat Barack Obama,A great deal,Strongly support,In the last few weeks,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,A factor,Important,A great deal or somewhat,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,Can defeat Barack Obama,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 1,High Density Urban,Urban,Urban Core,Very upscale,74136.0
