ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,MSRPRS12,SEX,QRACE3,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,SATGING,SATPAUL,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,WORK,SEXWED,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WRKWOMEN,XQLTREP12,GOVTANGR,GOVTANG2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
268507.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.03130888938904,Rick Santorum,Female,White,50-59,Very conservative,Republican,"$200,000 or more",High school or less,,Gingrich,One of several important factors,Yes,,,,,,Federal budget deficit,Yes,Can defeat Barack Obama,Satisfied,Dissatisfied,Satisfied,Satisfied,,Somewhat support,Just today,,,Married women,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,High school graduate or less,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,Can defeat Barack Obama,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268511.0, Mississippi,1.0,Call 1,Complete,Election day exit poll,1.62598276138306,Newt Gingrich,Male,Black,65 or over,Moderate,Republican,"$50,000-$99,999",Postgraduate study,Legal in most cases,,,Yes,I strongly favor my candidate,About right,About right,About right,About right,,,,,,,,Somewhat,Strongly support,,Gingrich,No,,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,All others,All others,,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Upscale,39120.0
268512.0, Mississippi,88.0,Call 1,Complete,Election day exit poll,1.03458833694458,Rick Santorum,Male,White,45-49,Somewhat conservative,Republican,"$30,000-$49,999",Postgraduate study,,Romney,A minor factor,Yes,,,,,,Federal budget deficit,Yes,Is a true conservative,Satisfied,Satisfied,Satisfied,Satisfied,,Somewhat support,In the last few weeks,,,Married men,45-65,30-59,45+,45-59,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,A factor,Not important,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Is a true conservative,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39047.0
268514.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.05592453479767,Rick Santorum,Female,White,65 or over,Very conservative,Independent,"$30,000-$49,999",Postgraduate study,,Santorum,A minor factor,Yes,,,,,,Federal budget deficit,Yes,Is a true conservative,Satisfied,Dissatisfied,Dissatisfied,Satisfied,,Somewhat support,Earlier this year,,,Married women,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,A factor,Not important,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Is a true conservative,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268516.0, Mississippi,6.0,Call 1,Complete,Election day exit poll,1.72837388515472,Rick Santorum,Male,White,65 or over,Very liberal,Republican,"$50,000-$99,999",Some college/assoc. degree,Illegal in most cases,,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,About right,,,,,,,,A great deal,Somewhat oppose,,Gingrich,No,,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,No,White Born-again/Evangelical Christians,All others,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale,38865.0
268517.0, Mississippi,1.0,Call 1,Complete,Election day exit poll,1.26163029670715,Newt Gingrich,Male,White,65 or over,Very conservative,Republican,"$50,000-$99,999",High school or less,Illegal in all cases,,,Yes,I like my candidate but with reservations,About right,Too conservative,Not conservative enough,Not conservative enough,,,,,,,,Not much,Strongly support,,Gingrich,No,,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,All others,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Upscale,39120.0
268519.0, Mississippi,67.0,Call 1,Complete,Election day exit poll,0.977539420127869,Newt Gingrich,Female,White,60-64,Very conservative,Republican,"$50,000-$99,999",College graduate,,Romney,One of several important factors,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,Satisfied,Satisfied,Dissatisfied,Satisfied,,Strongly support,Just today,,,Married women,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,Can defeat Barack Obama,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39110.0
268525.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.01869606971741,Rick Santorum,Male,White,50-59,Very conservative,Republican,"$100,000-$199,999",Some college/assoc. degree,Legal in most cases,,,Yes,I like my candidate but with reservations,About right,Too conservative,Not conservative enough,About right,,,,,,,,Not at all,Strongly support,,Paul,Yes,,45-65,30-59,45+,45-59,50-64,Republican,Conservative,Very conservative,Very conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,,,Not much or not at all,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,All others,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268526.0, Mississippi,26.0,Call 1,Complete,Election day exit poll,1.63862788677216,Newt Gingrich,Male,White,65 or over,Moderate,Independent,"Under $30,000",High school or less,,Gingrich,Not a factor at all,Yes,,,,,,The economy,Yes,Can defeat Barack Obama,Satisfied,Satisfied,Satisfied,Satisfied,,Somewhat support,Just today,,,Married men,65+,60+,45+,60+,65+,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,Not a factor,Not important,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,,Can defeat Barack Obama,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,39647.0
268527.0, Mississippi,1.0,Call 1,Complete,Election day exit poll,1.27725100517273,Newt Gingrich,Female,White,65 or over,Very conservative,Republican,"$50,000-$99,999",High school or less,,Gingrich,Omit,Yes,,,,,,The economy,Yes,Has the right experience,Satisfied,Dissatisfied,Satisfied,Dissatisfied,,Somewhat support,Earlier this year,,,Married women,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,Omit,Omit,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Has the right experience,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Upscale,39120.0
268530.0, Mississippi,6.0,Call 1,Complete,Election day exit poll,1.72837388515472,Rick Santorum,Male,White,60-64,Very conservative,Republican,"$50,000-$99,999",College graduate,,Santorum,A minor factor,Yes,,,,,,Federal budget deficit,No,Is a true conservative,Satisfied,Dissatisfied,Satisfied,Satisfied,,Somewhat support,In the last few days,,,Non married men,45-65,60+,45+,60+,50-64,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,A factor,Not important,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,Is a true conservative,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,38865.0
268532.0, Mississippi,67.0,Call 1,Complete,Election day exit poll,0.769597470760345,Mitt Romney,Male,White,50-59,Somewhat conservative,Independent,"$50,000-$99,999",Some college/assoc. degree,Illegal in most cases,,,Yes,I strongly favor my candidate,Omit,Omit,About right,Omit,,,,,,,,Somewhat,Strongly support,,Romney,Yes,,45-65,30-59,45+,45-59,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate did not matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,All others,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39110.0
268534.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.04301059246063,Rick Santorum,Male,White,65 or over,Somewhat conservative,Republican,"Under $30,000",Some college/assoc. degree,,Gingrich,Not a factor at all,Yes,,,,,,Federal budget deficit,Yes,Has strong moral character,Satisfied,Dissatisfied,Dissatisfied,Satisfied,,Neutral,In the last few weeks,,,Married men,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,Not a factor,Not important,,Neutral,Born-again but not Tea Party supporter,Earlier than that,Since January 1st,Yes,White Born-again/Evangelical Christians,,Has strong moral character,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268535.0, Mississippi,88.0,Call 1,Complete,Election day exit poll,0.951617419719696,Mitt Romney,Male,White,65 or over,Moderate,Republican,"$100,000-$199,999",Some college/assoc. degree,Legal in all cases,,,No,I strongly favor my candidate,Not conservative enough,Not conservative enough,About right,Not conservative enough,,,,,,,,Not much,Neutral,,Romney,No,,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Legal,Not born again,,,Not much or not at all,Neutral,Neither,,,No,All others,All others,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39047.0
268536.0, Mississippi,26.0,Call 1,Complete,Election day exit poll,1.44036567211151,Mitt Romney,Male,White,65 or over,Somewhat liberal,Republican,"Under $30,000",High school or less,Illegal in most cases,,,Yes,I like my candidate but with reservations,About right,Not conservative enough,About right,About right,,,,,,,,A great deal,Strongly support,,Gingrich,No,,65+,60+,45+,60+,65+,Republican,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,All others,,Omit,Omit,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,39647.0
268537.0, Mississippi,1.0,Call 1,Complete,Election day exit poll,1.27725100517273,Newt Gingrich,Female,White,65 or over,Very conservative,Republican,"$30,000-$49,999",Some college/assoc. degree,,Gingrich,One of several important factors,Yes,,,,,,Abortion,Yes,Can defeat Barack Obama,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,,Somewhat support,In the last few days,,,Married women,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,Yes,White Born-again/Evangelical Christians,,Can defeat Barack Obama,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Upscale,39120.0
268542.0, Mississippi,67.0,Call 1,Complete,Election day exit poll,0.887975811958313,Rick Santorum,Female,White,65 or over,Somewhat conservative,Republican,"Under $30,000",Some college/assoc. degree,Illegal in most cases,,,Yes,I like my candidate but with reservations,Not conservative enough,Not conservative enough,Not conservative enough,About right,,,,,,,,A great deal,Somewhat support,,Omit,No,,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,Yes,White Born-again/Evangelical Christians,All others,,"Dissatisifed, but not angry","Dissatisifed, but not angry or angry",State questionnaire,Suburbs,Suburbs,2.0,South,Version 2,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39110.0
268543.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.04301059246063,Rick Santorum,Male,White,65 or over,Very conservative,Independent,"$50,000-$99,999",College graduate,Illegal in all cases,,,Yes,I strongly favor my candidate,About right,Not conservative enough,Not conservative enough,About right,,,,,,,,A great deal,Strongly support,,Santorum,No,,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Illegal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,All others,,Angry,"Dissatisifed, but not angry or angry",State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
268545.0, Mississippi,88.0,Call 1,Complete,Election day exit poll,0.940394997596741,Ron Paul,Male,White,30-39,Very conservative,Independent,"$50,000-$99,999",College graduate,,Paul,A minor factor,No,,,,,,The economy,Yes,Has strong moral character,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,,Somewhat support,Earlier this year,,,Married men,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,A factor,Not important,,Support,Tea Party supporter and not born-again,Earlier than that,Since January 1st,No,All others,,Has strong moral character,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39047.0
268547.0, Mississippi,6.0,Call 1,Complete,Election day exit poll,1.72837388515472,Rick Santorum,Male,White,65 or over,Very conservative,Republican,"$30,000-$49,999",High school or less,,Santorum,One of several important factors,Yes,,,,,,The economy,Yes,Has strong moral character,Satisfied,Dissatisfied,Satisfied,Satisfied,,Somewhat support,Before that,,,Married men,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,Yes,White Born-again/Evangelical Christians,,Has strong moral character,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,38865.0
268548.0, Mississippi,1.0,Call 1,Complete,Election day exit poll,1.27725100517273,Newt Gingrich,Female,White,65 or over,Very conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,,Gingrich,One of several important factors,Yes,,,,,,The economy,No,Can defeat Barack Obama,Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,,Strongly support,Earlier this year,,,Non married women,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Can defeat Barack Obama,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Upscale,39120.0
268552.0, Mississippi,88.0,Call 1,Complete,Election day exit poll,0.951617419719696,Mitt Romney,Male,White,65 or over,Somewhat conservative,Republican,"$30,000-$49,999",High school or less,,Romney,Not a factor at all,Yes,,,,,,The economy,No,Has the right experience,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,,Strongly support,Before that,,,Non married men,65+,60+,45+,60+,65+,Republican,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,,,Not a factor,Not important,,Support,Both Tea Party supporter and born-again,Earlier than that,Before January 1st,Yes,White Born-again/Evangelical Christians,,Has the right experience,,,State questionnaire,Suburbs,Suburbs,2.0,South,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,39047.0
268553.0, Mississippi,114.0,Call 1,Complete,Election day exit poll,1.05592453479767,Rick Santorum,Female,White,65 or over,Very conservative,Republican,"$50,000-$99,999",Postgraduate study,,Santorum,Not a factor at all,Yes,,,,,,Abortion,Yes,Has strong moral character,Satisfied,Dissatisfied,Dissatisfied,Satisfied,,Somewhat support,Earlier this year,,,Married women,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,Not a factor,Not important,,Support,Both Tea Party supporter and born-again,Earlier than that,Since January 1st,No,White Born-again/Evangelical Christians,,Has strong moral character,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,39669.0
