ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,MARPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,TEAPARTY,TIMEST12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BREAKFACT,BREAKIMP,REL5,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,HEALTHMASS,ROMNTIESMA,ROMNTIESMA2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
237038.0,Massachusetts,43.0,Call 2,Not complete,Election day exit poll,1.4577054977417,Ron Paul,Male,White,60-64,60-64,,,,Postgraduate study,A minor factor,,I strongly favor my candidate,,,,,,In the last few weeks,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,2717.0
241363.0,Massachusetts,70.0,Call 3,Not complete,Election day exit poll,0.833498537540436,Ron Paul,Male,,25-29,25-29,,,,College graduate,One of several important factors,,I strongly favor my candidate,,No,,,,Before that,Non married men,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,5.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1588.0
238697.0,Massachusetts,51.0,Call 3,Not complete,Election day exit poll,0.875755071640015,Mitt Romney,Female,White,50-59,50-59,,,,College graduate,One of several important factors,,I like my candidate but with reservations,,Yes,,,,In the last few weeks,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1747.0
233639.0,Massachusetts,73.0,Call 1,Not complete,Election day exit poll,0.915844082832336,Mitt Romney,Male,White,65 or over,65 or over,,,,College graduate,The most important factor,,I strongly favor my candidate,,No,,,,Earlier this year,Non married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Upscale,2062.0
233493.0,Massachusetts,73.0,Call 1,Not complete,Election day exit poll,0.831458628177643,Mitt Romney,Male,White,50-59,50-59,,,,College graduate,A minor factor,,I strongly favor my candidate,,Yes,,,,In the last few weeks,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Upscale,2062.0
233492.0,Massachusetts,88.0,Call 1,Not complete,Election day exit poll,0.869554579257965,Mitt Romney,Female,White,65 or over,65 or over,,,,College graduate,One of several important factors,,I like my candidate but with reservations,,Yes,,,,Earlier this year,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2066.0
241526.0,Massachusetts,64.0,Call 3,Not complete,Election day exit poll,0.820660471916199,Mitt Romney,Male,White,30-39,30-39,,,,Some college/assoc. degree,One of several important factors,,I like my candidate but with reservations,,Yes,,,,Earlier this year,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1760.0
241500.0,Massachusetts,70.0,Call 3,Not complete,Election day exit poll,1.39558243751526,Mitt Romney,Female,White,18-24,17-24,,,,Some college/assoc. degree,Not a factor at all,,I like my candidate but with reservations,,No,,,,Omit,Non married women,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,,,,,,,,No college degree,More than High school graduate,Not a factor,Not important,,,,Omit,Omit,,,,,,,,,State questionnaire,Suburbs,Suburbs,5.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1588.0
241495.0,Massachusetts,64.0,Call 3,Not complete,Election day exit poll,0.820660471916199,Mitt Romney,Male,White,50-59,50-59,,,,College graduate,A minor factor,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,2.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1760.0
241481.0,Massachusetts,70.0,Call 3,Not complete,Election day exit poll,1.49781930446625,Mitt Romney,Male,White,60-64,60-64,,,,College graduate,One of several important factors,,I strongly favor my candidate,,Yes,,,,Before that,Married men,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,5.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1588.0
237315.0,Massachusetts,43.0,Call 2,Not complete,Election day exit poll,0.857283353805542,Mitt Romney,Male,White,65 or over,65 or over,,,,High school or less,The most important factor,,I strongly favor my candidate,,No,,,,In the last few weeks,Non married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,2717.0
237310.0,Massachusetts,43.0,Call 2,Not complete,Election day exit poll,0.777399182319641,Mitt Romney,Male,White,25-29,25-29,,,,College graduate,Not a factor at all,,I strongly favor my candidate,,No,,,,Before that,Non married men,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,,,,,,,,College graduate,More than High school graduate,Not a factor,Not important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,2717.0
237282.0,Massachusetts,43.0,Call 2,Not complete,Election day exit poll,0.88084751367569,Mitt Romney,Female,White,65 or over,65 or over,,,,Postgraduate study,One of several important factors,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,2717.0
237260.0,Massachusetts,34.0,Call 2,Not complete,Election day exit poll,0.840809166431427,Mitt Romney,Male,White,45-49,45-49,,,,College graduate,The most important factor,,I strongly favor my candidate,,No,,,,Earlier this year,Non married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,1826.0
233200.0,Massachusetts,75.0,Call 1,Not complete,Election day exit poll,1.18907582759857,Mitt Romney,Female,White,65 or over,65 or over,,,,High school or less,Not a factor at all,,I like my candidate but with reservations,,No,,,,In the last few days,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,Not a factor,Not important,,,,Last few days,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0
233189.0,Massachusetts,75.0,Call 1,Not complete,Election day exit poll,1.15726602077484,Mitt Romney,Male,White,65 or over,65 or over,,,,,Not a factor at all,,I strongly favor my candidate,,Yes,,,,Before that,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,,,Not a factor,Not important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0
241248.0,Massachusetts,88.0,Call 3,Not complete,Election day exit poll,0.768315494060516,Mitt Romney,Male,White,45-49,45-49,,,,College graduate,Not a factor at all,,I strongly favor my candidate,,Yes,,,,Before that,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,College graduate,More than High school graduate,Not a factor,Not important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2066.0
237033.0,Massachusetts,88.0,Call 2,Not complete,Election day exit poll,0.846292495727539,Mitt Romney,Male,White,65 or over,65 or over,,,,Postgraduate study,One of several important factors,,I strongly favor my candidate,,No,,,,Earlier this year,Non married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2066.0
237011.0,Massachusetts,34.0,Call 2,Not complete,Election day exit poll,0.951600551605225,Mitt Romney,Female,White,65 or over,65 or over,,,,High school or less,One of several important factors,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,1826.0
240992.0,Massachusetts,43.0,Call 3,Not complete,Election day exit poll,0.778293669223785,Mitt Romney,Male,White,30-39,30-39,,,,Some college/assoc. degree,One of several important factors,,I like my candidate but with reservations,,Yes,,,,In the last few weeks,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,2717.0
240914.0,Massachusetts,101.0,Call 3,Not complete,Election day exit poll,0.771082103252411,Mitt Romney,Female,White,50-59,50-59,,,,Postgraduate study,The most important factor,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1880.0
236837.0,Massachusetts,75.0,Call 2,Not complete,Election day exit poll,1.15726602077484,Mitt Romney,Male,White,65 or over,65 or over,,,,Postgraduate study,Not a factor at all,,I like my candidate but with reservations,,Yes,,,,Earlier this year,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,Not a factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0
232784.0,Massachusetts,45.0,Call 1,Not complete,Election day exit poll,0.860095202922821,Mitt Romney,Female,White,60-64,60-64,,,,Some college/assoc. degree,The most important factor,,I strongly favor my candidate,,Yes,,,,Before that,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 1,Suburb,Rural,Rural,Downscale,1301.0
236827.0,Massachusetts,102.0,Call 2,Not complete,Election day exit poll,0.938912570476532,Mitt Romney,Female,White,65 or over,65 or over,,,,Postgraduate study,One of several important factors,,I strongly favor my candidate,,No,,,,Earlier this year,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2081.0
232746.0,Massachusetts,45.0,Call 1,Not complete,Election day exit poll,0.837086200714111,Mitt Romney,Male,White,65 or over,65 or over,,,,Postgraduate study,One of several important factors,,I strongly favor my candidate,,Yes,,,,Before that,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 1,Suburb,Rural,Rural,Downscale,1301.0
232745.0,Massachusetts,34.0,Call 1,Not complete,Election day exit poll,0.840809166431427,Mitt Romney,Male,White,50-59,50-59,,,,High school or less,One of several important factors,,I strongly favor my candidate,,Yes,,,,Before that,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,High school graduate or less,A factor,Important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,1826.0
240836.0,Massachusetts,62.0,Call 3,Not complete,Election day exit poll,0.840219020843506,Mitt Romney,Female,White,18-24,17-24,,,,College graduate,A minor factor,,Omit,,No,,,,Just today,Non married women,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Last few days,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,2054.0
236781.0,Massachusetts,21.0,Call 2,Not complete,Election day exit poll,1.13042092323303,Mitt Romney,Female,White,65 or over,65 or over,,,,High school or less,One of several important factors,,I like my candidate but with reservations,,Yes,,,,In the last few weeks,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,2301.0
241337.0,Massachusetts,101.0,Call 3,Not complete,Election day exit poll,0.84933990240097,Mitt Romney,Female,White,60-64,60-64,,,,Some college/assoc. degree,One of several important factors,,I strongly favor my candidate,,No,,,,Before that,Non married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1880.0
241309.0,Massachusetts,48.0,Call 3,Not complete,Election day exit poll,1.39368867874146,Mitt Romney,Male,White,45-49,45-49,,,,High school or less,A minor factor,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,No college degree,High school graduate or less,A factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Town,70s Suburbs,High-Growth Suburban Perimeter,Downscale,2645.0
240746.0,Massachusetts,101.0,Call 3,Not complete,Election day exit poll,0.750454366207123,Mitt Romney,Male,White,30-39,30-39,,,,College graduate,A minor factor,,I strongly favor my candidate,,Yes,,,,Before that,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,,,,,,,,College graduate,More than High school graduate,A factor,Not important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1880.0
233439.0,Massachusetts,101.0,Call 1,Not complete,Election day exit poll,0.84933990240097,Mitt Romney,Female,White,65 or over,65 or over,,,,Some college/assoc. degree,One of several important factors,,I like my candidate but with reservations,,No,,,,Earlier this year,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,1880.0
240725.0,Massachusetts,34.0,Call 3,Not complete,Election day exit poll,0.435095936059952,Mitt Romney,Male,Other,40-44,40-44,,,,Some college/assoc. degree,One of several important factors,,I strongly favor my candidate,,,,,,Earlier this year,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,,,,,,,,No college degree,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,1826.0
233343.0,Massachusetts,51.0,Call 1,Not complete,Election day exit poll,0.852327108383179,Mitt Romney,Male,White,50-59,50-59,,,,Some college/assoc. degree,A minor factor,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,,,,,,,,No college degree,More than High school graduate,A factor,Not important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,1747.0
237254.0,Massachusetts,43.0,Call 2,Not complete,Election day exit poll,0.778293669223785,Mitt Romney,Male,White,45-49,45-49,,,,College graduate,One of several important factors,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,,,,College graduate,More than High school graduate,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,3.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,2717.0
237223.0,Massachusetts,75.0,Call 2,Not complete,Election day exit poll,1.18907582759857,Mitt Romney,Female,White,65 or over,65 or over,,,,College graduate,Not a factor at all,,I strongly favor my candidate,,,,,,Before that,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,Not a factor,Not important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0
232483.0,Massachusetts,34.0,Call 1,Not complete,Election day exit poll,0.951600551605225,Mitt Romney,Female,White,65 or over,65 or over,,,,High school or less,One of several important factors,,I strongly favor my candidate,,Yes,,,,Earlier this year,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,No college degree,High school graduate or less,A factor,Important,,,,Earlier than that,Since January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,1826.0
240538.0,Massachusetts,75.0,Call 3,Not complete,Election day exit poll,1.15726602077484,Mitt Romney,Male,White,65 or over,65 or over,,,,Postgraduate study,Not a factor at all,,I strongly favor my candidate,,Yes,,,,Before that,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,,,,,,,,College graduate,More than High school graduate,Not a factor,Not important,,,,Earlier than that,Before January 1st,,,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,1960.0
