ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,WIRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BREAK12PRI,BRNAGAIN,DESCRIBS12R,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,RELIGN10,SATROMN,SATSANT,SHAREREL,TEAPARTY,TIMEMD12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BRNSHARE,BREAKFACT,BREAKIMP,REL5,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,WRKWOMEN,XQLTREP12,ATTEND,CHILD,GOVTPRO,HEALTHCARE12R,RECOVER,WALKERAPP,WINNOM12,ATTEND2,ATTREL,PARENTS,WALKERAPP2,WORKPARENT,WORKSEX,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
310604.0,Wisconsin,51.0,Call 3,Complete,Election day exit poll,0.596235036849976,Did not vote,Male,White,30-39,30-39,Moderate,Democrat,"$50,000-$99,999",College graduate,One of several important factors,No,,,,The economy,No,Has the right experience,,Satisfied,Dissatisfied,,Strongly oppose,Earlier this year,,Non married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,A factor,Important,,,Oppose,Neither,Earlier than that,Since January 1st,No,All others,,,,Has the right experience,,,,Romney,,,Romney,,,,,,,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 1,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,53110.0
310600.0,Wisconsin,43.0,Call 3,Complete,Election day exit poll,0.985083937644959,Did not vote,Male,White,30-39,30-39,Moderate,Democrat,"$100,000-$199,999",Some college/assoc. degree,,No,I strongly favor my candidate,Not conservative enough,About right,,,,Catholic,,,Somewhat,Neutral,,Yes,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Neutral,Neither,,,No,All others,No,All others,All others,,Once a week,Yes,Government should not favor one set of values over another,,Getting worse,Strongly disapprove,,Weekly,Catholic/Attend weekly,Men with children,Disapprove,All men,Working men,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,Midwest,Version 2,Suburb,Urban,Urban Core,Downscale,54601.0
310573.0,Wisconsin,103.0,Call 3,Complete,Election day exit poll,0.616347670555115,Did not vote,Female,White,50-59,50-59,Moderate,Independent,,Postgraduate study,,No,Omit,Omit,Omit,,,,,,,Somewhat,Omit,,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,Not born again,,,,A great deal or somewhat,Omit,,,,No,All others,,,Working women,,Omit,Yes,Omit,,Starting to recover,Somewhat approve,,Omit,Omit,Women with children,Approve,Working mom,Working women,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,53045.0
310569.0,Wisconsin,51.0,Call 3,Complete,Election day exit poll,0.596235036849976,Did not vote,Male,White,40-44,40-44,Moderate,Republican,"Under $30,000",High school or less,,No,I dislike the other candidates,Not conservative enough,Too conservative,,,,Other,,,A great deal,Somewhat support,,No,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Not born again,,,Something else,A great deal or somewhat,Support,Tea Party supporter and not born-again,,,Yes,All others,No,All others,All others,,Once a week,No,Government should do more to promote traditional values,,Staying the same,Somewhat disapprove,,Weekly,All others,Men without children,Disapprove,All men,Non-working men,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,53110.0
310564.0,Wisconsin,50.0,Call 3,Complete,Election day exit poll,0.391612470149994,Did not vote,Male,Black,65 or over,65 or over,Moderate,Democrat,"$100,000-$199,999",Some college/assoc. degree,Not a factor at all,Yes,,,,Federal budget deficit,,Has strong moral character,,Dissatisfied,Dissatisfied,,Neutral,Before that,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Not a factor,Not important,,,Neutral,Born-again but not Tea Party supporter,Earlier than that,Before January 1st,No,All others,,,,Has strong moral character,,,,Paul,,,Romney,,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,Midwest,Version 1,Suburb,Urban,Urban Core,Very upscale,53223.0
310563.0,Wisconsin,43.0,Call 3,Complete,Election day exit poll,0.985083937644959,Did not vote,Male,White,45-49,45-49,Moderate,Democrat,"$50,000-$99,999",Some college/assoc. degree,,No,Omit,Too conservative,Too conservative,,,,Catholic,,,Somewhat,Somewhat oppose,,Yes,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Oppose,Neither,,,No,All others,No,All others,All others,,More than once a week,Yes,Government should not favor one set of values over another,,Getting worse,Strongly disapprove,,Weekly,Catholic/Attend weekly,Men with children,Disapprove,All men,Working men,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,Midwest,Version 2,Suburb,Urban,Urban Core,Downscale,54601.0
310547.0,Wisconsin,43.0,Call 3,Complete,Election day exit poll,1.03171241283417,Did not vote,Female,White,50-59,50-59,Very liberal,Democrat,"$50,000-$99,999",Postgraduate study,,No,I strongly favor my candidate,Too conservative,Too conservative,,,,Protestant,,,Not at all,Strongly oppose,,Yes,,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Oppose,Neither,,,No,All others,No,White Protestant non-evangelical,Working women,,More than once a week,No,Government should not favor one set of values over another,,Starting to recover,Strongly disapprove,,Weekly,Protestant/Attend weekly,Women without children,Disapprove,"Women, no kids",Working women,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,Midwest,Version 2,Suburb,Urban,Urban Core,Downscale,54601.0
310543.0,Wisconsin,103.0,Call 3,Complete,Election day exit poll,0.345839589834213,Did not vote,Male,Other,60-64,60-64,Moderate,Democrat,,Postgraduate study,,No,Omit,Too conservative,Too conservative,,,,Catholic,,,Somewhat,Strongly oppose,,Yes,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,,,,College graduate,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Oppose,Neither,,,No,All others,No,,All others,,More than once a week,No,Government should not favor one set of values over another,,Getting worse,Strongly disapprove,,Weekly,Catholic/Attend weekly,Men without children,Disapprove,All men,Working men,State questionnaire,Suburbs,Suburbs,2.0,Midwest,Version 2,Suburb,70s Suburbs,Urban Perimeter,Very upscale,53045.0
310461.0,Wisconsin,51.0,Call 3,Complete,Election day exit poll,0.569894194602966,Did not vote,Female,White,65 or over,65 or over,Very liberal,Democrat,"$30,000-$49,999",Postgraduate study,,,I strongly favor my candidate,Omit,Omit,,,,Catholic,,,Not at all,Strongly oppose,,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,Catholic,Not much or not at all,Oppose,,,,No,,No,,All others,,More than once a week,No,Government should not favor one set of values over another,,Starting to recover,Strongly disapprove,,Weekly,Catholic/Attend weekly,Women without children,Disapprove,"Women, no kids",Non-working women,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,53110.0
310386.0,Wisconsin,115.0,Call 3,Complete,Election day exit poll,0.895448565483093,Did not vote,Female,White,30-39,30-39,Somewhat liberal,Democrat,"$30,000-$49,999",Some college/assoc. degree,One of several important factors,No,,,,The economy,No,Has strong moral character,,Dissatisfied,Dissatisfied,,Neutral,In March,,Non married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,,A factor,Important,,,Neutral,Neither,Earlier than that,Since January 1st,Yes,All others,,,,Has strong moral character,,,,Paul,,,Paul,,,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,Midwest,Version 1,Town,Rural,Rural,Upscale,54494.0
310359.0,Wisconsin,66.0,Call 3,Complete,Election day exit poll,0.676326274871826,Did not vote,Male,White,50-59,50-59,Very liberal,Democrat,"$100,000-$199,999",Some college/assoc. degree,Not a factor at all,No,,,,The economy,Yes,Has the right experience,,Dissatisfied,Dissatisfied,,Strongly oppose,Before that,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Not a factor,Not important,,,Oppose,Neither,Earlier than that,Before January 1st,No,All others,,,,Has the right experience,,,,Omit,,,Romney,,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,Midwest,Version 1,High Density Urban,Urban,Urban Core,Upscale,53222.0
310328.0,Wisconsin,115.0,Call 3,Complete,Election day exit poll,1.03695130348206,Did not vote,Female,White,25-29,25-29,Very conservative,Something else,"$50,000-$99,999",High school or less,,No,I dislike the other candidates,Not conservative enough,Too conservative,,,,Other,,,Not at all,Neutral,,Yes,,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,Not born again,,,Something else,Not much or not at all,Neutral,Neither,,,No,All others,No,All others,Working women,,Never,No,Government should do more to promote traditional values,,Getting worse,Omit,,Never,All others,Women without children,Omit,"Women, no kids",Working women,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,Midwest,Version 2,Town,Rural,Rural,Upscale,54494.0
310197.0,Wisconsin,108.0,Call 3,Complete,Election day exit poll,1.05598843097687,Did not vote,Female,White,50-59,50-59,Somewhat conservative,Democrat,"$100,000-$199,999",Some college/assoc. degree,Omit,Yes,,,,The economy,Yes,Has strong moral character,,Omit,Omit,,Omit,Before that,,Married women,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,No college degree,More than High school graduate,,Omit,Omit,,,Omit,,Earlier than that,Before January 1st,No,White Born-again/Evangelical Christians,,,,Has strong moral character,,,,Omit,,,Omit,,,,,,,State questionnaire,Rural,Small Cities/Rural,4.0,Midwest,Version 1,Extremely Low Density Rural,Rural,Rural,Downscale,54940.0
309987.0,Wisconsin,31.0,Call 3,Complete,Election day exit poll,0.588491678237915,Did not vote,Male,White,30-39,30-39,Very liberal,Democrat,"$50,000-$99,999",Some college/assoc. degree,Not a factor at all,No,,,,The economy,Yes,Has the right experience,,Dissatisfied,Dissatisfied,,Somewhat oppose,Omit,,Married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,Not a factor,Not important,,,Oppose,Neither,Omit,Omit,No,All others,,,,Has the right experience,,,,Omit,,,Romney,,,,,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,2.0,Midwest,Version 1,Suburb,Rural,Rural,Upscale,54935.0
309744.0,Wisconsin,21.0,Call 3,Complete,Election day exit poll,0.713745713233948,Did not vote,Female,White,18-24,17-24,Moderate,Republican,"$30,000-$49,999",Some college/assoc. degree,,Yes,I strongly favor my candidate,Too conservative,Too conservative,,,,Other christian,,,Somewhat,Neutral,,No,,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,A few times a month,Yes,Government should do more to promote traditional values,,Getting worse,Strongly disapprove,,Occasionally,All others,Women with children,Disapprove,Mothers with no full time job,Non-working women,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Upscale,53032.0
309743.0,Wisconsin,21.0,Call 3,Complete,Election day exit poll,0.713745713233948,Did not vote,Female,White,18-24,17-24,Moderate,Republican,"$30,000-$49,999",Some college/assoc. degree,,Yes,I strongly favor my candidate,Too conservative,Too conservative,,,,Other christian,,,Somewhat,Neutral,,No,,18-29,18-29,18-44,18-29,18-24,18-44,18-64,17-29,17-29,17-44,17-29,17-24,Republican,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Born again/Think religious values of candidate did not matter a great deal,,,Protestant/Other Non-Catholic Christian,A great deal or somewhat,Neutral,Born-again but not Tea Party supporter,,,Yes,White Born-again/Evangelical Christians,Yes,White Protestant evangelical,All others,,A few times a month,Yes,Government should do more to promote traditional values,,Getting worse,Strongly disapprove,,Occasionally,All others,Women with children,Disapprove,Mothers with no full time job,Non-working women,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 2,Low Density Rural,Rural,Rural,Upscale,53032.0
309621.0,Wisconsin,21.0,Call 3,Complete,Election day exit poll,0.616347670555115,Did not vote,Female,White,30-39,30-39,Very liberal,Democrat,"$50,000-$99,999",Postgraduate study,Not a factor at all,No,,,,The economy,Yes,Omit,,Omit,Omit,,Strongly oppose,Before that,,Married women,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,Not a factor,Not important,,,Oppose,Neither,Earlier than that,Before January 1st,No,All others,,,,Omit,,,,Omit,,,Romney,,,,,,,State questionnaire,Rural,Small Cities/Rural,2.0,Midwest,Version 1,Low Density Rural,Rural,Rural,Upscale,53032.0
309603.0,Wisconsin,94.0,Call 2,Complete,Election day exit poll,1.21630775928497,Did not vote,Male,White,65 or over,65 or over,Moderate,Democrat,"$30,000-$49,999",Some college/assoc. degree,,No,Omit,Omit,Omit,,,,Catholic,,,Not much,Somewhat support,,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Not born again,,,Catholic,Not much or not at all,Support,Tea Party supporter and not born-again,,,Yes,All others,No,All others,All others,,Once a week,No,Government should do more to promote traditional values,,Starting to recover,Somewhat disapprove,,Weekly,Catholic/Attend weekly,Men without children,Disapprove,All men,Non-working men,State questionnaire,Rural,Small Cities/Rural,5.0,Midwest,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,54470.0
309497.0,Wisconsin,51.0,Call 2,Complete,Election day exit poll,0.624457538127899,Did not vote,Female,White,30-39,30-39,Moderate,Democrat,"$30,000-$49,999",Some college/assoc. degree,,No,I like my candidate but with reservations,Too conservative,Too conservative,,,,Catholic,,,Somewhat,Somewhat oppose,,No,,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,More than High school graduate,Not born again,,,Catholic,A great deal or somewhat,Oppose,Neither,,,Yes,All others,No,All others,All others,,A few times a year,Yes,Government should not favor one set of values over another,,Staying the same,Somewhat disapprove,,Occasionally,Catholic/Do not attend weekly,Women with children,Disapprove,Mothers with no full time job,Non-working women,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,53110.0
309459.0,Wisconsin,51.0,Call 2,Complete,Election day exit poll,0.544137716293335,Did not vote,Male,White,65 or over,65 or over,Somewhat liberal,Democrat,"$50,000-$99,999",College graduate,,No,Omit,About right,Too conservative,,,,Protestant,,,Not at all,Strongly oppose,,No,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Not born again,,,Protestant/Other Non-Catholic Christian,Not much or not at all,Oppose,Neither,,,No,All others,No,White Protestant non-evangelical,All others,,Once a week,No,Government should not favor one set of values over another,,Starting to recover,Strongly disapprove,,Weekly,Protestant/Attend weekly,Men without children,Disapprove,All men,Non-working men,State questionnaire,Suburbs,Suburbs,1.0,Midwest,Version 2,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,53110.0
