ID,SENWV14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND,ATTEND2,BACKSIDE,BRNAGAIN,CALL,CDNUM,CLIMATECHANGE,COALHH,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ENVIROREGWV,EPAWV14,FAVDEM2,FAVREP2,FOROBAMAS,FRACKING,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,STECWV,STECWV2,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNIONHH12,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
72643.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 2,2.0,,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,The economy,No,,Worried,Somewhat worried,Approve,Strongly approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Conservative,99.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,,,Election day exit poll,,,,,,,Version 1,1.12731969356537,Yes,,26241.0
88830.0,Natalie Tennant,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,Call 3,1.0,Yes,,College graduate,College graduate,More than High school graduate,White college degree,,,Favorable,Unfavorable,Barack Obama was not a factor,Oppose,3.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,,Not worried,Not too worried,Approve,Somewhat approve,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,101.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Female,White women,,Suburbs,Suburbs,West Virginia,Good,Excellent or Good,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,0.867679834365845,No,,26038.0
88812.0,Natalie Tennant,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,,,Complete,,Call 3,1.0,Yes,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,Favorable,Unfavorable,Barack Obama was not a factor,Favor,3.0,Government is doing too many things better left to businesses and individuals,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Disapprove,,Yes,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,111.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,White,State questionnaire,Hispanic/Latino,Hispanic/Latino,,,East,,Female,Latino women,,Suburbs,Suburbs,West Virginia,Not so good,Not so good or Poor,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track,,Version 1,0.652560412883759,No,,26187.0
72572.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,Yes,Call 2,1.0,,,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,,,,3.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,No,,,,,,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Conservative,29.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,,,Election day exit poll,,,,,,,Version 5,0.78736799955368,Yes,White Born-again/Evangelical Christians,26431.0
89569.0,Natalie Tennant,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 3,3.0,No,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Favorable,To express opposition to Barack Obama,Oppose,3.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,10.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,In the last month,Before that,In the last month,Seriously off on the wrong track,,Version 1,0.72637540102005,Yes,,25702.0
72463.0,Natalie Tennant,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,,,Complete,,Call 2,3.0,No,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Unfavorable,Unfavorable,To express opposition to Barack Obama,Oppose,4.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Conservative,74.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Female,White women,,Rural,Small Cities/Rural,West Virginia,Poor,Not so good or Poor,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track,,Version 1,1.06107354164124,No,,25661.0
72460.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 2,2.0,Yes,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Favorable,Unfavorable,To express support for Barack Obama,Omit,4.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,,No,,Worried,Very worried,Approve,Strongly approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,45.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Female,White women,,Suburbs,Suburbs,West Virginia,Poor,Not so good or Poor,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,1.02026307582855,Yes,,25177.0
56262.0,Natalie Tennant,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 1,2.0,Yes,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Favorable,Unfavorable,To express support for Barack Obama,Favor,3.0,Government should do more to solve problems,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve,,No,,Not worried,Not at all worried,Approve,Strongly approve,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,92.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,East,,Male,White men,,Suburbs,Suburbs,West Virginia,Good,Excellent or Good,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,0.577375292778015,No,,25526.0
72455.0,Natalie Tennant,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,,Complete,No,Call 2,2.0,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,,No,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,99.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,,,Election day exit poll,,,,,,,Version 5,0.934486567974091,Yes,All others,26241.0
88642.0,Natalie Tennant,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,Complete,,Call 3,1.0,No,,College graduate,College graduate,More than High school graduate,White college degree,,,Favorable,Unfavorable,Barack Obama was not a factor,Oppose,3.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,,Not worried,Not too worried,Disapprove,Somewhat disapprove,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,101.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,East,,Male,White men,,Suburbs,Suburbs,West Virginia,Good,Excellent or Good,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,1.03283143043518,No,,26038.0
72441.0,Natalie Tennant,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,,,Complete,,Call 2,3.0,No,,,,,,,,Favorable,Unfavorable,Barack Obama was not a factor,Omit,2.0,Government should do more to solve problems,,,,,,,,,Disapprove,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,19.0,,,White,White,State questionnaire,White,White,,,East,,Female,White women,,Rural,Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,In the last month,Before that,In the last month,Seriously off on the wrong track,,Version 1,1.16632723808289,,,24977.0
72378.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 2,2.0,Yes,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Favorable,Unfavorable,To express support for Barack Obama,Omit,4.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,,No,,Not worried,Not too worried,Approve,Strongly approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,45.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,East,,Female,White women,,Suburbs,Suburbs,West Virginia,Good,Excellent or Good,Election day exit poll,Before that,In the last month,Before that,In the last month,Generally going in the right direction,,Version 1,1.02026307582855,Yes,,25177.0
88564.0,Natalie Tennant,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Call 3,1.0,Yes,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Favorable,Unfavorable,Barack Obama was not a factor,Favor,1.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Liberal,60.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,Good,Excellent or Good,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,0.705901503562927,No,,26554.0
72367.0,Natalie Tennant,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,Call 2,2.0,Yes,,College graduate,College graduate,More than High school graduate,White college degree,,,Unfavorable,Unfavorable,Barack Obama was not a factor,Oppose,4.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,No,,Not worried,Not too worried,Approve,Somewhat approve,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Liberal,42.0,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,,,East,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,1.06271147727966,No,,25304.0
72347.0,Natalie Tennant,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,No,Call 2,2.0,,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,,,2.0,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,,No,,,,,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,99.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,,,East,,Male,White men,,Rural,Small Cities/Rural,West Virginia,,,Election day exit poll,,,,,,,Version 5,0.934486567974091,Yes,All others,26241.0
92583.0,Natalie Tennant,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,Call 3,2.0,Yes,,College graduate,College graduate,More than High school graduate,White college degree,,,Favorable,Favorable,Barack Obama was not a factor,Favor,3.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,,Worried,Very worried,Approve,Somewhat approve,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,92.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,,,East,,Female,White women,,Suburbs,Suburbs,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,In the last month,Before that,In the last month,Seriously off on the wrong track,,Version 1,0.568898856639862,No,,25526.0
72323.0,Natalie Tennant,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,Call 2,3.0,Yes,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Omit,Omit,To express opposition to Barack Obama,Oppose,4.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Moderate,81.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,,,East,,Female,White women,,Rural,Small Cities/Rural,West Virginia,Not so good,Not so good or Poor,Election day exit poll,Before that,In the last month,In the last week,In the last week,Seriously off on the wrong track,,Version 1,1.18776893615723,Yes,,26651.0
