id,senky14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,attend,attend2,backside,brnagain,call,cdnum,child12,congress,congre_1,contactg,contactk,contactm,describs,econbett,econdir,educ10,educcoll,educhs,educwhit,envirore,favdem2,favgrime,favmconl,favrep2,forobama,geocode,govtdo10,grimesli,gunowner,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,kynect,kynectb,latino,marchild,marijuan,married,mcconnel,nec,nec2,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,parents,party,partybla,partybyr,partyid,partysex,partywhi,paulpres,phil3,precinct,ptyideo,ptyideo7,ptyimpt1,ptyimp_1,qrace3,qraceai,qtype,race,raceai,rcongang,rconga_1,region,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,teabrn,teaparty,teapar_1,telepoll,terrworr,terworr2,time14fe,time14mt,time14wk,timesen1,track,unfairgr,unfairky,unfairmc,version,vetvoter,weight,whnclinc,whtevang
53616,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44, , ,Complete, ,Call 1,2,No,Disapprove,Strongly disapprove, , , , ,Staying about the same,Good and staying the same,Postgraduate study,College graduate,More than High school graduate,Non white college degree, , ,Favorable,Unfavorable, , ,5,Government should do more to solve problems, , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", , , , ,No,All others,Legal,No, ,Good,Excellent or good,Worried,Somewhat worried,Approve,Somewhat approve, , ,18-44,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats, ,Liberal,43,Liberal Democrats,Liberal Democrats, , ,Black,Black,State questionnaire,Black,Black, , ,South, ,Female,Black women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Generally going in the right direction, , , ,Version 1, ,.769050180912018,No, 
52603,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete, ,Call 1,4, , , ,Yes,Omit,Omit,I strongly favor my candidate, , ,High school graduate,No college degree,High school graduate or less,White no college degree, , , , , ,Barack Obama was not a factor,3, , ,No,Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Omit,Omit,Omit,No, , ,No, , , , , , , ,Omit,Omit,45+,65+, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,No,Conservative,101,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Not at all important,Not important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Male,White men,Non married men,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.596663296222687,No, 
68786,Alison Lundergan Grimes,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,Complete,Yes,Call 2,6, , , , , , , , , ,No high school diploma,No college degree,High school graduate or less,White no college degree,Enviromental regulations go far enough already,Unfavorable, , ,Unfavorable, ,1, ,About right, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove, , , ,No, , , ,Not conservative enough, , , , , , , , ,45+,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Moderate,7,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South,No,Female,White women, ,Rural,Small Cities/Rural,Kentucky,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,Very worried,Very or somewhat worried, , , , , ,Yes,Both of them,Yes,Version 3,No,.945198357105255,Yes,White Born-again/Evangelical Christians
84333,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44, , ,Complete, ,Call 3,2,Yes,Disapprove,Somewhat disapprove, , , , ,Staying about the same,Omit,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,Favorable,Unfavorable, , ,5,Government should do more to solve problems, , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", , , , ,No,All others,Illegal,No, ,Omit,Omit,Not worried,Not too worried,Approve,Strongly approve, , ,18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats, ,Moderate,43,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,Black,Black,State questionnaire,Black,Black, , ,South, ,Female,Black women,Non married women,"Cities 10,000-50,000",Small Cities/Rural,Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Seriously off on the wrong track, , , ,Version 1, ,.769050180912018,No, 
72827,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,More than once a week,Weekly,Complete,Yes,Call 2,1, , , , , , , , , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,About right, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Disapprove, , , ,No, , , ,Too conservative, , , , , , , , ,18-44,18-64, ,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Women,All others, , ,86, , , , ,Black,Black,State questionnaire,Black,Black, , ,South,No,Female,Black women, ,Rural,Small Cities/Rural,Kentucky,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,No,Only Mitch McConnell,Yes,Version 3,No,.87083625793457,No,All others
52580,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, ,Call 1,3,No,Disapprove,Strongly disapprove, , , , ,Getting worse,Worse,College graduate,College graduate,More than High school graduate,White college degree, , ,Unfavorable,Unfavorable, , ,4,Government should do more to solve problems, , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", , , , ,No,All others,Legal,Yes, ,Not so good,Not so good or poor,Worried,Somewhat worried,Approve,Somewhat approve, , ,18-44,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent, ,Liberal,57,Moderate/Liberal Republicans,Liberal Independents, , ,White,White,State questionnaire,White,White, , ,South, ,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , ,Before that,Before that,Before that,Before that,Seriously off on the wrong track, , , ,Version 1, ,.871036171913147,No, 
68774,Alison Lundergan Grimes,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,A few times a year,Occasionally,Complete, ,Call 2,2, , , , , , , , , ,High school graduate,No college degree,High school graduate or less,Non white no college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,About right, , , , , , , , , ,Approve, , , ,No, , , ,Not conservative enough, , , , , , , , ,45+,18-64, ,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Women,All others, ,Moderate,43,Moderate/Liberal Republicans,Moderate Independents, , ,Black,Black,State questionnaire,Black,Black, , ,South,Yes,Female,Black women, ,"Cities 10,000-50,000",Small Cities/Rural,Kentucky, ,Somewhat support,Support,Election day exit poll,Very worried,Very or somewhat worried, , , , , ,No,Neither of them,No,Version 3,No,.769050180912018,No,All others
68773,Alison Lundergan Grimes,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,A few times a year,Occasionally,Complete, ,Call 2,2, , , , , , , , , ,High school graduate,No college degree,High school graduate or less,Non white no college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,About right, , , , , , , , , ,Approve, , , ,No, , , ,Not conservative enough, , , , , , , , ,45+,18-64, ,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Women,All others, ,Moderate,43,Moderate/Liberal Republicans,Moderate Independents, , ,Black,Black,State questionnaire,Black,Black, , ,South,Yes,Female,Black women, ,"Cities 10,000-50,000",Small Cities/Rural,Kentucky, ,Somewhat support,Support,Election day exit poll,Very worried,Very or somewhat worried, , , , , ,No,Neither of them,No,Version 3,No,.769050180912018,No,All others
68770,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+, , ,Complete, ,Call 2,3, , , ,Yes,Only McConnell,No,I strongly favor my candidate, , ,Postgraduate study,College graduate,More than High school graduate,Non white college degree, , , , , ,Barack Obama was not a factor,4, , ,No,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,The economy,Very well,Very well or somewhat well,No, , ,No, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+, ,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,No,Moderate,54,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Very important,Important,Black,Black,State questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South, ,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.963203966617584,No, 
52571,Alison Lundergan Grimes,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, ,Call 1,6, , , ,Yes,Both of them,Yes,I dislike the other candidates, , ,Postgraduate study,College graduate,More than High school graduate,White college degree, , , , , ,Barack Obama was not a factor,2, , ,Yes,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,Very well,Very well or somewhat well,No, , ,Yes, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,No,Moderate,36,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Somewhat important,Important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Male,White men,Married men,Rural,Small Cities/Rural,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.743972599506378,No, 
52567,Alison Lundergan Grimes,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Never,Never,Complete,No,Call 1,2, , , , , , , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,5, ,About right, , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove, , , ,No, , , ,Too conservative, , , , , , , , ,18-44,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat, ,Liberal,93,Liberal Democrats,Liberal Democrats, , ,White,White,State questionnaire,White,White, , ,South,Yes,Male,White men, ,Suburbs,Suburbs,Kentucky,Neither,Strongly oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,Yes,Both of them,Yes,Version 3,No,.848354339599609,Yes,All others
68758,Alison Lundergan Grimes,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,No,Call 2,5, , , , , , , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,1, ,Not liberal enough, , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve, , , ,No, , , ,Too conservative, , , , , , , , ,45+,18-64, ,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent, ,Liberal,103,Moderate/Liberal Republicans,Liberal Independents, , ,White,White,State questionnaire,White,White, , ,South,Yes,Male,White men, ,Rural,Small Cities/Rural,Kentucky,Neither,Strongly oppose,Oppose,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,No,Only Mitch McConnell,Yes,Version 3,Yes,1.02892374992371,No,All others
52561,Alison Lundergan Grimes,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, ,Call 1,3,No,Disapprove,Somewhat disapprove, , , , ,Staying about the same,Good and staying the same,Postgraduate study,College graduate,More than High school graduate,White college degree, , ,Favorable,Favorable, , ,4,Government is doing too many things better left to businesses and individuals, , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , , , ,No,All others,Legal,No, ,Good,Excellent or good,Worried,Somewhat worried,Disapprove,Somewhat disapprove, , ,18-44,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat, ,Moderate,53,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South, ,Male,White men,Non married men,"Cities over 500,000","Cities over 50,000",Kentucky, , , ,Election day exit poll, , ,In the last three days,In the last month,In the last week,In the last three days,Generally going in the right direction, , , ,Version 1, ,1.67330634593964,No, 
68754,Alison Lundergan Grimes,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,A few times a year,Occasionally,Complete,Yes,Call 2,3, , , , , , , , , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Government should do more to protect the environment,Favorable, , ,Unfavorable, ,4, ,About right, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve, , , ,No, , , ,Not conservative enough, , , , , , , , ,45+,18-64, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,Liberal,66,Liberal Democrats,Liberal Democrats, , ,White,White,State questionnaire,White,White, , ,South,No,Female,White women, ,"Cities over 500,000","Cities over 50,000",Kentucky,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,Somewhat worried,Very or somewhat worried, , , , , ,No,Only Mitch McConnell,Yes,Version 3,No,.760828733444214,Yes,White Born-again/Evangelical Christians
52551,Alison Lundergan Grimes,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,More than once a week,Weekly,Complete,Yes,Call 1,2, , , , , , , , , ,High school graduate,No college degree,High school graduate or less,White no college degree,Government should do more to protect the environment,Favorable, , ,Favorable, ,5, ,Not liberal enough, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve, , , , , , , ,Not conservative enough, , , , , , , , ,45+,65+, ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat, ,Moderate,39,Moderate/Conservative Democrats,Mod/Conserv. Democrats, , ,White,White,State questionnaire,White,White, , ,South,No,Male,White men, ,Rural,Small Cities/Rural,Kentucky,Both Tea Party supporter and born-again,Somewhat support,Support,Election day exit poll,Not too worried,Not too or not at all worried, , , , , ,Yes,Both of them,Yes,Version 3,No,.94392591714859,Yes,White Born-again/Evangelical Christians
68744,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, ,Call 2,4, , , ,No,Neither of them,No,I strongly favor my candidate, , ,High school graduate,No college degree,High school graduate or less,White no college degree, , , , , ,Barack Obama was not a factor,3, , ,No,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,Very well,Very well or somewhat well,No, , ,No, , , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64, ,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,No,Liberal,76,Moderate/Liberal Republicans,Liberal Independents,Not too important,Not important,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",South, ,Male,White men,Non married men,Suburbs,Suburbs,Kentucky, , , ,Election day exit poll, , , , , , , , , , ,Version 2, ,.502171456813812,No, 
52545,Alison Lundergan Grimes,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,A few times a year,Occasionally,Complete,Yes,Call 1,4, , , , , , , , , ,No high school diploma,No college degree,High school graduate or less,White no college degree,Government should do more to protect the environment,Omit, , ,Omit, ,3, ,About right, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve, , , ,No, , , ,About right, , , , , , , , ,18-44,18-64, ,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent, ,Moderate,101,Moderate/Liberal Republicans,Moderate Independents, , ,White,White,State questionnaire,White,White, , ,South,Yes,Male,White men, ,Rural,Small Cities/Rural,Kentucky,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Election day exit poll,Somewhat worried,Very or somewhat worried, , , , , ,No,Neither of them,No,Version 3,No,.549040794372559,Yes,White Born-again/Evangelical Christians
