id,senmi14,govmi14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,autohh,backside,call,cdnum,detroitb,educ10,educcoll,educhs,educwhit,favdem2,favrep2,forobama,geocode,govtdo10,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,latino,married,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,racerel1,rcongang,rconga_1,region,rel5,relign10,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,stecmi,stecmi2,steconbe,stecondi,telepoll,time14fe,time14mt,time14wk,timesen1,track,unionhh1,version,weight,whiterel,whnclinc,work,worksex,wrkwomen,wrkwom_1
56375,Terri Lynn Land, ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,No,Complete,Call 1,11, ,College graduate,College graduate,More than High school graduate,White college degree, , ,Omit,2, ,Omit, , , , , , , , ,Foreign policy,No, , , , , ,Angry,"Dissatisfied, but not angry or angry",45+,18-64, , , , , , , ,94, , ,White,White,State questionnaire,White,White,Stayed about the same,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Catholic,Catholic,No,Female,White women, ,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,.860974192619324,White Catholics,No, , , , 
55813,Terri Lynn Land, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, ,Complete,Call 1,6, ,High school graduate,No college degree,High school graduate or less,White no college degree, , ,Barack Obama was not a factor,4, ,Did not go far enough, , , , , , , , ,Health care,No,Yes, , , , ,Angry,"Dissatisfied, but not angry or angry",45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,1,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,None,None,No,Female,White women,Married women,Rural,Small Cities/Rural, Michigan, , , , ,Election day exit poll, , , , , ,Yes,Version 2,.699548721313477,White none, , , , , 
57452,Terri Lynn Land, ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, ,Complete,Call 1,5, ,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable, ,3,Government is doing too many things better left to businesses and individuals, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", , ,No, , , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,17,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,Gotten worse, , ,Midwest, , ,Yes,Female,White women, ,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , ,Seriously off on the wrong track, ,Version 4,.761192381381989, ,No, , , , 
55467,Terri Lynn Land, ,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44, ,Complete,Call 1,1,Bad for Michigan,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable, ,5,Government is doing too many things better left to businesses and individuals, ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Disapprove, ,No, ,Worried,Very worried,Disapprove,Strongly disapprove, , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,23,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Female,White women, ,Rural,Small Cities/Rural, Michigan,Good,Excellent or good,Staying about the same,Good and staying the same,Election day exit poll,Omit,Omit,Omit,Omit,Seriously off on the wrong track, ,Version 1,.733067989349365, ,No,No,Non-working women,All others,Non-working women
91297,Terri Lynn Land, ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, ,Complete,Call 3,10,Good for Michigan,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Omit,Omit, ,5,Government is doing too many things better left to businesses and individuals, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Omit, ,No, ,Worried,Somewhat worried,Omit,Omit, , ,45+,18-64, , , , , , , ,130, , ,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Female,White women, ,Rural,Small Cities/Rural, Michigan,Not so good,Not so good or poor,Staying about the same,Poor and staying the same,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track, ,Version 1,.616707980632782, ,Yes, , , , 
1128,Terri Lynn Land, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,No,Complete, ,3, , , , , , , ,Barack Obama was not a factor,4, ,Omit, , , , , , , , ,Omit,No,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,Gotten better,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Catholic,Catholic,No,Female,White women,Married women,Suburbs,Suburbs, Michigan, , , , ,Telephone survey, , , , , ,No,Version 2,.964510858058929,White Catholics, , , , , 
1080,Terri Lynn Land, ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, ,Complete, ,3,Good for Michigan,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable, ,5,Government is doing too many things better left to businesses and individuals, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove, ,No, ,Worried,Somewhat worried,Disapprove,Somewhat disapprove, , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Male,White men, ,"Cities 10,000-50,000",Small Cities/Rural, Michigan,Good,Excellent or good,Getting better,Getting better,Telephone survey,Before that,Before that,Before that,Before that,Seriously off on the wrong track, ,Version 1,2.11175727844238, ,No,Yes,Working men,All others,Working men
92597,Gary Peters,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,All others,All others,No,Complete,Call 3,2, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,Barack Obama was not a factor,4, ,Did not go far enough, , , , , , , , ,Health care,No,No, , , , ,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,Conservative,115,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,State questionnaire,Other,American Indian,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,No,Female,All other races,Non married women,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,.570038080215454,Non-white,No, , , , 
92596,Gary Peters,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,All others,All others,No,Complete,Call 3,2, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,Barack Obama was not a factor,4, ,Did not go far enough, , , , , , , , ,Health care,No,No, , , , ,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,Conservative,115,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,State questionnaire,Other,American Indian,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,No,Female,All other races,Non married women,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,.570038080215454,Non-white,No, , , , 
10747,Gary Peters,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, ,Complete, ,7, ,Postgraduate study,College graduate,More than High school graduate,White college degree, , , ,3, , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Approve,The economy,No, ,Not worried,Not too worried,Approve,Somewhat approve, , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White, , , ,Midwest, , , ,Male,White men, ,Suburbs,Suburbs, Michigan, , , , ,Telephone survey, , , , , , ,Version 1,.805157542228699, ,No, , , , 
1151,Gary Peters,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,No,Complete, ,6, ,No high school diploma,No college degree,High school graduate or less,Non white no college degree, , ,Omit,4, ,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Health care,No,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal, ,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,Yes,Male,Black men,Married men,"Cities 10,000-50,000",Small Cities/Rural, Michigan, , , , ,Telephone survey, , , , , ,No,Version 2,1.15046787261963,Non-white,No, , , , 
78397,Terri Lynn Land,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, ,Complete,Call 2,11, ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , ,2, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , ,No, , , , , , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,95,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,White, , , ,Midwest,Catholic,Catholic, ,Female,White women, ,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , , ,Version 5,1.14511847496033,White Catholics,No, , , , 
1060,Terri Lynn Land,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, ,Complete, ,7,Bad for Michigan,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable, ,3,Government should do more to solve problems, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove, ,No, ,Worried,Very worried,Disapprove,Strongly disapprove, , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Female,White women, ,Suburbs,Suburbs, Michigan,Not so good,Not so good or poor,Getting worse,Worse,Telephone survey,Before that,In the last month,Before that,In the last month,Seriously off on the wrong track, ,Version 1,1.06862485408783, ,Yes,No,Non-working women,All others,Non-working women
89069, ,Mark Schauer,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Yes,Complete,Call 3,12, ,Postgraduate study,College graduate,More than High school graduate,Non white college degree, , ,Omit,3, ,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Foreign policy,No,Yes, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Something else,Independent Women,All others,Conservative,135,Moderate/Liberal Republicans,Conservative Independents,Black,Black,State questionnaire,Black,Black,Gotten worse,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,Something else,Muslim,No,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000", Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,.550078749656677,Non-white,No, , , , 
76859, ,Mark Schauer,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No,Complete,Call 2,10, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,To express support for Barack Obama,2, ,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Health care,Yes,No, , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,77,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,White,State questionnaire,Hispanic/Latino,Hispanic/Latino,Gotten worse,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,Catholic,Catholic,Yes,Female,Latino women,Non married women,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,.572947859764099,Non-white,No, , , , 
56494, ,Mark Schauer,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,No,Complete,Call 1,13, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,To express support for Barack Obama,1, ,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,The economy,No,No, , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Conservative,156,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black,Gotten worse,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,Protestant/Other Non-Catholic Christian,Other christian,No,Male,Black men,Non married men,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,Yes,Version 2,.516454219818115,Non-white,No, , , , 
56493, ,Mark Schauer,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,No,Complete,Call 1,13, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , ,To express support for Barack Obama,1, ,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,The economy,No,No, , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Conservative,156,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black,Gotten worse,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,Protestant/Other Non-Catholic Christian,Other christian,No,Male,Black men,Non married men,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,Yes,Version 2,.516454219818115,Non-white,No, , , , 
56219, ,Mark Schauer,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Yes,Complete,Call 1,2, ,No high school diploma,No college degree,High school graduate or less,Non white no college degree, , ,To express support for Barack Obama,5, ,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Health care,Yes, , , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,87,Liberal Democrats,Liberal Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,Stayed about the same,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Catholic,Catholic,No,Male,Latino men, ,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,Yes,Version 2,.585014998912811,Non-white,No, , , , 
79669, ,Mark Schauer,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, ,Complete,Call 2,5, ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , ,3, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , ,No,No, , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,17,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White, , , ,Midwest,Protestant/Other Non-Catholic Christian,Other christian, ,Female,White women,Non married women,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,Yes,Version 3,.571625113487244,White Protestants,No, , , , 
91813, ,Mark Schauer, , , , , , , , , , ,Complete,Call 3,8,Bad for Michigan,High school graduate,No college degree,High school graduate or less,White no college degree,Favorable,Unfavorable, ,3,Government should do more to solve problems, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove, ,No, ,Worried,Very worried,Approve,Somewhat approve, , , , ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,57,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Female,White women, ,Suburbs,Suburbs, Michigan,Not so good,Not so good or poor,Getting better,Getting better,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track, ,Version 1,.635886013507843, ,Yes,No,Non-working women,All others,Non-working women
57691, ,Mark Schauer,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,No,Complete,Call 1,2, ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , ,Barack Obama was not a factor,5, ,Went too far, , , , , , , , ,The economy,No,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,87,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Gotten better,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Protestant,No,Female,White women,Married women,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,.584690570831299,White Protestants, , , , , 
