id,amd2fl14,govfl14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,backside,call,cdnum,cristpar,cuban3,educ10,educcoll,educhs,educwhit,favcrist,favdem2,favrep2,favscott,geocode,govtdo10,healthca,hillvrep,immdepor,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,jbushpre,married,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,racerel1,rcongang,rconga_1,region,rel5,relign10,rubiopre,samesexm,scottcon,scotthea,sex,sexbyrac,sexwed,sizeplac,sizeplc3,spanishq,stanum,telepoll,track,version,weight,whiterel,whnclinc
11263,Yes, ,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,23, ,No,College graduate,College graduate,More than High school graduate,White college degree, , , , ,2, ,Went too far, , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white", ,Illegal immigration, ,Yes, , , , ,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South, , , , , , ,Male,White men,Married men,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,14.2159814834595, ,No
54872,Yes, ,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,14,Reflect his beliefs,No,High school graduate,No college degree,High school graduate or less,Non white no college degree, , , , ,3, ,Did not go far enough,Hillary Clinton,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,The economy, ,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,91,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,Protestant/Other Non-Catholic Christian,Other christian, , ,Too conservative,Disapprove,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 2,.502683401107788,Non-white,No
54817,Yes, ,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,14,Omit,No,College graduate,College graduate,More than High school graduate,White college degree, , , , ,3, ,Went too far,The Republican candidate,Omit, , , , , , , , ,Foreign policy, ,Yes, , , , ,Omit,Omit,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican, ,50, , ,White,White,State questionnaire,White,White, ,Omit,Omit,South, , , , ,Omit,Omit,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 2,.405209124088287, ,No
87751,Yes, ,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,All others,All others,Complete,Call 3,8,Omit,No,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree, , , , ,2, ,Omit,It depends,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Health care, ,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,Moderate,6,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Other,State questionnaire,Other,Other, ,Angry,"Dissatisfied, but not angry or angry",South,Something else,Other, , ,Omit,Omit,Female,All other races,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 2,.455979138612747,Non-white,No
11206,Yes, ,30-44,30-59,30-39,18-44,30-44,30-39, , , ,Complete, ,3, , ,Some college/assoc. degree,No college degree,More than High school graduate, , , , , ,2, ,Omit, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999", , ,Omit, ,Yes, , , , ,Omit,Omit,18-44,18-64,Republican, , ,Republican,Republican Women, ,Conservative, ,Independent/Something else,Conservative Republicans, , ,National questionnaire, , , ,Omit,Omit,South, , , , , , ,Female, ,Married women,"Cities 50,000-500,000","Cities over 50,000", ,Florida,Telephone survey, ,Version 2,3.08064866065979, ,No
69621,Yes, ,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,15, ,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,Favorable,Unfavorable,4,Government should do more to solve problems, , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve, ,Yes, ,Worried,Very worried,Disapprove,Strongly disapprove, , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,96,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,Gotten worse, , ,South, , ,Yes,Yes, , ,Female,White women, ,Suburbs,Suburbs,English,Florida,Election day exit poll,Seriously off on the wrong track,Version 1,.465217918157578, ,Yes
69264,Yes, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,8, , ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Omit,Unfavorable,Omit,Omit,2,Government is doing too many things better left to businesses and individuals, , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Omit, ,Yes, ,Worried,Very worried,Disapprove,Strongly disapprove, , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent, ,6, , ,White,White,State questionnaire,White,White,Gotten worse, , ,South, , ,Omit,Omit, , ,Female,White women, ,"Cities 50,000-500,000","Cities over 50,000", ,Florida,Election day exit poll,Seriously off on the wrong track,Version 1,.411553949117661, ,Yes
69219,Yes, ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,26, ,No,College graduate,College graduate,More than High school graduate,White college degree,Omit,Omit,Omit,Omit,5,Omit, , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Disapprove, ,Omit, ,Not worried,Not too worried,Omit,Omit, , ,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,75,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,Gotten better, , ,South, , ,Omit,Yes, , ,Female,White women, ,Rural,Small Cities/Rural,English,Florida,Election day exit poll,Omit,Version 1,.377795666456223, ,No
9995,Yes, ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,11, ,No,High school graduate,No college degree,High school graduate or less,White no college degree, ,Unfavorable,Unfavorable, ,3,Government should do more to solve problems, , ,Deported to the country they came from, , , , , , , , , , , , , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,Gotten worse, , ,South, , , ,No, , ,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey,Generally going in the right direction,Version 4,1.15230858325958, , 
93799,Yes, ,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Call 3,17, ,No,College graduate,College graduate,More than High school graduate,Non white college degree, , , , ,4, , , , , , , , , , , ,Approve,Omit, , ,Worried,Very worried,Approve,Strongly approve, , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,20,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black, , , ,South, , , , , , ,Female,Black women, ,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,Election day exit poll, ,Version 1,.419821381568909, ,No
93797,Yes, ,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Call 3,17, ,No,College graduate,College graduate,More than High school graduate,Non white college degree, , , , ,4, , , , , , , , , , , ,Approve,Omit, , ,Worried,Very worried,Approve,Strongly approve, , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,20,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black, , , ,South, , , , , , ,Female,Black women, ,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,Election day exit poll, ,Version 1,.419821381568909, ,No
599,Yes, ,45-65,30-59,45-49,45+,45-59,40-49, , , ,Complete, ,5,Omit, ,College graduate,College graduate,More than High school graduate, , , , , ,4, ,Omit,Omit,Omit, , , , , , , , ,The economy, ,No, , , , ,Omit,Omit,45+,18-64,Independent/Something else, , ,Independent,Independent Women, , , , , , , ,State questionnaire, , , ,Omit,Omit,South, , , , ,Omit,Omit,Female, ,Non married women,"Cities 50,000-500,000","Cities over 50,000", ,Florida,Telephone survey, ,Version 2,5.26265335083008, , 
587,Yes, ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,5,Help him win elections,No,Postgraduate study,College graduate,More than High school graduate,White college degree, , , , ,5, ,Did not go far enough,It depends,Offered a chance to apply for legal status,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,The economy, ,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, ,Angry,"Dissatisfied, but not angry or angry",South,Jewish,Jewish, , ,Too conservative,Disapprove,Male,White men,Married men,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,2.21604943275452,White Jewish,No
534,Yes, ,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, ,5,Help him win elections,No,College graduate,College graduate,More than High school graduate,White college degree, , , , ,1, ,Went too far,It depends,Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Health care, ,No, , , , ,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,None,None, , ,Too conservative,Disapprove,Female,White women,Non married women,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,3.78288769721985,White none,No
532,Yes, ,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete, ,5,Help him win elections,"Yes, Cuban",No high school diploma,No college degree,High school graduate or less,Non white no college degree, , , , ,5, ,Went too far,The Republican candidate,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white", ,Foreign policy, ,Yes, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Women,All others,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,Other,White,State questionnaire,Hispanic/Latino,Hispanic/Latino, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,Catholic,Catholic, , ,About right,Approve,Female,Latino women,Married women,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,3.36334609985352,Non-white,No
513,Yes, ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Help him win elections,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , ,1, ,Was about right,Omit,Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,Omit, ,No, , , , ,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, ,Angry,"Dissatisfied, but not angry or angry",South,Protestant/Other Non-Catholic Christian,Other christian, , ,About right,Disapprove,Male,White men,Non married men,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,1.57806253433228,White Protestants,Yes
512,Yes, ,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete, , ,Reflect his beliefs,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , ,3, ,Did not go far enough,It depends,Deported to the country they came from,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,The economy, ,No, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,Protestant/Other Non-Catholic Christian,Protestant, , ,Too conservative,Disapprove,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey, ,Version 2,4.45993709564209,White Protestants,Yes
444,Yes, ,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete, , ,Omit,No,College graduate,College graduate,More than High school graduate,Non white college degree, , , , ,1, ,Omit,Omit,Omit, , , , , , , , ,Foreign policy, ,Yes, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,None,None, , ,About right,Omit,Male,Black men,Married men,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,1.21159088611603,Non-white,No
430,Yes, ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, , ,Omit,No,Postgraduate study,College graduate,More than High school graduate,White college degree, , , , ,2, ,Did not go far enough,It depends,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Health care, ,No, , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Liberal, ,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White, ,Angry,"Dissatisfied, but not angry or angry",South,Protestant/Other Non-Catholic Christian,Other christian, , ,Omit,Disapprove,Female,White women,Non married women,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,3.14592933654785,White Protestants,No
403,Yes, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,5, ,No, , , , ,Unfavorable,Unfavorable,Unfavorable,Unfavorable,2,Government is doing too many things better left to businesses and individuals, , , , , , , , , , ,Omit, ,No, ,Worried,Very worried,Approve,Somewhat approve, , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Gotten worse, , ,South, , ,No,Omit, , ,Male,White men, ,Suburbs,Suburbs,English,Florida,Telephone survey,Seriously off on the wrong track,Version 1,1.74476063251495, , 
373,Yes, ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete, ,5, ,"Yes, Cuban",Postgraduate study,College graduate,More than High school graduate,Non white college degree,Unfavorable,Unfavorable,Unfavorable,Unfavorable,5,Government is doing too many things better left to businesses and individuals, , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",Disapprove, ,Yes, ,Worried,Somewhat worried,Approve,Somewhat approve, , ,45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Men,All others,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,Stayed about the same, , ,South, , ,Omit,No, , ,Male,Latino men, ,Suburbs,Suburbs,English,Florida,Telephone survey,Generally going in the right direction,Version 1,3.90476036071777, ,No
291,Yes, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , , ,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,Unfavorable,Unfavorable,4,Government should do more to solve problems, , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve, ,Yes, ,Not worried,Not too worried,Disapprove,Somewhat disapprove, , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Gotten better, , ,South, , ,Yes,Yes, , ,Male,White men, ,Suburbs,Suburbs,English,Florida,Telephone survey,Seriously off on the wrong track,Version 1,1.19365680217743, ,Yes
273,Yes, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , , ,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,Favorable,Unfavorable,4,Government is doing too many things better left to businesses and individuals, , , , , , , , , , ,Approve, ,No, ,Worried,Somewhat worried,Disapprove,Somewhat disapprove, , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate, ,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,Stayed about the same, , ,South, , ,Yes,No, , ,Female,White women, ,Suburbs,Suburbs,English,Florida,Telephone survey,Seriously off on the wrong track,Version 1,1.33307552337646, , 
10137,No, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete, ,8, ,"Yes, other Hispanic",No high school diploma,No college degree,High school graduate or less,Non white no college degree, , , , ,2, , , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", , ,No, , , , , , , ,45+,65+,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats, , , , ,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino, , , ,South,Catholic,Catholic, , , , ,Female,Latino women, ,"Cities 50,000-500,000","Cities over 50,000",Spanish,Florida,Telephone survey, ,Version 5,1.13891458511353,Non-white,No
