id,sentx14,govtx14,ltgovtx1,abort2,abortion,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,backside,brnagain,call,cdnum,cruzpres,educ10,educcoll,educhs,educwhit,favdem2,favrep2,geocode,govtdo10,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,latino,married,necworr2,necworry,obama2,obama4,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,perrypre,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,region,sex,sexbyrac,sexwed,sizeplac,sizeplc3,spanishq,stanum,telepoll,track,version,whnclinc,whtevang,weight
8872, ,Wendy Davis, , , ,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete, , ,30, ,College graduate,College graduate,More than High school graduate,Non white college degree, , ,2, ,Omit,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,No, , , , ,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats, ,Liberal, ,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Black,South,Male,Black men,Non married men,"Cities over 500,000","Cities over 50,000",English,Texas,Telephone survey, ,Version 2,No, ,.618224382400513
80794,David Alameel,Wendy Davis, , , ,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete, ,Call 2,32, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Omit,2,Government should do more to solve problems, , , , , , , , ,No, , , , , ,45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats, ,Moderate,28,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,South,Female,Black women, ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Generally going in the right direction,Version 4,No, ,.809649705886841
10907,David Alameel,Wendy Davis, , , ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,24, ,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,2,Government should do more to solve problems, , , , , , , , ,No, , , , , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent, ,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,South,Male,White men, ,Suburbs,Suburbs,English,Texas,Telephone survey,Generally going in the right direction,Version 4,No, ,2.5606005191803
2155,David Alameel,Wendy Davis, ,Illegal,Illegal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,No, , ,No,No high school diploma,No college degree,High school graduate or less,Non white no college degree,Unfavorable,Unfavorable,2,Government should do more to solve problems,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Yes,Worried,Somewhat worried,Approve,Somewhat approve,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Women,Non-White Democrats,No,Conservative, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,South,Female,Latino women,Married women,Suburbs,Suburbs, ,Texas,Telephone survey,Seriously off on the wrong track,Version 1,No,All others,1.93118071556091
81131,David Alameel,Wendy Davis, ,Legal,Legal in all cases, , , , , , , , , ,Complete,Yes,Call 2,13, ,High school graduate,No college degree,High school graduate or less,White no college degree, , ,5, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No, , , , , , , ,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent, ,Moderate,84,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,South,Female,White women, ,Rural,Small Cities/Rural,English,Texas,Election day exit poll, ,Version 3,Yes,White Born-again/Evangelical Christians,1.15778696537018
11807,John Cornyn,Wendy Davis, ,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,All others,All others,Complete,Yes, ,31, ,High school graduate,No college degree,High school graduate or less,Non white no college degree, , ,4, , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",No,No, , , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,All others, ,Conservative, ,Independent/Something else,Conservative Republicans,Other,Other,National questionnaire,Other,Other,South,Male,All other races,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey, ,Version 3,No,All others,.193876504898071
2205,John Cornyn,Wendy Davis, ,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,Latino 60+,Latino 65+,Complete,No, , ,Yes,College graduate,College graduate,More than High school graduate,Non white college degree,Favorable,Favorable,4,Government should do more to solve problems,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,No,Worried,Very worried,Disapprove,Strongly disapprove,45+,65+,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Men,All others,Yes,Liberal, ,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,South,Male,Latino men,Non married men,"Cities over 500,000","Cities over 50,000", ,Texas,Telephone survey,Seriously off on the wrong track,Version 1,No,All others,1.25882720947266
2196,John Cornyn,Wendy Davis, ,Legal,Legal in most cases,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,No, , ,Omit,College graduate,College graduate,More than High school graduate,Non white college degree,Favorable,Favorable,2,Government is doing too many things better left to businesses and individuals,Did not go far enough,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,No,Not worried,Not too worried,Approve,Somewhat approve,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Something else,Independent Women,All others,No,Liberal, ,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Hispanic/Latino,South,Female,Latino women,Non married women,Suburbs,Suburbs, ,Texas,Telephone survey,Seriously off on the wrong track,Version 1,No,All others,3.76096630096436
11759, ,Greg Abbott, ,Omit,Omit,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes, ,4, ,High school graduate,No college degree,High school graduate or less,White no college degree, , ,1, , , , , , , , , ,No,No, , , , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent, , , , , ,White,White,National questionnaire,White,White,South,Female,White women,Non married women,Rural,Small Cities/Rural,English,Texas,Telephone survey, ,Version 3, ,White Born-again/Evangelical Christians,.726447939872742
9168,Did not vote,Greg Abbott, , , ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,24, ,College graduate,College graduate,More than High school graduate,White college degree, , ,2, , , , , , , , , ,No, ,Worried,Somewhat worried,Disapprove,Strongly disapprove,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent, ,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,South,Male,White men, ,"Cities over 500,000","Cities over 50,000",English,Texas,Telephone survey, ,Version 1,No, ,1.03597462177277
11766,John Cornyn,Greg Abbott, ,Legal,Legal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes, ,12, ,High school graduate,No college degree,High school graduate or less,White no college degree, , ,2, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Yes, , , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican, ,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,South,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English,Texas,Telephone survey, ,Version 3,No,White Born-again/Evangelical Christians,1.42638635635376
10967,John Cornyn,Greg Abbott, , , ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,28, ,High school graduate,No college degree,High school graduate or less,White no college degree,Unfavorable,Favorable,4,Government should do more to solve problems, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No, , , , , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican, ,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,South,Female,White women, ,Suburbs,Suburbs,English,Texas,Telephone survey,Seriously off on the wrong track,Version 4,Yes, ,1.30998969078064
2138,John Cornyn,Greg Abbott, ,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes, , ,No,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Omit,3,Government is doing too many things better left to businesses and individuals,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", ,Yes,Worried,Somewhat worried,Disapprove,Strongly disapprove,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Yes,Conservative, ,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,South,Male,White men,Married men,Suburbs,Suburbs, ,Texas,Telephone survey,Seriously off on the wrong track,Version 1,No,White Born-again/Evangelical Christians,2.58339476585388
1944,John Cornyn,Greg Abbott, ,Illegal,Illegal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes, ,8,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,1,Omit,Omit,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Yes,Worried,Somewhat worried,Approve,Somewhat approve,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,No, , , , ,White,White,State questionnaire,White,White,South,Female,White women,Married women,Rural,Small Cities/Rural,English,Texas,Telephone survey,Generally going in the right direction,Version 1,No,White Born-again/Evangelical Christians,2.89647150039673
66566,John Cornyn,Greg Abbott, ,Illegal,Illegal in most cases,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Call 1,23,Yes,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Favorable,6,Government is doing too many things better left to businesses and individuals,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Yes,Worried,Very worried,Disapprove,Strongly disapprove,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Yes,Conservative,9,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,South,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Omit,Version 1,No,All others,1.75024008750916
8908,John Cornyn,Greg Abbott, , , ,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete, , ,8, ,College graduate,College graduate,More than High school graduate,White college degree, , ,1, ,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,Yes, , , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent, ,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,South,Male,White men,Married men,Suburbs,Suburbs,English,Texas,Telephone survey, ,Version 2,No, ,4.01920652389526
1900, ,Other, ,Illegal,Illegal in all cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes, ,17,Omit,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,4,Government is doing too many things better left to businesses and individuals,Omit, , , , , , , ,No,Yes,Worried,Very worried,Disapprove,Strongly disapprove,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,No,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,South,Female,White women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey,Seriously off on the wrong track,Version 1,No,White Born-again/Evangelical Christians,8.22547149658203
64424,Other,Other, , , ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete, ,Call 1,18, ,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,3,Government should do more to solve problems, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent, ,Moderate,60,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,South,Male,White men, ,"Cities over 500,000","Cities over 50,000", ,Texas,Election day exit poll,Generally going in the right direction,Version 4,No, ,.772531270980835
65020,Other,Other, , , ,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete, ,Call 1,32, ,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable,Favorable,2,Government is doing too many things better left to businesses and individuals, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Yes, , , , , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,All others, ,Conservative,28,Independent/Something else,Conservative Republicans,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,South,Male,Latino men, ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Seriously off on the wrong track,Version 4,No, ,1.24992406368256
11815,Did not vote,Did not vote,Did not vote,Illegal,Illegal in all cases, , , , , , , , , ,Complete,Yes, ,19, ,No high school diploma,No college degree,High school graduate or less,White no college degree, , ,5, , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",No,No, , , , , , ,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, , , , , ,White,White,National questionnaire,White,White,South,Female,White women,Non married women,Rural,Small Cities/Rural,English,Texas,Telephone survey, ,Version 3,Yes,White Born-again/Evangelical Christians,.629918038845062
95611,Did not vote,Did not vote,Did not vote,Illegal,Illegal in most cases,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,Yes,Call 3,13,Yes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Favorable,Favorable,5,Government is doing too many things better left to businesses and individuals,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",No,No,Not worried,Not too worried,Approve,Strongly approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Yes,Conservative,90,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,South,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Election day exit poll,Generally going in the right direction,Version 1,Yes,White Born-again/Evangelical Christians,1.15936636924744
98565,Did not vote,Did not vote,Did not vote, , ,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete, ,Call 3,16, ,College graduate,College graduate,More than High school graduate,Non white college degree, , ,6, ,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Yes,Yes, , , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Men,All others, ,Moderate,43,Moderate/Liberal Republicans,Moderate Independents,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,South,Male,Latino men,Married men,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, ,Version 2,No, ,1.08408284187317
81294,Did not vote,Did not vote,Did not vote, , ,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Not complete,Yes,Call 2,32, , , , , , , ,2, , , , , , , , , ,No, , , , , ,18-44,18-64, , , , , , , , ,28, , ,Black,Black,National questionnaire,Black,Black,South,Male,Black men, ,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll, ,Version 3, ,All others,1.08408284187317
8891,John Cornyn,Did not vote,Did not vote, , ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, , ,31, ,High school graduate,No college degree,High school graduate or less,White no college degree, , ,4, ,Went too far,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",No,No, , , , ,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent, ,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,White,South,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Texas,Telephone survey, ,Version 2,Yes, ,1.45670187473297
65287,John Cornyn,Did not vote,Did not vote,Legal,Legal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Yes,Call 1,12,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,2,Government is doing too many things better left to businesses and individuals,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",No,Yes,Worried,Somewhat worried,Disapprove,Strongly disapprove,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,No,Moderate,101,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,South,Female,White women,Married women,Suburbs,Suburbs,English,Texas,Election day exit poll,Seriously off on the wrong track,Version 1,No,White Born-again/Evangelical Christians,1.07018435001373
64721,Did not vote,Wendy Davis,Did not vote,Legal,Legal in all cases,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,Call 1,10,Omit,College graduate,College graduate,More than High school graduate,White college degree,Favorable,Unfavorable,4,Government is doing too many things better left to businesses and individuals,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",No,Yes,Not worried,Not too worried,Approve,Somewhat approve,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Omit,Liberal,107,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,South,Male,White men,Married men,"Cities over 500,000","Cities over 50,000",English,Texas,Election day exit poll,Generally going in the right direction,Version 1,No,All others,1.32060074806213
95063,Did not vote,Wendy Davis,Did not vote,Legal,Legal in most cases,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,No,Call 3,10,Yes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Unfavorable,3,Government is doing too many things better left to businesses and individuals,Was about right,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",No,No,Worried,Very worried,Disapprove,Somewhat disapprove,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent,No,Moderate,64,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,South,Male,White men,Non married men,Suburbs,Suburbs,English,Texas,Election day exit poll,Seriously off on the wrong track,Version 1,Yes,All others,1.15700936317444
