ID,GOVKS14,SENKS14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,BROWNBACKTAXCUT,CALL,CDNUM,CHILD12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHORMAN,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,ROBERTSOUTOFTOUCH,SAMESEXM12,SENCNTL,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
4489.0,Sam Brownback,,65+,60+,65 or over,45+,60+,65+,,,,Complete,,,,2.0,,High school graduate,No college degree,High school graduate or less,,Omit,Omit,Omit,,2.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,Disapprove,,,Yes,Omit,Omit,Disapprove,Strongly disapprove,,,45+,65+,,Independent/Something else,,,Independent,Independent Men,,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,,State questionnaire,,,,,Midwest,No,,The Republican Party,Male,,Married men,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Telephone survey,,,,,Seriously off on the wrong track,Version 1,0.458613634109497,,,66049.0
93501.0,Sam Brownback,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Not complete,No,Omit,Call 3,2.0,,,,,,,,,Barack Obama was not a factor,2.0,,,,,,,,,,,,No,,,,,,,,45+,18-64,,,,,,,,,83.0,,,White,White,State questionnaire,White,White,,,Midwest,,,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Election day exit poll,Before that,Before that,Before that,Before that,,Version 2,0.598110377788544,,All others,66614.0
59896.0,Keen Umbehr,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,Call 1,2.0,,College graduate,College graduate,More than High school graduate,White college degree,No,Unfavorable,Unfavorable,,2.0,Government is doing too many things better left to businesses and individuals,,,,,,,,,Disapprove,,No,Yes,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent,Moderate,83.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,,,Midwest,No,,Omit,Male,White men,Married men,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Election day exit poll,,,,,Seriously off on the wrong track,Version 1,0.439584583044052,No,,66614.0
76947.0,Keen Umbehr,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,Call 2,1.0,,College graduate,College graduate,More than High school graduate,White college degree,No,Unfavorable,Favorable,,5.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,Yes,Worried,Very worried,Disapprove,Somewhat disapprove,,,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,6.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,,,Midwest,No,,The Republican Party,Female,White women,Married women,Rural,Small Cities/Rural,Kansas,,,,Election day exit poll,,,,,Generally going in the right direction,Version 1,0.863543331623077,No,,67731.0
4689.0,Paul Davis,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Hurt Kansas,,4.0,No,High school graduate,No college degree,High school graduate or less,White no college degree,,,,To express opposition to Barack Obama,5.0,,Went too far,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,The economy,No,,,,,,Angry,"Dissatisfied, but not angry or angry",45+,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,No,,Male,White men,,Rural,Small Cities/Rural,Kansas,Neither,Somewhat oppose,Oppose,Telephone survey,Before that,In the last month,In the last week,In the last week,,Version 2,0.650217115879059,Yes,All others,67672.0
4617.0,Paul Davis,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Hurt Kansas,,4.0,No,College graduate,College graduate,More than High school graduate,White college degree,,,,Omit,4.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,No,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,Yes,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Kansas,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Telephone survey,Before that,Before that,Before that,Before that,,Version 2,0.444174915552139,No,White Born-again/Evangelical Christians,67212.0
76910.0,Paul Davis,Did not vote,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,All others,All others,Complete,Yes,Hurt Kansas,Call 2,2.0,No,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,,Barack Obama was not a factor,3.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,The economy,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Women without children,Democrat,Non-black Democrat,All Other,Democrat,Democratic Women,Non-White Democrats,Moderate,15.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Other,State questionnaire,Other,Other,Angry,"Dissatisfied, but not angry or angry",Midwest,,No,,Female,All other races,,Rural,Small Cities/Rural,Kansas,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,,Version 2,0.807474732398987,No,All others,66067.0
59505.0,Paul Davis,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,No,Hurt Kansas,Call 1,3.0,Yes,College graduate,College graduate,More than High school graduate,Non white college degree,,,,Barack Obama was not a factor,1.0,,Was about right,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white",,The economy,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Women with children,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,,27.0,,,Black,Black,State questionnaire,Black,Black,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,No,,Female,Black women,,Suburbs,Suburbs,Kansas,Neither,Neutral,Neutral,Election day exit poll,Before that,In the last month,In the last week,In the last week,,Version 2,0.793426394462585,No,All others,66061.0
11452.0,Paul Davis,Did not vote,65+,60+,65 or over,45+,60+,65+,,,,Complete,No,,,2.0,,College graduate,College graduate,More than High school graduate,,,,,,2.0,,,,,,,,,,,,,No,,,,,,,45+,65+,,,,,,,,,,,,,,National questionnaire,,,,,Midwest,,,,Female,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Telephone survey,,,,,,Version 3,0.110343880951405,,All others,66049.0
4511.0,Paul Davis,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,4.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Omit,Unfavorable,Unfavorable,,4.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Approve,,No,No,Not worried,Not at all worried,Disapprove,Strongly disapprove,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,Midwest,Yes,,The Democratic Party,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Telephone survey,,,,,Seriously off on the wrong track,Version 1,0.444174915552139,Yes,,67203.0
4500.0,Paul Davis,Did not vote,,,,,,,,,,Complete,,,,3.0,,College graduate,College graduate,More than High school graduate,Non white college degree,Yes,Unfavorable,Unfavorable,,1.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Omit,,No,Yes,Not worried,Not too worried,Disapprove,Somewhat disapprove,,,,,,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,All others,Moderate,,Conservative Republicans,Mod./Liberal Republicans,Other,Other,State questionnaire,Other,Other,,,Midwest,Yes,,Omit,Male,All other races,Married men,Suburbs,Suburbs,Kansas,,,,Telephone survey,,,,,Seriously off on the wrong track,Version 1,0.606947124004364,No,,66223.0
61875.0,Paul Davis,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,,,Call 1,4.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,Favorable,Unfavorable,,4.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,Yes,,,,,,,,18-44,18-64,,Democrat,Non-black Democrat,Latino Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,70.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino,,,Midwest,,Yes,,Male,Latino men,,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Election day exit poll,,,,,Seriously off on the wrong track,Version 4,1.02157330513,No,,67203.0
59232.0,Sam Brownback,Did not vote,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,Yes,,Call 1,2.0,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,,,2.0,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,,No,,,,,,,,45+,65+,,Republican,Black non-Democrat,All Republicans,Republican,Republican Women,All others,Conservative,43.0,Independent/Something else,Conservative Republicans,Black,Black,National questionnaire,Black,Black,,,Midwest,,,,Female,Black women,,Suburbs,Suburbs,Kansas,Both Tea Party supporter and born-again,Strongly support,Support,Election day exit poll,,,,,,Version 5,0.82562780380249,No,All others,66048.0
4598.0,Sam Brownback,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Hurt Kansas,,4.0,No,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,To express opposition to Barack Obama,4.0,,Went too far,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Illegal immigration,No,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,No,,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Kansas,,Omit,Omit,Telephone survey,Before that,In the last month,Before that,In the last month,,Version 2,1.36773633956909,No,All others,67212.0
95834.0,Sam Brownback,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,,,Call 3,4.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Yes,Unfavorable,Favorable,,4.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Approve,,No,Yes,Not worried,Not too worried,Disapprove,Strongly disapprove,,,18-44,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative,75.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,,,Midwest,Yes,,The Republican Party,Male,White men,Married men,Suburbs,Suburbs,Kansas,,,,Election day exit poll,,,,,Seriously off on the wrong track,Version 1,0.798443257808685,No,,67037.0
58600.0,Sam Brownback,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,Call 1,1.0,,,,,,Yes,Unfavorable,Favorable,,5.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,No,Yes,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,6.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,,,Midwest,Yes,,The Republican Party,Female,White women,Married women,Rural,Small Cities/Rural,Kansas,,,,Election day exit poll,,,,,Seriously off on the wrong track,Version 1,0.621257185935974,,,67731.0
57964.0,Sam Brownback,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,Call 1,2.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Yes,Favorable,Unfavorable,,2.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,Yes,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,42.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,Midwest,Yes,,The Democratic Party,Female,White women,Married women,Suburbs,Suburbs,Kansas,,,,Election day exit poll,,,,,Seriously off on the wrong track,Version 1,0.792396068572998,No,,66020.0
4596.0,Keen Umbehr,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Hurt Kansas,,4.0,No,No high school diploma,No college degree,High school graduate or less,White no college degree,,,,Omit,4.0,,Did not go far enough,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,Health care,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,,No,,Female,White women,,Suburbs,Suburbs,Kansas,,Omit,Omit,Telephone survey,Before that,In the last month,Before that,In the last month,,Version 2,0.502048313617706,No,White Born-again/Evangelical Christians,67135.0
76548.0,,Pat Roberts,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Hurt Kansas,Call 2,1.0,No,College graduate,College graduate,More than High school graduate,White college degree,,,,To express opposition to Barack Obama,3.0,,Went too far,,,,,,,,,The economy,No,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,46.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,Yes,,Female,White women,,Rural,Small Cities/Rural,Kansas,Tea Party supporter and not born-again,Somewhat support,Support,Election day exit poll,Before that,In the last month,In the last week,In the last week,,Version 2,1.10806584358215,No,All others,66801.0
4628.0,,Pat Roberts,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Omit,,2.0,Yes,College graduate,College graduate,More than High school graduate,White college degree,,,,To express opposition to Barack Obama,2.0,,Went too far,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",,Foreign policy,No,,,,,,Angry,"Dissatisfied, but not angry or angry",45+,65+,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,,No,,Female,White women,,Suburbs,Suburbs,Kansas,Tea Party supporter and not born-again,Somewhat support,Support,Telephone survey,Before that,In the last month,In the last week,In the last week,,Version 2,1.40588283538818,No,All others,66048.0
